code,mode,signal_mode,session,ATR_n,TPk,SLk,J_th,forward_pf_eff,forward_exp_bp,ts,date,side,pnl_bp,bars,gap_bp,gap_bucket,market_ret_5m,market_bias,vol_spike,repeat_index,j_abs,j_range,sector_code,batch_folder,batch_kind,run_path,ts_exit,win
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-01 00:18:00+00:00,2025-10-01,BUY,62.43030155416318,17,-33.97893306150187,<80bp,0.0,neutral,0.0,1,1.8523965003677465,17.894166778094945,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-01 00:35:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-01 00:23:00+00:00,2025-10-01,BUY,66.99711881612106,12,-33.97893306150187,<80bp,0.0,neutral,1.2351945854483926,2,1.7698834542798725,17.894166778094945,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-01 00:35:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-03 00:17:00+00:00,2025-10-03,SELL,-50.69906070167915,3,0.0,<80bp,0.0,neutral,0.0,1,1.609276075387174,11.210689135807703,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-03 00:20:00+00:00,False
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-10 00:25:00+00:00,2025-10-10,SELL,64.84404089756747,23,-19.46607341490545,<80bp,12.987214353157306,neutral,1.3219508573973722,1,1.6638163494665557,10.657675124740187,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-10 00:48:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-10 00:28:00+00:00,2025-10-10,SELL,64.62259724339037,20,-19.46607341490545,<80bp,3.407270318565025,neutral,1.3088865096359743,2,1.6160760369764973,10.657675124740187,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-10 00:48:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-15 00:17:00+00:00,2025-10-15,SELL,98.43992638094583,53,5.901445854234288,<80bp,13.249242858937029,neutral,0.0,1,1.606298926919472,1.606298926919472,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-15 01:10:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-15 00:19:00+00:00,2025-10-15,SELL,88.48012635397195,48,5.901445854234288,<80bp,-0.9163484095842112,neutral,0.7759237187127532,2,2.084486242381602,2.084486242381602,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-15 01:07:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-15 00:24:00+00:00,2025-10-15,SELL,100.71241638765564,43,5.901445854234288,<80bp,11.128107553035615,neutral,0.940504994106334,3,1.8217621077152253,2.09732364399012,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-15 01:07:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.5,1.5,1.6,12.242597771214529,63.33212742748539,2025-10-15 00:28:00+00:00,2025-10-15,SELL,74.16167991523209,10,5.901445854234288,<80bp,12.741675673213493,neutral,0.6252972972972973,4,2.193591685171765,2.193591685171765,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0930_j-cross,2025-10-15 00:38:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-01 00:10:00+00:00,2025-10-01,BUY,26.942999399894795,26,-33.97893306150187,<80bp,0.0,neutral,0.0,1,1.7176285708477408,16.152334854308883,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-01 00:36:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-01 00:18:00+00:00,2025-10-01,BUY,35.92609112768949,12,-33.97893306150187,<80bp,0.0,neutral,0.0,2,2.5622112482664203,16.152334854308883,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-01 00:30:00+00:00,True
