scenario,live_demo_class,trades,pnl_yen,pnl_bp_mean
actual_like_all,LIVE_STRONG,4,-373499.024318502,-46.68737803981276
actual_like_all,LIVE_BASE,7,-300394.1057932034,-42.91344368474334
actual_like_all,DEMO_ONLY,6,-173438.32283815494,-57.812774279384975
actual_like_live_base_only,LIVE_BASE,7,-300394.1057932034,-42.91344368474334
actual_like_live_strong,LIVE_STRONG,4,-373499.024318502,-46.68737803981276
actual_like_no_live_base,LIVE_STRONG,4,-373499.024318502,-46.68737803981276
actual_like_no_live_base,DEMO_ONLY,6,-173438.32283815494,-57.812774279384975
baseline_current_all,LIVE_BASE,9,-63342.2376957199,-7.0380264106355455
baseline_current_all,DEMO_ONLY,2,32974.2543797359,32.9742543797359
baseline_current_all,LIVE_STRONG,6,126098.34441394472,10.508195367828725
baseline_current_live_strong,LIVE_STRONG,6,126098.34441394472,10.508195367828725
