date,trades,pnl_yen,pnl_bp_mean,scenario,diag_missing_intraday
2026-02-09,0,0.0,0.0,actual_like_all,27.0
2026-02-10,0,0.0,0.0,actual_like_all,27.0
2026-02-11,0,0.0,0.0,actual_like_all,27.0
2026-02-12,0,0.0,0.0,actual_like_all,27.0
2026-02-13,0,0.0,0.0,actual_like_all,27.0
2026-02-16,0,0.0,0.0,actual_like_all,27.0
2026-02-17,0,0.0,0.0,actual_like_all,27.0
2026-02-18,0,0.0,0.0,actual_like_all,27.0
2026-02-09,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-10,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-11,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-12,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-13,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-16,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-17,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-18,0,0.0,0.0,actual_like_live_base_only,12.0
2026-02-09,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-10,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-11,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-12,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-13,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-16,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-17,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-18,0,0.0,0.0,actual_like_live_strong,6.0
2026-02-09,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-10,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-11,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-12,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-13,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-16,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-17,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-18,0,0.0,0.0,actual_like_no_live_base,15.0
2026-02-09,0,0.0,0.0,baseline_current_all,
2026-02-10,0,0.0,0.0,baseline_current_all,
2026-02-11,0,0.0,0.0,baseline_current_all,
2026-02-12,0,0.0,0.0,baseline_current_all,
2026-02-13,0,0.0,0.0,baseline_current_all,
2026-02-16,0,0.0,0.0,baseline_current_all,
2026-02-17,0,0.0,0.0,baseline_current_all,
2026-02-18,0,0.0,0.0,baseline_current_all,
2026-02-09,0,0.0,0.0,baseline_current_live_strong,
2026-02-10,0,0.0,0.0,baseline_current_live_strong,
2026-02-11,0,0.0,0.0,baseline_current_live_strong,
2026-02-12,0,0.0,0.0,baseline_current_live_strong,
2026-02-13,0,0.0,0.0,baseline_current_live_strong,
2026-02-16,0,0.0,0.0,baseline_current_live_strong,
2026-02-17,0,0.0,0.0,baseline_current_live_strong,
2026-02-18,0,0.0,0.0,baseline_current_live_strong,
