date,trades,pnl_yen,pnl_bp_mean,scenario,diag_missing_intraday,cooldown_minutes,max_trades_per_ticker,stop_after_loss,diag_skip_gapban,diag_skip_trend_mismatch,diag_no_signal,LIVE_STRONG_trades,LIVE_STRONG_pnl_yen,LIVE_STRONG_pnl_bp_mean,LIVE_BASE_trades,LIVE_BASE_pnl_yen,LIVE_BASE_pnl_bp_mean,DEMO_ONLY_trades,DEMO_ONLY_pnl_yen,DEMO_ONLY_pnl_bp_mean
2026-03-20,0,0.0,0.0,actual_like_all,27.0,,,,,,,,,,,,,,,
2026-03-23,5,-323584.310692125,-69.20273592866054,actual_like_all,,,,,14.0,4.0,4.0,,,,,,,,,
2026-03-24,4,-196899.75761771837,-55.12857373933265,actual_like_all,,,,,7.0,13.0,3.0,,,,,,,,,
2026-03-25,8,-326847.38464001694,-33.43653612851637,actual_like_all,,,,,8.0,9.0,2.0,,,,,,,,,
2026-03-20,0,0.0,0.0,actual_like_live_base_only,12.0,,,,,,,,,,,,,,,
2026-03-23,1,-51973.81401685882,-51.973814016858825,actual_like_live_base_only,,,,,8.0,1.0,2.0,,,,,,,,,
2026-03-24,2,-130501.40196152279,-65.2507009807614,actual_like_live_base_only,,,,,4.0,4.0,2.0,,,,,,,,,
2026-03-25,4,-117918.8898148218,-29.47972245370545,actual_like_live_base_only,,,,,3.0,3.0,2.0,,,,,,,,,
2026-03-20,0,0.0,0.0,actual_like_live_strong,6.0,,,,,,,,,,,,,,,
2026-03-23,1,-166120.75181605903,-83.06037590802951,actual_like_live_strong,,,,,3.0,2.0,,,,,,,,,,
2026-03-24,1,-28522.5455443889,-14.261272772194452,actual_like_live_strong,,,,,1.0,4.0,,,,,,,,,,
2026-03-25,2,-178855.7269580541,-44.71393173951353,actual_like_live_strong,,,,,2.0,2.0,,,,,,,,,,
2026-03-20,0,0.0,0.0,actual_like_no_live_base,15.0,,,,,,,,,,,,,,,
2026-03-23,4,-271610.4966752662,-73.50996640661097,actual_like_no_live_base,,,,,6.0,3.0,2.0,,,,,,,,,
2026-03-24,2,-66398.35565619558,-45.00644649790391,actual_like_no_live_base,,,,,3.0,9.0,1.0,,,,,,,,,
2026-03-25,4,-208928.49482519517,-37.39334980332729,actual_like_no_live_base,,,,,5.0,6.0,,,,,,,,,,
2026-03-20,0,0.0,0.0,baseline_current_all,,,,,,,,,,,,,,,,
2026-03-23,4,110610.93272563201,12.745469583326672,baseline_current_all,,5.0,2.0,False,12.0,5.0,4.0,2.0,119258.10878465063,29.814527196162654,2.0,-8647.176059018617,-4.32358802950931,0.0,0.0,0.0
2026-03-24,6,75590.20425973613,13.11572548205072,baseline_current_all,,5.0,2.0,False,7.0,12.0,2.0,2.0,37597.943947798165,9.39948598694954,3.0,16089.139705470672,5.363046568490225,1.0,21903.12060646728,43.80624121293456
2026-03-25,7,-90470.77588740742,-9.145826850698109,baseline_current_all,,5.0,2.0,False,6.0,9.0,3.0,2.0,-30757.708318504076,-7.68942707962602,4.0,-70784.20134217196,-17.696050335542992,1.0,11071.133773268622,22.142267546537244
2026-03-20,0,0.0,0.0,baseline_current_live_strong,,,,,,,,,,,,,,,,
2026-03-23,2,119258.10878465063,29.814527196162654,baseline_current_live_strong,,5.0,2.0,False,3.0,1.0,,2.0,119258.10878465063,29.814527196162654,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,2,37597.943947798165,9.39948598694954,baseline_current_live_strong,,5.0,2.0,False,1.0,3.0,,2.0,37597.943947798165,9.39948598694954,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-25,2,-30757.708318504076,-7.68942707962602,baseline_current_live_strong,,5.0,2.0,False,2.0,2.0,,2.0,-30757.708318504076,-7.68942707962602,0.0,0.0,0.0,0.0,0.0,0.0
