driver,trend_type,policy,count,mean_bp,median_bp,win_rate,pf,std_bp,delta_vs_all
NKY,day,all,1053,26.458836006548047,39.19584709407287,0.8271604938271605,3.0517004968036527,53.66169719554382,0.0
NKY,day,aligned,417,40.70626687307177,41.62286126521281,0.9256594724220624,8.878335089021416,42.083203259243994,14.247430866523722
NKY,day,counter,623,17.3732000685034,37.53221012277635,0.7608346709470305,1.951953854925227,58.721628874863065,-9.085635938044646
NKY,day,flat,13,4.856722011272907,4.616900647606471,0.8461538461538461,2.1441310443519828,15.937484466669979,-21.60211399527514
NKY,window,all,1053,26.458836006548047,39.19584709407287,0.8271604938271605,3.0517004968036527,53.66169719554382,0.0
NKY,window,aligned,393,44.83747725130784,44.42190699794687,0.9796437659033079,45.12066968418139,27.23170290010982,18.37864124475979
NKY,window,counter,120,-37.528577652957196,-60.999696949829634,0.2916666666666667,0.33216671583153184,71.78361621848603,-63.98741365950524
NKY,window,flat,540,27.30269458052959,37.75714044120443,0.8351851851851851,3.290489494406306,52.668723168945284,0.8438585739815423
NKY_F,day,all,1053,26.458836006548047,39.19584709407287,0.8271604938271605,3.0517004968036527,53.66169719554382,0.0
NKY_F,day,aligned,422,40.36835479316351,41.60740941619237,0.9218009478672986,8.70916630435054,42.070735108638054,13.909518786615465
NKY_F,day,counter,627,17.230174890884477,37.50338848599464,0.7623604465709729,1.9501786235395897,58.536448291508364,-9.22866111566357
NKY_F,day,flat,4,5.597233898881306,5.794891381631028,1.0,,4.026054517346143,-20.86160210766674
NKY_F,window,all,1053,26.458836006548047,39.19584709407287,0.8271604938271605,3.0517004968036527,53.66169719554382,0.0
NKY_F,window,aligned,397,41.12098198213706,42.35299803305406,0.964735516372796,14.402400681795854,34.83381765373149,14.662145975589013
NKY_F,window,counter,109,-34.727014395972496,-61.22343114103419,0.26605504587155965,0.3752753390226238,72.91984427429232,-61.18585040252054
NKY_F,window,flat,547,28.009815424401616,38.83188166601181,0.8391224862888482,3.4310316607210787,51.94859295049833,1.5509794178535685
TOPIX,day,all,1053,26.458836006548047,39.19584709407287,0.8271604938271605,3.0517004968036527,53.66169719554382,0.0
TOPIX,day,aligned,387,38.1598236724524,39.83714242517232,0.9224806201550387,8.77263000419417,39.55488260299297,11.70098766590435
TOPIX,day,counter,560,17.49006342043942,37.562054076602394,0.7589285714285714,1.9710560053617252,58.06560850595595,-8.968772586108628
TOPIX,day,flat,103,29.75150809611949,42.58394768453278,0.8349514563106796,2.923445069189971,64.57058027231506,3.292672089571443
TOPIX,window,all,1053,26.458836006548047,39.19584709407287,0.8271604938271605,3.0517004968036527,53.66169719554382,0.0
TOPIX,window,aligned,378,40.95575893147257,42.534554260398615,0.9629629629629629,13.709702689980753,34.770856249784636,14.496922924924526
TOPIX,window,counter,97,-19.636692971685147,-56.22142872465346,0.41237113402061853,0.5520907585691402,71.16036883123469,-46.09552897823319
TOPIX,window,flat,578,24.71390425095488,37.61223902187053,0.8079584775086506,2.7615957142531085,55.75363197101694,-1.7449317555931678
