Ticker,plan_tag,SignalMode,Session,forward_trades,forward_winrate,forward_pf_eff,forward_pf_calc,exp_bp_mean,expected_profit_total,expected_profit_daily,expected_profit_per_trade,avg_loss_per_trade,avg_win_per_trade,expected_loss_streak,max_drawdown_est
8136.T,AM0930_j-only,j-only,AM15,19,0.9473684210526316,2499.006684551406,2499.006684551406,15.611786230163586,296623.93837310816,74155.98459327704,15611.786230163587,118.7442532510182,16485.704590353285,0.0,0.0
6146.T,AM0930_j-only,j-only,AM15,16,1.0,999.0,999.0,28.088370706982573,449413.93131172116,112353.48282793029,28088.370706982572,0.0,28088.370706982572,0.0,0.0
5016.T,AM0930_j-only,j-only,AM15,15,1.0,999.0,999.0,24.003594638879864,360053.919583198,90013.4798957995,24003.594638879866,0.0,24003.594638879866,0.0,0.0
6525.T,AM0930_j-only,j-only,AM15,13,1.0,999.0,999.0,37.83192291894913,491814.9979463387,122953.74948658468,37831.92291894913,0.0,37831.92291894913,0.0,0.0
6920.T,AM15_j-only,j-only,AM15,13,1.0,999.0,999.0,32.34127512024536,420436.5765631897,105109.14414079742,32341.275120245362,0.0,32341.275120245362,0.0,0.0
8411.T,AM0930_j-only,j-only,AM15,9,1.0,999.0,999.0,23.14255958915552,208283.03630239968,52070.75907559992,23142.55958915552,0.0,23142.55958915552,0.0,0.0
7974.T,AM0930_j-only,j-only,AM15,8,1.0,999.0,999.0,32.87732078232687,263018.56625861494,65754.64156465374,32877.32078232687,0.0,32877.32078232687,0.0,0.0
8035.T,AM0930_j-only,j-only,AM15,8,1.0,999.0,999.0,14.40652600163222,115252.20801305775,28813.052003264438,14406.526001632219,0.0,14406.526001632219,0.0,0.0
1360.T,AM15_j-only,j-only,AM15,8,1.0,999.0,999.0,18.355863739217792,146846.90991374233,36711.72747843558,18355.86373921779,0.0,18355.86373921779,0.0,0.0
7012.T,AM15_j-only,j-only,AM15,8,1.0,999.0,999.0,68.79323654113469,550345.8923290776,137586.4730822694,68793.2365411347,0.0,68793.2365411347,0.0,0.0
8031.T,AM15_j-only,j-only,AM15,8,1.0,999.0,999.0,28.64627851308851,229170.2281047081,57292.557026177026,28646.278513088513,0.0,28646.278513088513,0.0,0.0
6702.T,AM0930_j-only,j-only,AM15,6,1.0,999.0,999.0,42.62235926247924,255734.15557487548,63933.53889371887,42622.35926247924,0.0,42622.35926247924,0.0,0.0
6525.T,AM0930_j-cross,j-cross,AM15,6,1.0,999.0,999.0,36.98831246187336,221929.87477124017,55482.46869281004,36988.312461873364,0.0,36988.312461873364,0.0,0.0
6525.T,AM15_j-only,j-only,AM15,6,1.0,999.0,999.0,45.2246373403895,271347.824042337,67836.95601058425,45224.637340389505,0.0,45224.637340389505,0.0,0.0
6752.T,AM15_j-only,j-only,AM15,6,1.0,999.0,999.0,20.684265535569203,124105.59321341522,31026.398303353806,20684.265535569204,0.0,20684.265535569204,0.0,0.0
6723.T,AM15_j-only,j-only,AM15,6,1.0,999.0,999.0,29.92968797268117,179578.12783608702,44894.531959021755,29929.68797268117,0.0,29929.68797268117,0.0,0.0
1579.T,AM0930_j-cross,j-cross,AM15,5,1.0,999.0,999.0,22.7037986048932,113518.993024466,28379.7482561165,22703.7986048932,0.0,22703.7986048932,0.0,0.0
8001.T,AM15_j-only,j-only,AM15,5,1.0,999.0,999.0,7.450888770344236,37254.44385172118,9313.610962930295,7450.888770344237,0.0,7450.888770344237,0.0,0.0
6146.T,AM15_j-only,j-only,AM15,5,1.0,999.0,999.0,46.1661309605193,230830.6548025965,57707.66370064912,46166.130960519295,0.0,46166.130960519295,0.0,0.0
9022.T,AM15_j-cross,j-cross,AM15,5,1.0,999.0,999.0,24.094033698624607,120470.16849312304,30117.54212328076,24094.033698624607,0.0,24094.033698624607,0.0,0.0
8411.T,AM0930_j-cross,j-cross,AM15,4,1.0,999.0,999.0,12.899512096426347,51598.048385705384,12899.512096426346,12899.512096426346,0.0,12899.512096426346,0.0,0.0
285A.T,PM1430_j-cross,j-cross,AM15,23,0.8695652173913043,13.24287814991619,13.24287814991619,50.98236567906013,1172594.410618383,293148.60265459574,50982.36567906013,31925.89183305207,63418.604305876965,7.860596883514523,250956.56584631084
6526.T,AM0930_j-only,j-only,AM15,16,0.875,7.488879219268079,7.488879219268079,72.2745525266529,1156392.8404264464,289098.2101066116,72274.5525266529,89105.7454878073,95328.88081443294,5.190893069684433,462538.3967217239
6525.T,PM1430_j-cross,j-cross,AM15,9,0.8888888888888888,6.157565807424079,6.157565807424079,48.45818933011125,436123.70397100126,109030.92599275032,48458.18933011125,84559.9882299555,65085.461525119594,3.7704004432831434e-15,3.188250171062416e-10
4592.T,AM0930_j-only,j-only,AM15,31,0.4193548387096774,4.447255007709164,4.447255007709164,197.707219507592,6128923.804735351,1532230.9511838378,197707.21950759197,98773.01393957926,608218.311972906,3.3259446269175434,328513.5749967953
6526.T,AM15_j-only,j-only,AM15,5,0.8,2.54429569472267,2.54429569472267,35.46409608633417,177320.48043167088,44330.12010791772,35464.096086334175,114822.88077188142,73035.84030088807,0.0,0.0
8136.T,PM1430_j-cross,j-cross,AM15,25,0.64,1.9345375637215256,1.9345375637215256,8.970444868347572,224261.1217086893,56065.28042717232,8970.444868347571,26663.35028080439,29014.454639745552,4.923343212016677,131272.82461462126
