Ticker,plan_tag,SignalMode,Session,forward_trades,forward_winrate,forward_pf_eff,forward_pf_calc,exp_bp_mean,expected_profit_total,expected_profit_daily,expected_profit_per_trade,max_drawdown_est
8136.T,AM0930_j-only,j-only,AM15,19,0.9473684210526316,2499.006684551406,2499.006684551406,15.611786230163586,296623.93837310816,74155.98459327704,15611.786230163587,0.0
6525.T,AM0945_j-only,j-only,AM15,20,1.0,999.0,999.0,33.742224746637355,674844.4949327472,168711.1237331868,33742.22474663736,0.0
8035.T,AM1030_j-only,j-only,AM15,19,1.0,999.0,999.0,12.483740092619245,237191.06175976564,59297.76543994141,12483.740092619244,0.0
6146.T,AM0930_j-only,j-only,AM15,16,1.0,999.0,999.0,28.088370706982573,449413.93131172116,112353.48282793029,28088.370706982572,0.0
6146.T,AM0945_j-only,j-only,AM15,16,1.0,999.0,999.0,37.11046338372824,593767.4141396518,148441.85353491295,37110.46338372824,0.0
6146.T,AM1000_j-only,j-only,AM15,16,1.0,999.0,999.0,37.11046338372824,593767.4141396518,148441.85353491295,37110.46338372824,0.0
6146.T,AM1015_j-only,j-only,AM15,16,1.0,999.0,999.0,37.11046338372824,593767.4141396518,148441.85353491295,37110.46338372824,0.0
5016.T,AM0930_j-only,j-only,AM15,15,1.0,999.0,999.0,24.003594638879864,360053.919583198,90013.4798957995,24003.594638879866,0.0
6525.T,AM0930_j-only,j-only,AM15,13,1.0,999.0,999.0,37.83192291894913,491814.9979463387,122953.74948658468,37831.92291894913,0.0
7014.T,AM0945_j-only,j-only,AM15,13,1.0,999.0,999.0,25.230339031284505,327994.40740669856,81998.60185167464,25230.339031284504,0.0
8035.T,AM1015_j-only,j-only,AM15,12,1.0,999.0,999.0,8.18831060303498,98259.72723641974,24564.931809104935,8188.310603034979,0.0
1579.T,AM1015_j-cross,j-cross,AM15,12,1.0,999.0,999.0,32.43504947795663,389220.59373547963,97305.14843386991,32435.049477956636,0.0
8136.T,AM1000_j-only,j-only,AM15,11,1.0,999.0,999.0,6.103514871812381,67138.66358993619,16784.665897484047,6103.514871812381,0.0
6315.T,AM1015_j-cross,j-cross,AM15,10,1.0,999.0,999.0,23.14485645814623,231448.5645814623,57862.141145365575,23144.85645814623,0.0
8411.T,AM0930_j-only,j-only,AM15,9,1.0,999.0,999.0,23.14255958915552,208283.03630239968,52070.75907559992,23142.55958915552,0.0
1579.T,AM1000_j-cross,j-cross,AM15,9,1.0,999.0,999.0,34.87398208294365,313865.83874649287,78466.45968662322,34873.98208294365,0.0
7974.T,AM0930_j-only,j-only,AM15,8,1.0,999.0,999.0,32.87732078232687,263018.56625861494,65754.64156465374,32877.32078232687,0.0
8035.T,AM0930_j-only,j-only,AM15,8,1.0,999.0,999.0,14.40652600163222,115252.20801305775,28813.052003264438,14406.526001632219,0.0
7974.T,AM0945_j-only,j-only,AM15,8,1.0,999.0,999.0,32.87732078232687,263018.56625861494,65754.64156465374,32877.32078232687,0.0
