plan_tag,candidates,tickers,combos,trades_total,exp_profit_total_mil,exp_profit_daily_mil,avg_drawdown_k,max_drawdown_k
AM0930_j-cross,3,3,3,15,0.39,0.1,0.0,0.0
AM0930_j-only,10,10,10,141,9.73,2.43,79.1,462.5
AM0945_j-cross,3,3,3,18,1.09,0.27,0.0,0.0
AM0945_j-only,7,7,7,151,12.84,3.21,257.6,908.2
AM1000_j-cross,5,5,5,36,2.85,0.71,48.4,241.8
AM1000_j-only,4,4,4,72,1.82,0.45,151.2,604.7
AM1015_j-cross,5,5,5,48,3.58,0.9,46.3,231.6
AM1015_j-only,2,2,2,28,0.69,0.17,0.0,0.0
AM1030_j-cross,3,3,3,26,2.96,0.74,70.1,210.2
AM1030_j-only,2,2,2,80,7.91,1.98,65.6,131.1
