Ticker,plan_tag,SignalMode,Session,forward_trades,forward_winrate,expected_profit_total_mil,expected_profit_daily_k,max_drawdown_k
4592.T,AM0945_j-only,j-only,AM15,57,0.631578947368421,10.06,2514.9,908.2
4592.T,AM1030_j-only,j-only,AM15,61,0.3442622950819672,7.67,1917.6,131.1
4592.T,AM0930_j-only,j-only,AM15,31,0.4193548387096774,6.13,1532.2,328.5
4592.T,AM1030_j-cross,j-cross,AM15,11,0.7272727272727273,2.22,554.7,210.2
4592.T,AM1015_j-cross,j-cross,AM15,11,0.7272727272727273,2.22,554.7,231.6
4592.T,AM1000_j-cross,j-cross,AM15,7,0.7142857142857143,1.48,369.7,241.8
6526.T,AM0930_j-only,j-only,AM15,16,0.875,1.16,289.1,462.5
5016.T,AM1000_j-only,j-only,AM15,37,0.8918918918918919,1.08,269.3,604.7
6526.T,AM0945_j-only,j-only,AM15,30,0.9333333333333332,0.83,208.0,895.2
6525.T,AM0945_j-only,j-only,AM15,20,1.0,0.67,168.7,0.0
6146.T,AM1000_j-only,j-only,AM15,16,1.0,0.59,148.4,0.0
6146.T,AM1015_j-only,j-only,AM15,16,1.0,0.59,148.4,0.0
6146.T,AM0945_j-only,j-only,AM15,16,1.0,0.59,148.4,0.0
6525.T,AM0945_j-cross,j-cross,AM15,8,1.0,0.52,130.2,0.0
6525.T,AM0930_j-only,j-only,AM15,13,1.0,0.49,123.0,0.0
