code,ranking,winrate,PF_eff,trades,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th
2315.T,DEKIDAKA,0.7777777777777778,1.863805970149254,9.0,1.0,0.8,1.5,0.6,0.02,0.02
2353.T,DEKIDAKA,0.875,4.66044776119403,8.0,1.0,1.0,1.5,0.6,0.02,0.02
3237.T,YORI,0.75,2.397121535181237,8.0,2.0,1.2,1.5,1.0,0.02,0.05
3402.T,TICK,0.7931034482758621,2.297547647607624,29.0,5.0,1.2,2.0,1.0,0.02,0.05
3536.T,DEKIDAKA,0.8888888888888888,4.260127931769721,18.0,1.0,0.8,1.5,0.6,0.02,0.02
4586.T,DEKIDAKA,0.6153846153846154,1.2784648187633263,13.0,1.0,1.2,1.5,0.8,0.02,0.02
5029.T,YORI,0.6,1.1985607675906185,10.0,3.0,1.2,1.5,0.6,0.02,0.02
6573.T,NEAGARI,0.6,1.1985607675906185,10.0,1.0,1.2,1.5,1.0,0.02,0.02
7375.T,NEAGARI,0.7333333333333333,2.1973614072494665,15.0,1.0,1.2,1.5,0.6,0.05,0.02
7719.T,YORI,0.6363636363636364,1.3983208955223885,11.0,1.0,1.2,1.5,1.0,0.05,0.02
8912.T,NESAGARI,0.625,1.3317341862117984,16.0,3.0,1.2,1.5,1.0,0.05,0.02
