code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD,ranking,stamp
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.2485714285714285,100,0.2448091186060787,0.2233009708737864,0.1792207792207792,103.0,2.0,1.2,2.0,1.0,0.05,0.05,0.1723160735705718,DEKIDAKA,20251015
1360.T,3,1.2,2.0,1.0,0.05,0.05,0.3505154639175257,0.3238095238095237,97,0.3234642650876157,0.2448979591836734,0.1945945945945945,98.0,3.0,1.2,2.0,1.0,0.05,0.05,0.1943871100208565,DEKIDAKA,20251015
1366.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,4,,0.375,0.3555555555555556,16.0,1.0,0.8,1.5,1.0,0.02,0.02,0.3195095948827292,DEKIDAKA,20251015
1459.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,12,0.799040511727079,0.1428571428571428,0.1538461538461538,35.0,1.0,1.2,1.5,1.0,0.02,0.02,0.1331734186211798,DEKIDAKA,20251015
1568.T,1,1.2,2.0,0.8,0.02,0.02,0.4130434782608695,0.4222222222222222,92,0.4217720319279697,0.225,0.18,80.0,1.0,1.2,2.0,0.8,0.02,0.02,0.1740078162283473,DEKIDAKA,20251015
1570.T,2,1.2,2.0,0.8,0.05,0.05,0.3300970873786408,0.3,103,0.2953369376886927,0.2868852459016393,0.2470588235294117,122.0,2.0,1.2,2.0,0.8,0.05,0.05,0.2411219420277865,DEKIDAKA,20251015
1579.T,3,1.2,2.0,0.6,0.02,0.05,0.2710280373831775,0.2259740259740259,107,0.2228390695004049,0.2605042016806723,0.2162790697674418,119.0,3.0,1.2,2.0,0.6,0.02,0.05,0.2111382719639417,DEKIDAKA,20251015
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.3109243697478991,0.2810126582278481,119,0.270443042295277,0.2936507936507936,0.2522727272727272,126.0,2.0,1.2,2.0,0.8,0.02,0.02,0.2491722412158732,DEKIDAKA,20251015
2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,,0.4545454545454545,0.5333333333333333,11.0,1.0,0.8,1.5,0.6,0.02,0.02,0.4437633262260128,DEKIDAKA,20251015
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.2042553191489361,60,0.1997601279317697,0.110091743119266,0.0989690721649484,109.0,1.0,1.2,1.5,1.0,0.05,0.02,0.0988503725847932,DEKIDAKA,20251015
2181.T,5,1.2,2.0,0.8,0.02,0.05,0.2547169811320754,0.2076923076923076,106,0.2048446444207127,0.3448275862068966,0.3157894736842105,87.0,5.0,1.2,2.0,0.8,0.02,0.05,0.3154527662619164,DEKIDAKA,20251015
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,,0.7777777777777778,1.866666666666667,9.0,1.0,0.8,1.5,0.6,0.02,0.02,1.863805970149254,DEKIDAKA,20251015
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.3692307692307692,0.36,65,0.3508450278425216,0.3424657534246575,0.3191489361702128,73.0,1.0,1.2,2.0,0.6,0.05,0.05,0.312166799946688,DEKIDAKA,20251015
285A.T,2,1.2,2.0,1.0,0.05,0.05,0.4470588235294118,0.5181818181818182,85,0.4845891430661779,0.3108108108108108,0.2705882352941176,74.0,2.0,1.2,2.0,1.0,0.05,0.05,0.2702997232479557,DEKIDAKA,20251015
3086.T,3,1.2,1.5,0.8,0.02,0.02,0.2844036697247706,0.3179487179487179,109,0.3175673828658904,0.2061855670103092,0.2077922077922078,97.0,3.0,1.2,1.5,0.8,0.02,0.02,0.2075429900589815,DEKIDAKA,20251015
314A.T,1,1.2,1.5,1.0,0.05,0.02,0.2987012987012987,0.3407407407407407,77,0.3403320698096818,0.3647058823529411,0.4592592592592592,85.0,1.0,1.2,1.5,1.0,0.05,0.02,0.4587084419173972,DEKIDAKA,20251015
3350.T,1,1.2,1.5,1.0,0.05,0.02,0.4827586206896552,0.7466666666666667,58,0.7457711442786071,0.1527777777777778,0.1491525423728813,72.0,1.0,1.2,1.5,1.0,0.05,0.02,0.1440892726065224,DEKIDAKA,20251015
3382.T,2,1.2,2.0,0.6,0.02,0.05,0.3636363636363636,0.352,121,0.342491574798652,0.3507462686567164,0.3525,134.0,2.0,1.2,2.0,0.6,0.02,0.05,0.3237923221515992,DEKIDAKA,20251015
3436.T,5,1.2,2.0,1.0,0.02,0.05,0.5242718446601942,0.6612244897959183,103,0.6605194656831145,0.2920353982300885,0.250632911392405,113.0,5.0,1.2,2.0,1.0,0.02,0.05,0.2472361055577769,DEKIDAKA,20251015
3647.T,2,1.2,1.5,0.8,0.02,0.05,0.3666666666666666,0.5176470588235293,30,0.4626024015262036,0.1012658227848101,0.0955223880597015,79.0,2.0,1.2,1.5,0.8,0.02,0.05,0.0900327337157272,DEKIDAKA,20251015
3656.T,1,1.2,1.5,1.0,0.05,0.02,0.6923076923076923,2.4,13,1.7978411513859274,0.1538461538461538,0.1454545454545454,13.0,1.0,1.2,1.5,1.0,0.05,0.02,0.145280093041287,DEKIDAKA,20251015
3697.T,3,1.2,2.0,1.0,0.05,0.05,0.3684210526315789,0.35,95,0.3496268159402905,0.2434782608695652,0.1953488372093023,115.0,3.0,1.2,2.0,1.0,0.05,0.05,0.1928975536222293,DEKIDAKA,20251015
4005.T,2,1.2,2.0,0.6,0.02,0.02,0.2636363636363636,0.2174999999999999,110,0.2145857706300196,0.3114754098360656,0.2714285714285714,122.0,2.0,1.2,2.0,0.6,0.02,0.02,0.2711391633822662,DEKIDAKA,20251015
4088.T,1,1.2,1.5,0.6,0.02,0.05,0.2222222222222222,0.2285714285714285,36,0.2282972890648797,0.205607476635514,0.2120481927710843,107.0,1.0,1.2,1.5,0.6,0.02,0.05,0.2068104853881851,DEKIDAKA,20251015
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,98,0.3196162046908316,0.3220338983050847,0.38,118.0,5.0,1.2,1.5,1.0,0.02,0.05,0.3795442430703625,DEKIDAKA,20251015
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.3011764705882352,119,0.2938999583363968,0.2886597938144329,0.3246376811594203,97.0,1.0,1.2,1.5,1.0,0.05,0.05,0.3242483235993942,DEKIDAKA,20251015
4503.T,5,1.2,2.0,0.6,0.05,0.05,0.3177570093457944,0.2873239436619718,107,0.2791540917879423,0.3518518518518518,0.3402985074626866,108.0,5.0,1.2,2.0,0.6,0.05,0.05,0.3253669960587194,DEKIDAKA,20251015
4506.T,1,1.2,1.5,1.0,0.02,0.05,0.2,0.1999999999999999,80,0.1997601279317697,0.1808510638297872,0.1766233766233766,94.0,1.0,1.2,1.5,1.0,0.02,0.05,0.1764115415501343,DEKIDAKA,20251015
4564.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0,DEKIDAKA,20251015
4568.T,3,1.2,2.0,1.0,0.05,0.05,0.2424242424242424,0.1919999999999999,99,0.1917952818872451,0.2571428571428571,0.2076923076923076,105.0,3.0,1.2,2.0,1.0,0.05,0.05,0.2074708578107218,DEKIDAKA,20251015
4571.T,3,1.2,1.5,0.8,0.05,0.05,0.3714285714285714,0.4952380952380952,35,0.472160302384183,0.1428571428571428,0.1371428571428571,84.0,3.0,1.2,1.5,0.8,0.05,0.05,0.1331734186211798,DEKIDAKA,20251015
4586.T,1,1.2,1.5,0.6,0.02,0.02,0.625,1.3333333333333333,24,1.3317341862117984,0.4642857142857143,0.6933333333333334,28.0,1.0,1.2,1.5,0.6,0.02,0.02,0.6925017768301351,DEKIDAKA,20251015
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,1.0,999.0,6.0,1.0,0.8,1.5,0.6,0.02,0.02,,DEKIDAKA,20251015
4689.T,1,1.2,2.0,0.6,0.05,0.05,0.2685185185185185,0.220253164556962,108,0.22001832178521,0.422680412371134,0.4555555555555555,97.0,1.0,1.2,2.0,0.6,0.05,0.05,0.4388173302107729,DEKIDAKA,20251015
4755.T,3,1.2,2.0,1.0,0.05,0.05,0.4205607476635514,0.4354838709677419,107,0.4350195405708684,0.3846153846153846,0.3857142857142857,117.0,3.0,1.2,2.0,1.0,0.05,0.05,0.3746001599360256,DEKIDAKA,20251015
5016.T,3,1.2,1.5,1.0,0.02,0.05,0.3066666666666666,0.3538461538461538,75,0.3534217648023618,0.2291666666666666,0.2410958904109588,96.0,3.0,1.2,1.5,1.0,0.02,0.05,0.2375525845675099,DEKIDAKA,20251015
