code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.30120481927710846,0.2727272727272727,83,0.2583449378869142
1366.T,1,1.0,1.5,0.6,0.05,0.02,0.6153846153846154,1.0666666666666667,13,1.0652452025586356
1459.T,3,1.2,2.0,0.8,0.05,0.02,0.4931506849315068,0.6,73,0.5831613300625696
1568.T,2,1.2,2.0,0.8,0.05,0.05,0.2627118644067797,0.21627906976744182,118,0.2135651486531824
1570.T,3,1.2,2.0,1.0,0.02,0.02,0.325,0.2925,120,0.288580863950716
1579.T,5,1.2,2.0,0.6,0.05,0.02,0.2764227642276423,0.23448275862068965,123,0.22896908652269432
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123
2134.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344
2181.T,1,1.2,1.5,1.0,0.05,0.05,0.2833333333333333,0.32380952380952377,60,0.31589973719442654
2315.T,1,1.0,1.5,0.8,0.02,0.02,0.875,4.666666666666667,8,4.66044776119403
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.44047619047619047,0.4826086956521739,84,0.4718367971960152
285A.T,3,1.2,2.0,1.0,0.02,0.05,0.5512820512820513,0.80625,78,0.7363568858171019
3086.T,2,1.2,2.0,0.8,0.05,0.05,0.47692307692307695,0.5636363636363636,65,0.5464755274360845
314A.T,1,1.2,1.5,0.8,0.02,0.02,0.35514018691588783,0.4470588235294118,107,0.4400512963134638
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246
3382.T,5,1.2,2.0,1.0,0.05,0.05,0.36428571428571427,0.3438202247191011,140,0.3434536297840415
3436.T,5,1.2,2.0,0.6,0.05,0.05,0.3826086956521739,0.3771428571428571,115,0.3714345247816367
3647.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3656.T,1,1.2,2.0,1.0,0.02,0.02,0.43478260869565216,0.5,23,0.461046350690493
3697.T,3,1.2,2.0,0.8,0.05,0.05,0.3055555555555556,0.27123287671232876,108,0.2637185125949621
4005.T,5,1.2,2.0,0.6,0.02,0.02,0.27102803738317754,0.22307692307692306,107,0.22283906950040497
4088.T,3,1.2,2.0,0.6,0.02,0.02,0.45588235294117646,0.5027027027027027,68,0.5021667008872127
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.42391304347826086,0.5886792452830188,92,0.5879732067425676
4446.T,2,1.2,2.0,0.8,0.05,0.05,0.24390243902439024,0.1956521739130435,123,0.1933420180314971
4503.T,5,1.2,1.5,1.0,0.02,0.05,0.2761904761904762,0.3093333333333333,105,0.3048970373695433
4506.T,3,1.2,1.5,1.0,0.02,0.02,0.1875,0.1846153846153846,128,0.18439396424471052
4564.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
4568.T,5,1.2,2.0,0.6,0.05,0.02,0.2796610169491525,0.2357142857142857,118,0.23269280523084884
4571.T,1,1.2,1.5,0.6,0.02,0.05,0.28378378378378377,0.3230769230769231,74,0.31660095747676714
4586.T,1,1.2,1.5,0.8,0.02,0.02,0.47619047619047616,0.8,21,0.7264004652064353
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
4689.T,2,1.2,1.5,1.0,0.02,0.05,0.37719298245614036,0.48450704225352115,114,0.4839259437220338
4755.T,3,1.2,2.0,1.0,0.05,0.02,0.3629032258064516,0.36,124,0.34140774070118796
5016.T,3,1.2,1.5,0.6,0.02,0.02,0.26785714285714285,0.2926829268292683,112,0.29233189453429714
5020.T,3,1.2,1.5,0.8,0.02,0.05,0.18461538461538463,0.1811320754716981,130,0.18091483284386695
5108.T,2,1.2,2.0,1.0,0.05,0.05,0.41284403669724773,0.43548387096774194,109,0.4214251799280288
5401.T,3,1.2,1.5,0.6,0.05,0.05,0.2815533980582524,0.3135135135135135,103,0.3131374978389904
5595.T,1,1.2,2.0,0.6,0.05,0.02,0.22807017543859648,0.18139534883720929,114,0.17708371196975758
5713.T,3,1.2,1.5,1.0,0.02,0.02,0.2627118644067797,0.28505747126436776,118,0.2847155846383845
5721.T,1,1.0,1.5,0.6,0.02,0.05,0.4838709677419355,0.625,31,0.6241671108742004
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.21739130434782608,0.17045454545454544,115,0.16648895997156693
5803.T,1,1.2,2.0,0.6,0.05,0.02,0.4148936170212766,0.4333333333333333,94,0.42500090872741814
6177.T,5,1.2,2.0,1.0,0.02,0.05,0.5256410256410257,0.7235294117647059,78,0.6641559592379265
6178.T,3,1.2,1.5,1.0,0.02,0.05,0.2727272727272727,0.3,121,0.29964019189765456
6315.T,3,1.2,1.5,0.8,0.02,0.02,0.183206106870229,0.18285714285714283,131,0.1792240400135504
6323.T,2,1.2,2.0,1.0,0.02,0.02,0.3220338983050847,0.304,118,0.28469612155137947
6326.T,3,1.2,1.5,0.6,0.02,0.05,0.23931623931623933,0.2545454545454546,117,0.2513835317793058
6330.T,2,1.2,1.5,0.6,0.02,0.05,0.23387096774193547,0.24421052631578946,124,0.24391762989563462
6501.T,3,1.2,2.0,0.6,0.02,0.02,0.23308270676691728,0.18415841584158413,133,0.18215850914536147
6503.T,1,1.2,1.5,0.6,0.05,0.02,0.1694915254237288,0.16842105263157894,118,0.1630694921891998
6506.T,5,1.2,2.0,1.0,0.05,0.02,0.3252032520325203,0.2962962962962963,123,0.2888483160952487
6525.T,2,1.2,1.5,1.0,0.05,0.05,0.2857142857142857,0.32,112,0.3196162046908316
6526.T,2,1.2,1.5,0.6,0.05,0.02,0.22727272727272727,0.24242424242424243,132,0.23501191521384673
6701.T,5,1.2,2.0,0.6,0.02,0.05,0.36792452830188677,0.36,106,0.348881342985194
6702.T,1,1.2,1.5,0.6,0.02,0.02,0.2403846153846154,0.2564102564102564,104,0.2528609214326199
6723.T,5,1.2,2.0,1.0,0.02,0.05,0.46464646464646464,0.5307692307692308,99,0.5201994673828582
6740.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,
6752.T,5,1.2,2.0,0.6,0.02,0.05,0.42574257425742573,0.46071428571428574,101,0.44435329316549244
6758.T,5,1.2,2.0,0.6,0.05,0.05,0.1836734693877551,0.13499999999999998,98,0.13485605757696922
6762.T,5,1.2,2.0,1.0,0.02,0.05,0.3617021276595745,0.36428571428571427,94,0.33963747834199653
6857.T,3,1.2,2.0,0.6,0.02,0.02,0.4166666666666667,0.4576271186440678,108,0.4281144684983151
6920.T,2,1.2,2.0,0.8,0.05,0.05,0.3867924528301887,0.3904761904761904,106,0.37805800756620433
6981.T,5,1.2,2.0,0.6,0.02,0.05,0.33653846153846156,0.31343283582089554,104,0.30402331820894835
6993.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
7011.T,1,1.2,2.0,0.6,0.05,0.05,0.29292929292929293,0.25217391304347825,99,0.2483063917290227
7012.T,1,1.2,1.5,0.8,0.02,0.02,0.18253968253968253,0.1786407766990291,126,0.17842652203614381
7013.T,2,1.2,2.0,0.8,0.05,0.05,0.3431372549019608,0.3387096774193548,102,0.31309864114055874
7138.T,3,1.2,2.0,0.8,0.02,0.02,0.125,0.0967741935483871,40,0.085622893699663
7182.T,5,1.2,2.0,1.0,0.05,0.05,0.3368421052631579,0.32,95,0.30443695537657955
7201.T,3,1.2,1.5,1.0,0.05,0.05,0.3157894736842105,0.37333333333333335,133,0.36878792848942105
7203.T,2,1.2,2.0,0.6,0.02,0.05,0.4406779661016949,0.4727272727272727,118,0.4722232319193535
7211.T,3,1.2,1.5,0.8,0.02,0.05,0.2682926829268293,0.29333333333333333,123,0.2929815209665957
7261.T,3,1.2,2.0,1.0,0.02,0.02,0.25,0.20727272727272728,152,0.19978675196588033
7267.T,5,1.2,2.0,1.0,0.05,0.05,0.5125,0.6833333333333332,80,0.6300966792770071
7453.T,5,1.2,2.0,1.0,0.05,0.05,0.48717948717948717,0.5700000000000001,78,0.5693922431027589
7532.T,1,1.2,1.5,1.0,0.05,0.02,0.37,0.4774193548387097,100,0.46927776085558603
7711.T,2,1.2,2.0,0.6,0.05,0.02,0.3904761904761905,0.38437499999999997,105,0.3839651639344262
7794.T,1,1.2,1.5,1.0,0.05,0.05,0.5454545454545454,1.0285714285714285,33,0.9588486140724946
8035.T,1,1.2,2.0,0.6,0.05,0.05,0.3,0.264,110,0.256868681098989
8058.T,5,1.2,1.5,1.0,0.05,0.02,0.39669421487603307,0.5260273972602739,121,0.525396500861641
8136.T,5,1.2,2.0,0.6,0.05,0.05,0.37362637362637363,0.38490566037735846,91,0.35751313509683846
8267.T,3,1.2,2.0,0.6,0.05,0.02,0.18604651162790697,0.13980582524271842,129,0.1369966299194608
8306.T,2,1.2,2.0,0.6,0.02,0.02,0.2900763358778626,0.24782608695652175,131,0.24489988950656297
8308.T,3,1.2,2.0,0.8,0.05,0.05,0.33663366336633666,0.31875,101,0.3041529656793999
8316.T,5,1.2,2.0,0.6,0.02,0.02,0.28346456692913385,0.23736263736263735,127,0.23710955178368215
8410.T,1,1.2,2.0,1.0,0.05,0.05,0.3392857142857143,0.3081081081081081,56,0.3077795908663562
8411.T,5,1.2,2.0,0.6,0.02,0.02,0.3088235294117647,0.2680851063829787,136,0.26779926327341413
8601.T,5,1.2,2.0,0.8,0.05,0.02,0.3283582089552239,0.296629213483146,134,0.29302056954995787
8604.T,3,1.2,2.0,0.6,0.05,0.05,0.2786885245901639,0.2318181818181818,122,0.23157100796045216
8729.T,5,1.2,2.0,0.6,0.05,0.02,0.4270833333333333,0.46415094339622637,96,0.446795827123696
8750.T,5,1.2,1.5,1.0,0.05,0.02,0.2975206611570248,0.3428571428571428,121,0.33841715790793936
8918.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
9432.T,2,1.2,2.0,1.0,0.05,0.02,0.6885245901639344,1.8,61,1.3249016183000484
9433.T,1,1.2,1.5,0.6,0.05,0.05,0.3333333333333333,0.4,90,0.3995202558635394
9434.T,5,1.2,2.0,0.8,0.02,0.05,0.4606741573033708,0.5234042553191489,89,0.5119535519125683
9501.T,2,1.2,2.0,1.0,0.05,0.02,0.2746478873239437,0.23399999999999999,142,0.22694223281561168
9704.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,
9984.T,3,1.2,1.5,1.0,0.05,0.05,0.323943661971831,0.39999999999999997,71,0.38287357853589205
