code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
138A.T,1,0.8,1.5,0.6,0.02,0.02,0.4,0.35555555555555557,5
138A.T,1,0.8,1.5,0.6,0.02,0.05,0.5,0.5333333333333333,4
138A.T,1,0.8,1.5,0.6,0.05,0.02,0.4,0.35555555555555557,5
138A.T,1,0.8,1.5,0.6,0.05,0.05,0.5,0.5333333333333333,4
138A.T,1,0.8,1.5,0.8,0.02,0.02,0.4,0.35555555555555557,5
138A.T,1,0.8,1.5,0.8,0.02,0.05,0.5,0.5333333333333333,4
138A.T,1,0.8,1.5,0.8,0.05,0.02,0.4,0.35555555555555557,5
138A.T,1,0.8,1.5,0.8,0.05,0.05,0.5,0.5333333333333333,4
138A.T,1,0.8,1.5,1.0,0.02,0.02,0.4,0.35555555555555557,5
138A.T,1,0.8,1.5,1.0,0.02,0.05,0.5,0.5333333333333333,4
138A.T,1,0.8,1.5,1.0,0.05,0.02,0.4,0.35555555555555557,5
138A.T,1,0.8,1.5,1.0,0.05,0.05,0.5,0.5333333333333333,4
138A.T,1,0.8,2.0,0.6,0.02,0.02,0.4,0.26666666666666666,5
138A.T,1,0.8,2.0,0.6,0.02,0.05,0.5,0.4,4
138A.T,1,0.8,2.0,0.6,0.05,0.02,0.4,0.26666666666666666,5
138A.T,1,0.8,2.0,0.6,0.05,0.05,0.5,0.4,4
138A.T,1,0.8,2.0,0.8,0.02,0.02,0.4,0.26666666666666666,5
138A.T,1,0.8,2.0,0.8,0.02,0.05,0.5,0.4,4
138A.T,1,0.8,2.0,0.8,0.05,0.02,0.4,0.26666666666666666,5
138A.T,1,0.8,2.0,0.8,0.05,0.05,0.5,0.4,4
138A.T,1,0.8,2.0,1.0,0.02,0.02,0.4,0.26666666666666666,5
138A.T,1,0.8,2.0,1.0,0.02,0.05,0.5,0.4,4
138A.T,1,0.8,2.0,1.0,0.05,0.02,0.4,0.26666666666666666,5
138A.T,1,0.8,2.0,1.0,0.05,0.05,0.5,0.4,4
138A.T,1,1.0,1.5,0.6,0.02,0.02,0.2,0.2222222222222222,5
138A.T,1,1.0,1.5,0.6,0.02,0.05,0.25,0.3333333333333333,4
138A.T,1,1.0,1.5,0.6,0.05,0.02,0.2,0.2222222222222222,5
138A.T,1,1.0,1.5,0.6,0.05,0.05,0.25,0.3333333333333333,4
