winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.07407407407407407,0.048484848484848485,27,138A.T,5,0.8,1.5,1.0,0.02,0.05,0.04260127931769723
0.21052631578947367,0.17142857142857143,19,1401.T,3,1.2,2.0,0.8,0.02,0.05,0.15982940157270425
0.0,0.0,6,1469.T,3,0.8,1.5,0.6,0.05,0.05,0.0
0.0,0.0,0,1472.T,1,1.2,1.5,0.6,0.02,0.02,0.0
0.3333333333333333,0.2,3,1477.T,3,0.8,2.0,1.0,0.02,0.02,0.19972011195521788
0.0,0.0,0,1481.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0
1.0,999.0,4,1550.T,5,1.2,2.0,1.0,0.02,0.05,
0.0,0.0,2,1585.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,2,1653.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.4,0.39999999999999997,45,168A.T,2,1.2,2.0,0.8,0.02,0.02,0.39957350393176067
0.0,0.0,2,1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,182A.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.2692307692307692,0.2947368421052632,26,2001.T,1,1.2,1.5,1.0,0.02,0.02,0.2943833464257659
0.0,0.0,0,2015.T,3,1.2,1.5,1.0,0.02,0.05,0.0
0.0,0.0,2,2018.T,3,1.2,1.5,1.0,0.02,0.02,0.0
0.5476190476190477,0.8624999999999999,42,212A.T,1,1.2,2.0,0.8,0.02,0.05,0.7255413624024077
0.25,0.20816326530612245,68,215A.T,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
1.0,999.0,2,2186.T,3,0.8,1.5,0.6,0.02,0.02,
0.11538461538461539,0.10909090909090909,26,2459.T,1,1.2,1.5,0.6,0.02,0.02,0.10422267544266248
0.0,0.0,0,2521.T,1,1.2,2.0,0.6,0.02,0.02,0.0
