code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
138A.T,5,0.8,1.5,1.0,0.02,0.05,1.0,999.0,1,,0.07407407407407407,0.048484848484848485,27.0,5.0,0.8,1.5,1.0,0.02,0.05,0.04260127931769723
1401.T,3,1.2,2.0,0.8,0.02,0.05,0.64,1.2,25,1.0655293438180284,0.21052631578947367,0.17142857142857143,19.0,3.0,1.2,2.0,0.8,0.02,0.05,0.15982940157270425
1469.T,3,0.8,1.5,0.6,0.05,0.05,0.5,0.6666666666666666,10,0.5325159914712154,0.0,0.0,6.0,3.0,0.8,1.5,0.6,0.05,0.05,0.0
1472.T,1,1.2,1.5,0.6,0.02,0.02,0.3333333333333333,0.39999999999999997,3,0.3995202558635394,0.0,0.0,0.0,1.0,1.2,1.5,0.6,0.02,0.02,0.0
1477.T,3,0.8,2.0,1.0,0.02,0.02,1.0,999.0,4,,0.3333333333333333,0.2,3.0,3.0,0.8,2.0,1.0,0.02,0.02,0.19972011195521788
1481.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
1550.T,5,1.2,2.0,1.0,0.02,0.05,0.5833333333333334,0.8400000000000001,12,0.8391043582566976,1.0,999.0,4.0,5.0,1.2,2.0,1.0,0.02,0.05,
1585.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
1653.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.0,0.0,2.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
168A.T,2,1.2,2.0,0.8,0.02,0.02,0.46153846153846156,0.5142857142857142,13,0.5137373621979779,0.4,0.39999999999999997,45.0,2.0,1.2,2.0,0.8,0.02,0.02,0.39957350393176067
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
182A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
2001.T,1,1.2,1.5,1.0,0.02,0.02,0.25,0.27428571428571424,48,0.26634683724235964,0.2692307692307692,0.2947368421052632,26.0,1.0,1.2,1.5,1.0,0.02,0.02,0.2943833464257659
2015.T,3,1.2,1.5,1.0,0.02,0.05,0.5,0.7999999999999999,2,0.799040511727079,0.0,0.0,0.0,3.0,1.2,1.5,1.0,0.02,0.05,0.0
2018.T,3,1.2,1.5,1.0,0.02,0.02,0.8333333333333334,4.0,6,3.995202558635396,0.0,0.0,2.0,3.0,1.2,1.5,1.0,0.02,0.02,0.0
212A.T,1,1.2,2.0,0.8,0.02,0.05,0.5428571428571428,0.8142857142857143,35,0.7117403038784486,0.5476190476190477,0.8624999999999999,42.0,1.0,1.2,2.0,0.8,0.02,0.05,0.7255413624024077
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344,0.25,0.20816326530612245,68.0,3.0,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
2186.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,1.0,999.0,2.0,3.0,0.8,1.5,0.6,0.02,0.02,
2459.T,1,1.2,1.5,0.6,0.02,0.02,0.3333333333333333,0.5333333333333333,6,0.3995202558635394,0.11538461538461539,0.10909090909090909,26.0,1.0,1.2,1.5,0.6,0.02,0.02,0.10422267544266248
2521.T,1,1.2,2.0,0.6,0.02,0.02,0.6,1.7999999999999998,5,0.8990403838464615,0.0,0.0,0.0,1.0,1.2,2.0,0.6,0.02,0.02,0.0
2526.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
2564.T,3,1.2,1.5,0.6,0.02,0.05,0.2222222222222222,0.2285714285714286,63,0.2282972890648797,0.13793103448275862,0.13333333333333333,29.0,3.0,1.2,1.5,0.6,0.02,0.05,0.12784648187633263
2622.T,5,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.0,0.0,3.0,5.0,0.8,1.5,0.6,0.02,0.02,0.0
2637.T,2,1.2,1.5,1.0,0.05,0.02,0.375,0.6,8,0.47942430703624733,0.5,0.7999999999999999,2.0,2.0,1.2,1.5,1.0,0.05,0.02,0.799040511727079
2643.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,,,,,,,,,,
2648.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
2653.T,2,1.2,2.0,0.6,0.02,0.02,0.17647058823529413,0.18,17,0.1284343405494945,0.29411764705882354,0.25,17.0,2.0,1.2,2.0,0.6,0.02,0.02,0.24973343995735045
2736.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.0,0.0,14.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
276A.T,2,1.2,1.5,0.6,0.05,0.02,0.25316455696202533,0.27586206896551724,79,0.270861190415959,0.27941176470588236,0.31666666666666665,68.0,2.0,1.2,1.5,0.6,0.05,0.02,0.3098320351594796
2791.T,1,1.2,1.5,1.0,0.02,0.02,0.5833333333333334,1.12,12,1.1186567164179109,0.16666666666666666,0.21818181818181817,18.0,1.0,1.2,1.5,1.0,0.02,0.02,0.1598081023454158
2849.T,5,1.2,1.5,0.6,0.02,0.05,0.47619047619047616,0.8,21,0.7264004652064353,0.0,0.0,0.0,5.0,1.2,1.5,0.6,0.02,0.05,0.0
2872.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,,0.14285714285714285,0.17777777777777778,7.0,1.0,0.8,1.5,0.6,0.02,0.02,0.08875266524520255
2934.T,3,1.2,1.5,0.6,0.02,0.05,0.32142857142857145,0.39999999999999997,28,0.3784928739759848,0.2,0.26666666666666666,5.0,3.0,1.2,1.5,0.6,0.02,0.05,0.19976012793176975
2936.T,2,1.2,2.0,0.8,0.02,0.02,0.3333333333333333,0.3054545454545455,84,0.29968012794882043,0.3673469387755102,0.37241379310344824,49.0,2.0,1.2,2.0,0.8,0.02,0.02,0.34801563245669476
3041.T,5,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.6666666666666666,1.5999999999999999,3.0,5.0,1.2,1.5,0.6,0.02,0.02,1.5980810234541576
3045.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.42857142857142855,0.4000000000000001,7.0,2.0,0.8,1.5,0.6,0.02,0.02,0.39938699360341157
3113.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
3139.T,2,1.2,1.5,0.8,0.02,0.05,0.44642857142857145,0.6451612903225806,56,0.6443875094573217,0.45454545454545453,0.75,33.0,2.0,1.2,1.5,0.8,0.02,0.05,0.6658670931058992
3349.T,5,1.2,2.0,0.6,0.02,0.02,0.2962962962962963,0.2553191489361702,135,0.25236221300953304,0.4117647058823529,0.4307692307692308,68.0,5.0,1.2,2.0,0.6,0.02,0.02,0.4195521791283487
3541.T,1,1.2,1.5,0.6,0.02,0.02,0.45,0.72,20,0.6537604186857918,0.35294117647058826,0.4799999999999999,17.0,1.0,1.2,1.5,0.6,0.02,0.02,0.43584027912386136
3647.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.17647058823529413,0.1142857142857143,17.0,1.0,0.8,1.5,0.6,0.02,0.02,0.11411056960097474
3766.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.8,1.5,0.6,0.02,0.02,0.0
3835.T,3,1.2,1.5,1.0,0.02,0.02,0.42857142857142855,0.6,28,0.5992803837953092,0.2916666666666667,0.35000000000000003,24.0,3.0,1.2,1.5,1.0,0.02,0.02,0.32901668129938555
3856.T,1,1.2,2.0,0.6,0.02,0.02,0.25862068965517243,0.21428571428571427,58,0.20907915903406082,0.25,0.3,4.0,1.0,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
3902.T,2,1.2,1.5,0.8,0.05,0.02,0.3269230769230769,0.38857142857142857,52,0.3881053914102955,0.2698412698412698,0.32380952380952377,63.0,2.0,1.2,1.5,0.8,0.05,0.02,0.29529758042087695
3929.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.0,0.0,0.0,2.0,0.8,1.5,0.6,0.02,0.02,0.0
