code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
138A.T,5,0.8,1.5,1.0,0.02,0.05,1.0,999.0,1,
1401.T,3,1.2,2.0,0.8,0.02,0.05,0.64,1.2,25,1.0655293438180284
1469.T,3,0.8,1.5,0.6,0.05,0.05,0.5,0.6666666666666666,10,0.5325159914712154
1472.T,1,1.2,1.5,0.6,0.02,0.02,0.3333333333333333,0.39999999999999997,3,0.3995202558635394
1477.T,3,0.8,2.0,1.0,0.02,0.02,1.0,999.0,4,
1481.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1550.T,5,1.2,2.0,1.0,0.02,0.05,0.5833333333333334,0.8400000000000001,12,0.8391043582566976
1585.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1653.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
168A.T,2,1.2,2.0,0.8,0.02,0.02,0.46153846153846156,0.5142857142857142,13,0.5137373621979779
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
182A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
2001.T,1,1.2,1.5,1.0,0.02,0.02,0.25,0.27428571428571424,48,0.26634683724235964
2015.T,3,1.2,1.5,1.0,0.02,0.05,0.5,0.7999999999999999,2,0.799040511727079
2018.T,3,1.2,1.5,1.0,0.02,0.02,0.8333333333333334,4.0,6,3.995202558635396
212A.T,1,1.2,2.0,0.8,0.02,0.05,0.5428571428571428,0.8142857142857143,35,0.7117403038784486
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344
2186.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
2459.T,1,1.2,1.5,0.6,0.02,0.02,0.3333333333333333,0.5333333333333333,6,0.3995202558635394
2521.T,1,1.2,2.0,0.6,0.02,0.02,0.6,1.7999999999999998,5,0.8990403838464615
2526.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
