code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1311.T,1,1.2,1.5,1.0,0.02,0.05,0.18518518518518517,0.18181818181818182,27,0.18160011630160883,0.0,0.0,2,1,1.2,1.5,1.0,0.02,0.05,0.0
1435.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,0.3333333333333333,0.26666666666666666,3,1,0.8,1.5,0.6,0.02,0.02,0.2662579957356076
1699.T,2,1.2,1.5,0.8,0.02,0.05,0.2054794520547945,0.20689655172413793,73,0.20664840820527902,0.1111111111111111,0.10434782608695652,27,2,1.2,1.5,0.8,0.02,0.05,0.09988006396588486
1835.T,1,1.2,1.5,0.6,0.05,0.05,0.3125,0.36363636363636365,16,0.3632002326032177,0.6,1.2,5,1,1.2,1.5,0.6,0.05,0.05,1.1985607675906185
1939.T,5,1.2,2.0,0.6,0.05,0.02,0.24,0.19999999999999998,50,0.18927165975714977,0.16666666666666666,0.11999999999999998,18,5,1.2,2.0,0.6,0.05,0.02,0.11987205117952819
1959.T,3,1.2,1.5,0.8,0.02,0.05,0.3157894736842105,0.36923076923076925,95,0.36878792848942105,0.17647058823529413,0.1714285714285714,51,3,1.2,1.5,0.8,0.02,0.05,0.1712229667986598
1968.T,3,1.2,1.5,0.6,0.05,0.05,0.2,0.19999999999999998,90,0.19976012793176975,0.0,0.0,23,3,1.2,1.5,0.6,0.05,0.05,0.0
2001.T,1,1.2,1.5,1.0,0.02,0.02,0.25,0.27428571428571424,48,0.26634683724235964,0.2692307692307692,0.2947368421052632,26,1,1.2,1.5,1.0,0.02,0.02,0.2943833464257659
2039.T,3,1.2,1.5,0.6,0.02,0.02,0.19047619047619047,0.21333333333333332,21,0.1880095321710774,0.5,1.3333333333333333,10,3,1.2,1.5,0.6,0.02,0.02,0.799040511727079
2134.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,,0.3333333333333333,0.26666666666666666,3,1,0.8,1.5,1.0,0.02,0.02,0.2662579957356076
2243.T,3,1.2,2.0,0.6,0.02,0.05,0.2967032967032967,0.253125,91,0.2528551079568173,0.21212121212121213,0.168,33,3,1.2,2.0,0.6,0.02,0.05,0.1613662227416726
2353.T,1,1.2,1.5,0.6,0.05,0.02,0.6,1.2,5,1.1985607675906185,0.0,0.0,3,1,1.2,1.5,0.6,0.05,0.02,0.0
2378.T,5,1.2,1.5,0.8,0.02,0.05,0.4166666666666667,0.6666666666666666,12,0.5707432226621993,0.25,0.26666666666666666,4,5,1.2,1.5,0.8,0.02,0.05,0.26634683724235964
2471.T,1,1.2,1.5,0.8,0.05,0.02,0.3157894736842105,0.43636363636363634,19,0.36878792848942105,0.5714285714285714,1.0666666666666667,7,1,1.2,1.5,0.8,0.05,0.02,1.0653873489694385
2558.T,5,1.2,2.0,0.6,0.02,0.05,0.2804878048780488,0.2379310344827586,82,0.23364891331602955,0.2,0.15652173913043477,30,5,1.2,2.0,0.6,0.02,0.05,0.14984006397441024
2563.T,2,1.2,2.0,0.8,0.05,0.02,0.35384615384615387,0.345,65,0.32822109251537485,0.2857142857142857,0.3,21,2,1.2,2.0,0.8,0.05,0.02,0.2397441023590564
2586.T,1,1.0,1.5,1.0,0.02,0.05,0.5454545454545454,0.8,11,0.7989339019189764,0.75,2.0,4,1,1.0,1.5,1.0,0.02,0.05,1.9973347547974414
2621.T,1,1.0,1.5,0.6,0.05,0.02,0.5263157894736842,0.7407407407407407,19,0.7397536128879412,0.3333333333333333,0.3333333333333333,9,1,1.0,1.5,0.6,0.05,0.02,0.33288912579957347
2624.T,3,1.2,1.5,0.6,0.05,0.05,0.2,0.19999999999999998,55,0.19976012793176975,0.1111111111111111,0.11428571428571428,18,3,1.2,1.5,0.6,0.05,0.05,0.09988006396588486
264A.T,1,1.2,1.5,0.6,0.02,0.05,0.16216216216216217,0.15999999999999998,37,0.15465300226975723,0.05555555555555555,0.047058823529411764,18,1,1.2,1.5,0.6,0.02,0.05,0.04700238304276935
2695.T,1,1.2,1.5,1.0,0.02,0.02,0.7,1.8666666666666667,10,1.8644278606965172,1.0,999.0,2,1,1.2,1.5,1.0,0.02,0.02,
2975.T,1,1.2,1.5,0.6,0.05,0.02,0.17647058823529413,0.18,51,0.1712229667986598,0.5714285714285714,1.0666666666666667,7,1,1.2,1.5,0.6,0.05,0.02,1.0653873489694385
3034.T,2,1.2,2.0,0.6,0.02,0.05,0.4691358024691358,0.5302325581395348,81,0.5296672028862874,0.4722222222222222,0.5666666666666667,36,2,1.2,2.0,0.6,0.02,0.05,0.5362697026452576
3038.T,3,1.2,1.5,0.8,0.05,0.05,0.18803418803418803,0.18526315789473682,117,0.18504096061048145,0.13333333333333333,0.12307692307692307,60,3,1.2,1.5,0.8,0.05,0.05,0.12292930949647368
3101.T,5,1.2,1.5,0.8,0.05,0.05,0.24390243902439024,0.26229508196721313,82,0.25775500378292865,0.25,0.2857142857142857,20,5,1.2,1.5,0.8,0.05,0.05,0.26634683724235964
3103.T,1,1.0,1.5,0.6,0.02,0.02,0.3333333333333333,0.4,9,0.33288912579957347,1.0,999.0,2,1,1.0,1.5,0.6,0.02,0.02,
3294.T,1,1.2,1.5,1.0,0.02,0.05,0.3488372093023256,0.4444444444444444,43,0.42805741699664945,0.038461538461538464,0.034782608695652174,26,1,1.2,1.5,1.0,0.02,0.05,0.031961620469083164
3487.T,1,1.2,1.5,0.6,0.02,0.02,0.6,1.2,20,1.1985607675906185,0.4444444444444444,1.5999999999999999,9,1,1.2,1.5,0.6,0.02,0.02,0.6392324093816631
3526.T,2,0.8,1.5,0.8,0.02,0.02,1.0,999.0,8,,1.0,999.0,4,2,0.8,1.5,0.8,0.02,0.02,
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,9,,0.8,2.1333333333333333,10,1,0.8,1.5,0.6,0.02,0.02,2.130063965884862
3541.T,1,1.2,1.5,0.6,0.02,0.02,0.45,0.72,20,0.6537604186857918,0.35294117647058826,0.4799999999999999,17,1,1.2,1.5,0.6,0.02,0.02,0.43584027912386136
3673.T,1,1.2,1.5,0.6,0.05,0.02,0.41379310344827586,0.5647058823529412,29,0.5640285965132321,0.5,0.7999999999999999,4,1,1.2,1.5,0.6,0.05,0.02,0.799040511727079
3835.T,3,1.2,1.5,1.0,0.02,0.02,0.42857142857142855,0.6,28,0.5992803837953092,0.2916666666666667,0.35000000000000003,24,3,1.2,1.5,1.0,0.02,0.02,0.32901668129938555
3939.T,2,1.2,1.5,1.0,0.02,0.05,0.5,0.8363636363636363,46,0.799040511727079,0.0,0.0,11,2,1.2,1.5,1.0,0.02,0.05,0.0
3962.T,5,1.2,2.0,1.0,0.02,0.02,0.27906976744186046,0.23225806451612901,86,0.2320104216377965,0.3333333333333333,0.3333333333333333,30,5,1.2,2.0,1.0,0.02,0.02,0.29968012794882043
4072.T,1,1.2,1.5,0.8,0.02,0.02,0.3157894736842105,0.3692307692307692,38,0.36878792848942105,0.0,0.0,9,1,1.2,1.5,0.8,0.02,0.02,0.0
4125.T,1,1.2,2.0,0.8,0.02,0.05,0.5454545454545454,0.72,11,0.719232307077169,0.2857142857142857,0.24,14,1,1.2,2.0,0.8,0.02,0.05,0.2397441023590564
4274.T,1,1.2,1.5,1.0,0.05,0.02,0.5,0.7999999999999999,6,0.799040511727079,0.6666666666666666,999.0,3,1,1.2,1.5,1.0,0.05,0.02,1.5980810234541576
4293.T,1,1.2,1.5,0.6,0.02,0.02,0.875,5.6000000000000005,8,5.593283582089553,0.0,0.0,1,1,1.2,1.5,0.6,0.02,0.02,0.0
4433.T,1,1.2,1.5,1.0,0.02,0.05,0.2222222222222222,0.22857142857142854,27,0.2282972890648797,0.16129032258064516,0.16,31,1,1.2,1.5,1.0,0.02,0.05,0.1536616368705921
4506.T,3,1.2,1.5,1.0,0.02,0.02,0.1875,0.1846153846153846,128,0.18439396424471052,0.15384615384615385,0.14545454545454545,65,3,1.2,1.5,1.0,0.02,0.02,0.14528009304128708
4563.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,9,,1.0,999.0,4,1,0.8,1.5,0.6,0.02,0.02,
4574.T,1,1.2,1.5,0.6,0.02,0.02,0.6,1.2,5,1.1985607675906185,0.0,0.0,2,1,1.2,1.5,0.6,0.02,0.02,0.0
4575.T,5,1.2,1.5,0.6,0.05,0.02,0.30927835051546393,0.36363636363636365,97,0.35777933360913994,0.2608695652173913,0.2823529411764706,23,5,1.2,1.5,0.6,0.05,0.02,0.2820142982566161
4576.T,1,1.0,1.5,1.0,0.05,0.02,0.6666666666666666,1.3333333333333333,3,1.3315565031982939,0.0,0.0,0,1,1.0,1.5,1.0,0.05,0.02,0.0
4596.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,,0.0,0.0,0,1,0.8,1.5,1.0,0.02,0.02,0.0
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,1.0,999.0,4,1,0.8,1.5,0.6,0.02,0.02,
