code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
1311.T,1,0.8,1.5,0.6,0.02,0.02,0.15625,0.09876543209876543,32
1311.T,1,0.8,1.5,0.6,0.02,0.05,0.16666666666666666,0.10666666666666667,30
1311.T,1,0.8,1.5,0.6,0.05,0.02,0.15625,0.09876543209876543,32
1311.T,1,0.8,1.5,0.6,0.05,0.05,0.16666666666666666,0.10666666666666667,30
1311.T,1,0.8,1.5,0.8,0.02,0.02,0.16666666666666666,0.10666666666666667,30
1311.T,1,0.8,1.5,0.8,0.02,0.05,0.1724137931034483,0.1111111111111111,29
1311.T,1,0.8,1.5,0.8,0.05,0.02,0.16666666666666666,0.10666666666666667,30
1311.T,1,0.8,1.5,0.8,0.05,0.05,0.1724137931034483,0.1111111111111111,29
1311.T,1,0.8,1.5,1.0,0.02,0.02,0.17857142857142858,0.11594202898550725,28
1311.T,1,0.8,1.5,1.0,0.02,0.05,0.18518518518518517,0.12121212121212122,27
1311.T,1,0.8,1.5,1.0,0.05,0.02,0.17857142857142858,0.11594202898550725,28
1311.T,1,0.8,1.5,1.0,0.05,0.05,0.18518518518518517,0.12121212121212122,27
1311.T,1,0.8,2.0,0.6,0.02,0.02,0.1875,0.09230769230769233,32
1311.T,1,0.8,2.0,0.6,0.02,0.05,0.2,0.10000000000000002,30
1311.T,1,0.8,2.0,0.6,0.05,0.02,0.1875,0.09230769230769233,32
1311.T,1,0.8,2.0,0.6,0.05,0.05,0.2,0.10000000000000002,30
1311.T,1,0.8,2.0,0.8,0.02,0.02,0.2,0.10000000000000002,30
1311.T,1,0.8,2.0,0.8,0.02,0.05,0.20689655172413793,0.10434782608695654,29
1311.T,1,0.8,2.0,0.8,0.05,0.02,0.2,0.10000000000000002,30
1311.T,1,0.8,2.0,0.8,0.05,0.05,0.20689655172413793,0.10434782608695654,29
1311.T,1,0.8,2.0,1.0,0.02,0.02,0.21428571428571427,0.10909090909090911,28
1311.T,1,0.8,2.0,1.0,0.02,0.05,0.2222222222222222,0.1142857142857143,27
