winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.0,0.0,2,1311.T,1,1.2,1.5,1.0,0.02,0.05,0.0
0.3333333333333333,0.26666666666666666,3,1435.T,1,0.8,1.5,0.6,0.02,0.02,0.2662579957356076
0.1111111111111111,0.10434782608695652,27,1699.T,2,1.2,1.5,0.8,0.02,0.05,0.09988006396588486
0.6,1.2,5,1835.T,1,1.2,1.5,0.6,0.05,0.05,1.1985607675906185
0.16666666666666666,0.11999999999999998,18,1939.T,5,1.2,2.0,0.6,0.05,0.02,0.11987205117952819
0.17647058823529413,0.1714285714285714,51,1959.T,3,1.2,1.5,0.8,0.02,0.05,0.1712229667986598
0.0,0.0,23,1968.T,3,1.2,1.5,0.6,0.05,0.05,0.0
0.2692307692307692,0.2947368421052632,26,2001.T,1,1.2,1.5,1.0,0.02,0.02,0.2943833464257659
0.5,1.3333333333333333,10,2039.T,3,1.2,1.5,0.6,0.02,0.02,0.799040511727079
0.3333333333333333,0.26666666666666666,3,2134.T,1,0.8,1.5,1.0,0.02,0.02,0.2662579957356076
0.21212121212121213,0.168,33,2243.T,3,1.2,2.0,0.6,0.02,0.05,0.1613662227416726
0.0,0.0,3,2353.T,1,1.2,1.5,0.6,0.05,0.02,0.0
0.25,0.26666666666666666,4,2378.T,5,1.2,1.5,0.8,0.02,0.05,0.26634683724235964
0.5714285714285714,1.0666666666666667,7,2471.T,1,1.2,1.5,0.8,0.05,0.02,1.0653873489694385
0.2,0.15652173913043477,30,2558.T,5,1.2,2.0,0.6,0.02,0.05,0.14984006397441024
0.2857142857142857,0.3,21,2563.T,2,1.2,2.0,0.8,0.05,0.02,0.2397441023590564
0.75,2.0,4,2586.T,1,1.0,1.5,1.0,0.02,0.05,1.9973347547974414
0.3333333333333333,0.3333333333333333,9,2621.T,1,1.0,1.5,0.6,0.05,0.02,0.33288912579957347
0.1111111111111111,0.11428571428571428,18,2624.T,3,1.2,1.5,0.6,0.05,0.05,0.09988006396588486
0.05555555555555555,0.047058823529411764,18,264A.T,1,1.2,1.5,0.6,0.02,0.05,0.04700238304276935
