code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
135A.T,2,1.2,2.0,0.8,0.05,0.02,0.24096385542168675,0.1935483870967742,83,0.1902730971103622,0.0,0.0,0,2,1.2,2.0,0.8,0.05,0.02,0.0
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26666666666666666,0.32,15,0.29056018608257417,0.4166666666666667,0.5714285714285714,12,1,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
1382.T,1,1.2,2.0,0.8,0.02,0.02,0.25,0.39999999999999997,8,0.19978675196588033,0.0,0.0,10,1,1.2,2.0,0.8,0.02,0.02,0.0
1401.T,3,1.2,2.0,0.8,0.02,0.05,0.64,1.2,25,1.0655293438180284,0.21052631578947367,0.17142857142857143,19,3,1.2,2.0,0.8,0.02,0.05,0.15982940157270425
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1491.T,5,1.2,2.0,0.6,0.05,0.05,0.4,0.46451612903225803,60,0.39957350393176067,0.47368421052631576,0.5399999999999999,38,5,1.2,2.0,0.6,0.05,0.05,0.5394242303078768
1543.T,5,1.2,1.5,1.0,0.02,0.02,0.38461538461538464,0.5,91,0.49940031982942434,0.2830188679245283,0.32432432432432434,53,5,1.2,1.5,1.0,0.02,0.02,0.3154107283133206
1675.T,1,1.2,2.0,1.0,0.02,0.02,0.48,0.6545454545454544,25,0.5532556208285917,0.6666666666666666,1.2,6,1,1.2,2.0,1.0,0.02,0.02,1.1987205117952817
168A.T,2,1.2,2.0,0.8,0.02,0.02,0.46153846153846156,0.5142857142857142,13,0.5137373621979779,0.4,0.39999999999999997,45,2,1.2,2.0,0.8,0.02,0.02,0.39957350393176067
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123,0.25,0.20425531914893616,64,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
1926.T,5,1.2,1.5,0.6,0.05,0.02,0.2765957446808511,0.30588235294117644,47,0.3055154897780008,0.2702702702702703,0.2962962962962963,37,5,1.2,1.5,0.6,0.05,0.02,0.2959409302692885
2138.T,5,1.2,2.0,0.6,0.02,0.05,0.6,0.8999999999999999,10,0.8990403838464615,0.14285714285714285,0.12,7,5,1.2,2.0,0.6,0.02,0.05,0.09989337598294017
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344,0.25,0.20816326530612245,68,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
219A.T,1,1.2,1.5,1.0,0.05,0.05,0.37,0.46984126984126984,100,0.46927776085558603,0.2459016393442623,0.2608695652173913,61,1,1.2,1.5,1.0,0.05,0.05,0.26055668860665615
