code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
135A.T,2,1.2,2.0,0.8,0.05,0.02,0.24096385542168675,0.1935483870967742,83,0.1902730971103622
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26666666666666666,0.32,15,0.29056018608257417
1382.T,1,1.2,2.0,0.8,0.02,0.02,0.25,0.39999999999999997,8,0.19978675196588033
1401.T,3,1.2,2.0,0.8,0.02,0.05,0.64,1.2,25,1.0655293438180284
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1491.T,5,1.2,2.0,0.6,0.05,0.05,0.4,0.46451612903225803,60,0.39957350393176067
1543.T,5,1.2,1.5,1.0,0.02,0.02,0.38461538461538464,0.5,91,0.49940031982942434
1675.T,1,1.2,2.0,1.0,0.02,0.02,0.48,0.6545454545454544,25,0.5532556208285917
168A.T,2,1.2,2.0,0.8,0.02,0.02,0.46153846153846156,0.5142857142857142,13,0.5137373621979779
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123
1926.T,5,1.2,1.5,0.6,0.05,0.02,0.2765957446808511,0.30588235294117644,47,0.3055154897780008
2138.T,5,1.2,2.0,0.6,0.02,0.05,0.6,0.8999999999999999,10,0.8990403838464615
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344
219A.T,1,1.2,1.5,1.0,0.05,0.05,0.37,0.46984126984126984,100,0.46927776085558603
228A.T,2,1.2,2.0,0.6,0.02,0.02,0.4186046511627907,0.44999999999999996,43,0.4315393842463016
2315.T,1,1.0,1.5,0.8,0.02,0.02,0.875,4.666666666666667,8,4.66044776119403
2370.T,1,1.0,1.5,0.6,0.02,0.05,0.5384615384615384,0.9333333333333333,13,0.7767412935323382
276A.T,2,1.2,1.5,0.6,0.05,0.02,0.25316455696202533,0.27586206896551724,79,0.270861190415959
