winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.0,0.0,0,135A.T,2,1.2,2.0,0.8,0.05,0.02,0.0
0.4166666666666667,0.5714285714285714,12,1376.T,1,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
0.0,0.0,10,1382.T,1,1.2,2.0,0.8,0.02,0.02,0.0
0.21052631578947367,0.17142857142857143,19,1401.T,3,1.2,2.0,0.8,0.02,0.05,0.15982940157270425
0.0,0.0,0,1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.47368421052631576,0.5399999999999999,38,1491.T,5,1.2,2.0,0.6,0.05,0.05,0.5394242303078768
0.2830188679245283,0.32432432432432434,53,1543.T,5,1.2,1.5,1.0,0.02,0.02,0.3154107283133206
0.6666666666666666,1.2,6,1675.T,1,1.2,2.0,1.0,0.02,0.02,1.1987205117952817
0.4,0.39999999999999997,45,168A.T,2,1.2,2.0,0.8,0.02,0.02,0.39957350393176067
0.25,0.20425531914893616,64,186A.T,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
0.2702702702702703,0.2962962962962963,37,1926.T,5,1.2,1.5,0.6,0.05,0.02,0.2959409302692885
0.14285714285714285,0.12,7,2138.T,5,1.2,2.0,0.6,0.02,0.05,0.09989337598294017
0.25,0.20816326530612245,68,215A.T,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
0.2459016393442623,0.2608695652173913,61,219A.T,1,1.2,1.5,1.0,0.05,0.05,0.26055668860665615
0.23076923076923078,0.19285714285714284,39,228A.T,2,1.2,2.0,0.6,0.02,0.02,0.1798080767692923
1.0,999.0,2,2315.T,1,1.0,1.5,0.8,0.02,0.02,
0.0,0.0,0,2370.T,1,1.0,1.5,0.6,0.02,0.05,0.0
0.27941176470588236,0.31666666666666665,68,276A.T,2,1.2,1.5,0.6,0.05,0.02,0.3098320351594796
0.2777777777777778,0.3076923076923077,36,278A.T,2,1.2,1.5,0.8,0.02,0.05,0.30732327374118423
0.12195121951219512,0.11764705882352941,41,290A.T,1,1.2,1.5,0.6,0.05,0.02,0.11097784885098318
0.08571428571428572,0.08275862068965516,35,2998.T,1,1.2,1.5,0.6,0.05,0.05,0.07491004797441367
0.24,0.2526315789473684,25,319A.T,1,1.2,1.5,1.0,0.05,0.05,0.25232858265065655
0.625,1.0,16,3267.T,5,1.2,2.0,0.6,0.02,0.02,0.9989337598294017
0.23076923076923078,0.18,13,335A.T,5,1.2,2.0,0.6,0.02,0.05,0.1798080767692923
0.0,0.0,28,338A.T,3,1.2,1.5,1.0,0.05,0.02,0.0
0.22641509433962265,0.23999999999999996,53,3446.T,3,1.2,1.5,0.6,0.02,0.02,0.23386551562743774
0.03225806451612903,0.030769230769230767,31,352A.T,2,1.2,1.5,0.6,0.05,0.02,0.026634683724235966
0.0,0.0,0,3664.T,1,1.0,1.5,0.6,0.02,0.02,0.0
0.2727272727272727,0.225,55,3692.T,1,1.2,2.0,0.6,0.05,0.02,0.22476009596161536
0.25,0.26666666666666666,4,3779.T,1,1.2,1.5,0.8,0.02,0.05,0.26634683724235964
0.125,0.13333333333333333,24,3843.T,2,1.2,1.5,1.0,0.05,0.02,0.11414864453243985
0.25,0.3,4,3856.T,1,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
0.2641509433962264,0.24000000000000002,53,3935.T,5,1.2,2.0,1.0,0.02,0.05,0.2151549636555634
0.2631578947368421,0.2857142857142857,19,3987.T,1,1.2,1.5,1.0,0.02,0.02,0.2853716113310996
0.234375,0.1875,64,4088.T,3,1.2,2.0,0.6,0.02,0.02,0.1834776293564207
0.2857142857142857,0.24,14,4125.T,1,1.2,2.0,0.8,0.02,0.05,0.2397441023590564
0.2641509433962264,0.2210526315789474,53,414A.T,2,1.2,2.0,0.8,0.05,0.05,0.2151549636555634
0.25806451612903225,0.20869565217391303,31,4168.T,5,1.2,2.0,0.6,0.02,0.05,0.208473132486136
0.22033898305084745,0.22608695652173913,59,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.22581579679243535
0.2222222222222222,0.17142857142857143,36,4418.T,5,1.2,2.0,0.8,0.02,0.02,0.171245787399326
0.5833333333333334,0.8400000000000001,12,4420.T,5,1.2,2.0,1.0,0.02,0.05,0.8391043582566976
0.40816326530612246,0.41379310344827586,49,4446.T,2,1.2,2.0,0.8,0.05,0.05,0.41335190061906274
0.19047619047619047,0.18823529411764706,42,4493.T,1,1.2,1.5,0.8,0.02,0.02,0.1880095321710774
0.15384615384615385,0.14545454545454545,13,4571.T,1,1.2,1.5,0.6,0.02,0.05,0.14528009304128708
0.6153846153846154,1.28,13,4586.T,1,1.2,1.5,0.8,0.02,0.02,1.2784648187633265
0.0,0.0,0,4596.T,1,0.8,1.5,1.0,0.02,0.02,0.0
0.5,0.7999999999999999,2,4667.T,5,1.2,1.5,0.8,0.05,0.05,0.799040511727079
0.42857142857142855,0.44999999999999996,21,5027.T,1,1.2,2.0,1.0,0.02,0.02,0.4495201919232308
0.07407407407407407,0.049999999999999996,27,5038.T,3,1.2,2.0,0.8,0.02,0.05,0.04794882047181128
0.3469387755102041,0.3290322580645161,49,5131.T,2,1.2,2.0,1.0,0.02,0.02,0.31841013594562173
0.25,0.20571428571428568,48,5243.T,1,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
0.14285714285714285,0.13333333333333333,7,5256.T,1,1.2,1.5,0.6,0.02,0.02,0.13317341862117982
0.24,0.19999999999999998,50,5595.T,1,1.2,2.0,0.6,0.05,0.02,0.18927165975714977
0.6,1.6000000000000003,5,5644.T,2,0.8,1.5,0.6,0.02,0.02,0.7987739872068231
0.3114754098360656,0.2780487804878049,61,5724.T,1,1.2,2.0,1.0,0.05,0.05,0.2711391633822662
0.5294117647058824,0.7714285714285714,17,5729.T,5,1.2,2.0,0.6,0.02,0.05,0.6742802878848462
0.4,0.5333333333333333,5,5982.T,2,1.2,1.5,1.0,0.02,0.02,0.5326936744847194
0.5555555555555556,0.8333333333333334,9,5998.T,1,1.0,2.0,1.0,0.02,0.05,0.624250299880048
0.0,0.0,1,6022.T,5,1.2,1.5,0.6,0.02,0.05,0.0
0.0,0.0,0,6190.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.12727272727272726,0.11666666666666667,55,6232.T,5,1.2,1.5,0.6,0.05,0.05,0.11652674129353233
0.32653061224489793,0.3,49,6254.T,5,1.2,2.0,0.6,0.05,0.02,0.29059891195037135
0.23809523809523808,0.26666666666666666,21,6269.T,1,1.2,1.5,1.0,0.02,0.05,0.24970015991471214
0.05063291139240506,0.04324324324324324,79,6326.T,3,1.2,1.5,0.6,0.02,0.05,0.04261549395877755
