code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
130A.T,1,0.8,1.5,0.6,0.02,0.02,0.42105263157894735,0.3878787878787879,19
130A.T,1,0.8,1.5,0.6,0.02,0.05,0.3888888888888889,0.3393939393939394,18
130A.T,1,0.8,1.5,0.6,0.05,0.02,0.42105263157894735,0.3878787878787879,19
130A.T,1,0.8,1.5,0.6,0.05,0.05,0.3888888888888889,0.3393939393939394,18
130A.T,1,0.8,1.5,0.8,0.02,0.02,0.4444444444444444,0.4266666666666667,18
130A.T,1,0.8,1.5,0.8,0.02,0.05,0.4117647058823529,0.37333333333333335,17
130A.T,1,0.8,1.5,0.8,0.05,0.02,0.4444444444444444,0.4266666666666667,18
130A.T,1,0.8,1.5,0.8,0.05,0.05,0.4117647058823529,0.37333333333333335,17
130A.T,1,0.8,1.5,1.0,0.02,0.02,0.4444444444444444,0.4266666666666667,18
130A.T,1,0.8,1.5,1.0,0.02,0.05,0.4117647058823529,0.37333333333333335,17
130A.T,1,0.8,1.5,1.0,0.05,0.02,0.4444444444444444,0.4266666666666667,18
130A.T,1,0.8,1.5,1.0,0.05,0.05,0.4117647058823529,0.37333333333333335,17
130A.T,1,0.8,2.0,0.6,0.02,0.02,0.42105263157894735,0.29090909090909095,19
130A.T,1,0.8,2.0,0.6,0.02,0.05,0.3888888888888889,0.2545454545454546,18
130A.T,1,0.8,2.0,0.6,0.05,0.02,0.42105263157894735,0.29090909090909095,19
130A.T,1,0.8,2.0,0.6,0.05,0.05,0.3888888888888889,0.2545454545454546,18
130A.T,1,0.8,2.0,0.8,0.02,0.02,0.4444444444444444,0.32,18
130A.T,1,0.8,2.0,0.8,0.02,0.05,0.4117647058823529,0.28,17
130A.T,1,0.8,2.0,0.8,0.05,0.02,0.4444444444444444,0.32,18
130A.T,1,0.8,2.0,0.8,0.05,0.05,0.4117647058823529,0.28,17
130A.T,1,0.8,2.0,1.0,0.02,0.02,0.4444444444444444,0.32,18
130A.T,1,0.8,2.0,1.0,0.02,0.05,0.4117647058823529,0.28,17
130A.T,1,0.8,2.0,1.0,0.05,0.02,0.4444444444444444,0.32,18
130A.T,1,0.8,2.0,1.0,0.05,0.05,0.4117647058823529,0.28,17
130A.T,1,1.0,1.5,0.6,0.02,0.02,0.42105263157894735,0.48484848484848486,19
130A.T,1,1.0,1.5,0.6,0.02,0.05,0.3888888888888889,0.42424242424242425,18
130A.T,1,1.0,1.5,0.6,0.05,0.02,0.42105263157894735,0.48484848484848486,19
130A.T,1,1.0,1.5,0.6,0.05,0.05,0.3888888888888889,0.42424242424242425,18
130A.T,1,1.0,1.5,0.8,0.02,0.02,0.4444444444444444,0.5333333333333333,18
130A.T,1,1.0,1.5,0.8,0.02,0.05,0.4117647058823529,0.4666666666666667,17
130A.T,1,1.0,1.5,0.8,0.05,0.02,0.4444444444444444,0.5333333333333333,18
130A.T,1,1.0,1.5,0.8,0.05,0.05,0.4117647058823529,0.4666666666666667,17
130A.T,1,1.0,1.5,1.0,0.02,0.02,0.4444444444444444,0.5333333333333333,18
130A.T,1,1.0,1.5,1.0,0.02,0.05,0.4117647058823529,0.4666666666666667,17
130A.T,1,1.0,1.5,1.0,0.05,0.02,0.4444444444444444,0.5333333333333333,18
130A.T,1,1.0,1.5,1.0,0.05,0.05,0.4117647058823529,0.4666666666666667,17
130A.T,1,1.0,2.0,0.6,0.02,0.02,0.42105263157894735,0.36363636363636365,19
130A.T,1,1.0,2.0,0.6,0.02,0.05,0.3888888888888889,0.3181818181818182,18
130A.T,1,1.0,2.0,0.6,0.05,0.02,0.42105263157894735,0.36363636363636365,19
130A.T,1,1.0,2.0,0.6,0.05,0.05,0.3888888888888889,0.3181818181818182,18
130A.T,1,1.0,2.0,0.8,0.02,0.02,0.4444444444444444,0.4,18
130A.T,1,1.0,2.0,0.8,0.02,0.05,0.4117647058823529,0.35,17
130A.T,1,1.0,2.0,0.8,0.05,0.02,0.4444444444444444,0.4,18
130A.T,1,1.0,2.0,0.8,0.05,0.05,0.4117647058823529,0.35,17
130A.T,1,1.0,2.0,1.0,0.02,0.02,0.4444444444444444,0.4,18
130A.T,1,1.0,2.0,1.0,0.02,0.05,0.4117647058823529,0.35,17
130A.T,1,1.0,2.0,1.0,0.05,0.02,0.4444444444444444,0.4,18
130A.T,1,1.0,2.0,1.0,0.05,0.05,0.4117647058823529,0.35,17
130A.T,1,1.2,1.5,0.6,0.02,0.02,0.42105263157894735,0.5818181818181818,19
130A.T,1,1.2,1.5,0.6,0.02,0.05,0.3888888888888889,0.5090909090909091,18
130A.T,1,1.2,1.5,0.6,0.05,0.02,0.42105263157894735,0.5818181818181818,19
130A.T,1,1.2,1.5,0.6,0.05,0.05,0.3888888888888889,0.5090909090909091,18
130A.T,1,1.2,1.5,0.8,0.02,0.02,0.4444444444444444,0.64,18
130A.T,1,1.2,1.5,0.8,0.02,0.05,0.4117647058823529,0.56,17
130A.T,1,1.2,1.5,0.8,0.05,0.02,0.4444444444444444,0.64,18
130A.T,1,1.2,1.5,0.8,0.05,0.05,0.4117647058823529,0.56,17
130A.T,1,1.2,1.5,1.0,0.02,0.02,0.4444444444444444,0.64,18
130A.T,1,1.2,1.5,1.0,0.02,0.05,0.4117647058823529,0.56,17
