code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
130A.T,1,1.2,1.5,0.8,0.02,0.02,0.4444444444444444,0.64,18,0.6392324093816631
1356.T,2,1.2,2.0,0.8,0.05,0.05,0.26119402985074625,0.21875,134,0.21189503996381245
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.30120481927710846,0.2727272727272727,83,0.2583449378869142
1366.T,1,1.0,1.5,0.6,0.05,0.02,0.6153846153846154,1.0666666666666667,13,1.0652452025586356
1368.T,2,1.2,1.5,0.6,0.02,0.05,0.3488372093023256,0.4444444444444444,43,0.42805741699664945
1407.T,3,1.2,2.0,1.0,0.02,0.05,0.2857142857142857,0.24,91,0.2397441023590564
1459.T,3,1.2,2.0,0.8,0.05,0.02,0.4931506849315068,0.6,73,0.5831613300625696
1466.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,2,
1469.T,3,0.8,1.5,0.6,0.05,0.05,0.5,0.6666666666666666,10,0.5325159914712154
1472.T,1,1.2,1.5,0.6,0.02,0.02,0.3333333333333333,0.39999999999999997,3,0.3995202558635394
1689.T,2,1.2,1.5,1.0,0.02,0.05,0.3958333333333333,0.5241379310344828,48,0.5235093007867069
1960.T,1,1.2,2.0,0.6,0.02,0.02,0.5,0.6,2,0.599360255897641
2034.T,2,1.2,2.0,0.6,0.02,0.02,0.4,0.6,5,0.39957350393176067
2038.T,2,1.2,1.5,1.0,0.02,0.05,0.13,0.12839506172839507,100,0.11939685807416123
205A.T,1,1.2,2.0,1.0,0.02,0.05,0.5555555555555556,0.75,9,0.7492003198720513
2086.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
212A.T,1,1.2,2.0,0.8,0.02,0.05,0.5428571428571428,0.8142857142857143,35,0.7117403038784486
2179.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
2334.T,5,1.2,1.5,0.6,0.05,0.05,0.2222222222222222,0.23999999999999996,81,0.2282972890648797
2337.T,5,1.2,2.0,1.0,0.02,0.05,0.7804878048780488,2.1333333333333333,41,2.1310586876360573
2379.T,5,1.2,1.5,1.0,0.05,0.02,0.32558139534883723,0.3929824561403509,86,0.385743695316521
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.44047619047619047,0.4826086956521739,84,0.4718367971960152
2646.T,1,1.2,2.0,0.8,0.02,0.02,0.11764705882352941,0.08888888888888889,34,0.07991470078635213
2743.T,1,1.2,1.5,0.8,0.05,0.02,0.5714285714285714,1.0666666666666667,14,1.0653873489694385
2791.T,1,1.2,1.5,1.0,0.02,0.02,0.5833333333333334,1.12,12,1.1186567164179109
280A.T,2,1.2,1.5,0.6,0.02,0.05,0.5,0.8,38,0.799040511727079
2870.T,3,1.2,1.5,0.8,0.02,0.05,0.38461538461538464,0.5,52,0.49940031982942434
2872.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
2901.T,2,1.2,2.0,1.0,0.05,0.05,0.27586206896551724,0.24,29,0.22832771653243467
2936.T,2,1.2,2.0,0.8,0.02,0.02,0.3333333333333333,0.3054545454545455,84,0.29968012794882043
2962.T,1,1.2,1.5,1.0,0.02,0.02,0.32941176470588235,0.4,85,0.3925111285676879
3045.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3086.T,2,1.2,2.0,0.8,0.05,0.05,0.47692307692307695,0.5636363636363636,65,0.5464755274360845
3087.T,5,1.2,2.0,0.8,0.02,0.02,0.44871794871794873,0.5,78,0.48785137107947524
3139.T,2,1.2,1.5,0.8,0.02,0.05,0.44642857142857145,0.6451612903225806,56,0.6443875094573217
3189.T,1,1.0,1.5,1.0,0.05,0.05,0.3548387096774194,0.38596491228070173,31,0.36617803837953095
3198.T,3,1.2,1.5,0.6,0.02,0.05,0.2727272727272727,0.3428571428571428,33,0.29964019189765456
3281.T,1,1.2,1.5,0.8,0.05,0.02,0.631578947368421,1.3714285714285712,19,1.369783734389278
3349.T,5,1.2,2.0,0.6,0.02,0.02,0.2962962962962963,0.2553191489361702,135,0.25236221300953304
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246
3370.T,5,1.2,2.0,0.6,0.02,0.05,0.4482758620689655,0.4875,87,0.48698020791683333
340A.T,1,1.2,1.5,0.8,0.02,0.05,0.125,0.11428571428571428,8,0.11414864453243985
3477.T,3,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,9,
3541.T,1,1.2,1.5,0.6,0.02,0.02,0.45,0.72,20,0.6537604186857918
3608.T,3,1.2,1.5,0.8,0.02,0.02,0.32967032967032966,0.39344262295081966,91,0.3929707434723339
3622.T,2,0.8,1.5,0.6,0.02,0.02,0.5,999.0,2,0.5325159914712154
3661.T,1,1.2,1.5,0.8,0.02,0.02,0.24242424242424243,0.256,66,0.25569296375266526
3835.T,3,1.2,1.5,1.0,0.02,0.02,0.42857142857142855,0.6,28,0.5992803837953092
3902.T,2,1.2,1.5,0.8,0.05,0.02,0.3269230769230769,0.38857142857142857,52,0.3881053914102955
3905.T,5,1.2,2.0,0.8,0.02,0.02,0.2524271844660194,0.20259740259740258,103,0.20238138510829434
3996.T,1,1.2,1.5,0.6,0.02,0.02,0.3076923076923077,0.39999999999999997,13,0.35512911632314625
4017.T,1,1.2,1.5,0.8,0.05,0.05,0.3333333333333333,0.39999999999999997,3,0.3995202558635394
4057.T,5,1.2,1.5,0.6,0.02,0.02,0.3,0.3692307692307692,40,0.34244593359731956
4176.T,1,1.2,2.0,1.0,0.05,0.02,0.4166666666666667,0.42857142857142855,24,0.4281144684983151
4198.T,3,1.2,1.5,0.6,0.02,0.05,0.8,3.1999999999999997,5,3.1961620469083165
4243.T,5,1.2,1.5,1.0,0.05,0.05,0.2857142857142857,0.32,28,0.3196162046908316
4343.T,1,1.0,2.0,1.0,0.02,0.02,0.625,0.8333333333333334,8,0.8323337331733973
4384.T,1,1.2,1.5,0.8,0.05,0.02,0.35135135135135137,0.45217391304347826,37,0.43281361051883444
4415.T,2,1.0,1.5,0.8,0.02,0.05,0.2,0.16666666666666666,40,0.1664445628997868
4421.T,5,1.2,2.0,0.8,0.05,0.02,0.26666666666666666,0.24,15,0.21794918396277851
4429.T,2,1.2,1.5,0.6,0.02,0.02,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
4588.T,1,1.2,2.0,1.0,0.05,0.05,0.29,0.2597014925373134,100,0.2448091186060787
4760.T,3,1.2,2.0,1.0,0.05,0.02,0.6666666666666666,1.2,9,1.1987205117952817
4888.T,2,1.2,1.5,0.6,0.02,0.02,0.10606060606060606,0.09655172413793103,66,0.09480141664558564
5129.T,5,1.2,1.5,0.6,0.05,0.05,0.18518518518518517,0.19047619047619047,54,0.18160011630160883
5246.T,1,1.2,1.5,1.0,0.05,0.02,0.17543859649122806,0.1702127659574468,57,0.17000861951639978
5250.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
5341.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
5578.T,1,1.2,1.5,0.6,0.02,0.05,0.4,0.5333333333333333,10,0.5326936744847194
5721.T,1,1.0,1.5,0.6,0.02,0.05,0.4838709677419355,0.625,31,0.6241671108742004
5858.T,1,1.2,1.5,0.6,0.02,0.02,0.46153846153846156,0.6857142857142856,13,0.6848918671946391
5952.T,2,1.2,1.5,1.0,0.05,0.05,0.4857142857142857,0.7999999999999999,35,0.7546493721866858
5987.T,5,0.8,1.5,0.6,0.02,0.02,0.5714285714285714,1.0666666666666667,7,0.7100213219616204
6098.T,5,1.2,2.0,1.0,0.05,0.05,0.4567901234567901,0.5045454545454545,81,0.5040074879139254
6173.T,3,0.8,1.5,0.6,0.02,0.05,1.0,999.0,1,
