code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136,0.19298245614035087,0.14666666666666667,57,3,1.2,2.0,1.0,0.05,0.05,0.14332527858421848
1540.T,3,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,105,0.3196162046908316,0.14545454545454545,0.13617021276595745,55,3,1.2,1.5,1.0,0.02,0.05,0.13600689561311982
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.4533333333333333,0.5368421052631579,75,0.4970304561102389,0.5306122448979592,0.7090909090909091,49,5,1.2,2.0,1.0,0.05,0.05,0.6775376805799421
1570.T,3,1.2,2.0,1.0,0.02,0.02,0.325,0.2925,120,0.288580863950716,0.17391304347826086,0.12857142857142856,69,3,1.2,2.0,1.0,0.02,0.02,0.12618110650476652
1605.T,5,1.2,2.0,0.6,0.05,0.05,0.256198347107438,0.2089887640449438,121,0.206446310364743,0.1282051282051282,0.08823529411764706,39,5,1.2,2.0,0.6,0.05,0.05,0.08814121410259425
1802.T,2,1.2,2.0,0.6,0.02,0.05,0.422680412371134,0.4392857142857142,97,0.4388173302107729,0.5681818181818182,0.7894736842105263,44,2,1.2,2.0,0.6,0.02,0.05,0.7886319156547908
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123,0.25,0.20425531914893616,64,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
1942.T,5,1.2,2.0,1.0,0.02,0.02,0.3305785123966942,0.3037974683544304,121,0.2959803732827857,0.1724137931034483,0.125,58,5,1.2,2.0,1.0,0.02,0.02,0.12486671997867521
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344,0.25,0.20816326530612245,68,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
219A.T,1,1.2,1.5,1.0,0.05,0.05,0.37,0.46984126984126984,100,0.46927776085558603,0.2459016393442623,0.2608695652173913,61,1,1.2,1.5,1.0,0.05,0.05,0.26055668860665615
247A.T,5,1.2,2.0,0.6,0.05,0.05,0.34513274336283184,0.32499999999999996,113,0.31587905378389186,0.5,0.6,36,5,1.2,2.0,0.6,0.05,0.05,0.599360255897641
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.44047619047619047,0.4826086956521739,84,0.4718367971960152,0.22580645161290322,0.1826086956521739,31,1,1.2,2.0,0.6,0.05,0.05,0.17481340797014527
285A.T,3,1.2,2.0,1.0,0.02,0.05,0.5512820512820513,0.80625,78,0.7363568858171019,0.43902439024390244,0.4695652173913043,41,3,1.2,2.0,1.0,0.02,0.05,0.469064548093806
3064.T,5,1.2,1.5,1.0,0.02,0.02,0.1896551724137931,0.18924731182795698,116,0.18700948146803975,0.11475409836065574,0.10370370370370371,61,5,1.2,1.5,1.0,0.02,0.02,0.103579325594251
3086.T,2,1.2,2.0,0.8,0.05,0.05,0.47692307692307695,0.5636363636363636,65,0.5464755274360845,0.288135593220339,0.2615384615384615,59,2,1.2,2.0,0.8,0.05,0.05,0.24259819881571185
3349.T,5,1.2,2.0,0.6,0.02,0.02,0.2962962962962963,0.2553191489361702,135,0.25236221300953304,0.4117647058823529,0.4307692307692308,68,5,1.2,2.0,0.6,0.02,0.02,0.4195521791283487
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246,0.3953488372093023,0.523076923076923,43,2,1.2,1.5,0.6,0.02,0.05,0.5224495653600132
3402.T,5,1.2,2.0,1.0,0.02,0.05,0.2892561983471074,0.24705882352941178,121,0.24392568553973756,0.7931034482758621,2.3,29,5,1.2,2.0,1.0,0.02,0.05,2.297547647607624
3436.T,5,1.2,2.0,0.6,0.05,0.05,0.3826086956521739,0.3771428571428571,115,0.3714345247816367,0.2653061224489796,0.22285714285714286,49,5,1.2,2.0,0.6,0.05,0.05,0.21643564796303708
3692.T,1,1.2,2.0,0.6,0.05,0.02,0.12745098039215685,0.09069767441860464,102,0.08754700367044194,0.2727272727272727,0.225,55,1,1.2,2.0,0.6,0.05,0.02,0.22476009596161536
