code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136
1540.T,3,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,105,0.3196162046908316
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.4533333333333333,0.5368421052631579,75,0.4970304561102389
1570.T,3,1.2,2.0,1.0,0.02,0.02,0.325,0.2925,120,0.288580863950716
1605.T,5,1.2,2.0,0.6,0.05,0.05,0.256198347107438,0.2089887640449438,121,0.206446310364743
1802.T,2,1.2,2.0,0.6,0.02,0.05,0.422680412371134,0.4392857142857142,97,0.4388173302107729
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123
1942.T,5,1.2,2.0,1.0,0.02,0.02,0.3305785123966942,0.3037974683544304,121,0.2959803732827857
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344
219A.T,1,1.2,1.5,1.0,0.05,0.05,0.37,0.46984126984126984,100,0.46927776085558603
247A.T,5,1.2,2.0,0.6,0.05,0.05,0.34513274336283184,0.32499999999999996,113,0.31587905378389186
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.44047619047619047,0.4826086956521739,84,0.4718367971960152
285A.T,3,1.2,2.0,1.0,0.02,0.05,0.5512820512820513,0.80625,78,0.7363568858171019
3064.T,5,1.2,1.5,1.0,0.02,0.02,0.1896551724137931,0.18924731182795698,116,0.18700948146803975
3086.T,2,1.2,2.0,0.8,0.05,0.05,0.47692307692307695,0.5636363636363636,65,0.5464755274360845
3349.T,5,1.2,2.0,0.6,0.02,0.02,0.2962962962962963,0.2553191489361702,135,0.25236221300953304
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246
3402.T,5,1.2,2.0,1.0,0.02,0.05,0.2892561983471074,0.24705882352941178,121,0.24392568553973756
3436.T,5,1.2,2.0,0.6,0.05,0.05,0.3826086956521739,0.3771428571428571,115,0.3714345247816367
3692.T,1,1.2,2.0,0.6,0.05,0.02,0.12745098039215685,0.09069767441860464,102,0.08754700367044194
3697.T,3,1.2,2.0,0.8,0.05,0.05,0.3055555555555556,0.27123287671232876,108,0.2637185125949621
3905.T,5,1.2,2.0,0.8,0.02,0.02,0.2524271844660194,0.20259740259740258,103,0.20238138510829434
4063.T,3,1.2,2.0,0.8,0.05,0.05,0.36082474226804123,0.3442622950819672,97,0.3383485315551199
4088.T,3,1.2,2.0,0.6,0.02,0.02,0.45588235294117646,0.5027027027027027,68,0.5021667008872127
4188.T,3,1.2,2.0,0.8,0.02,0.05,0.2222222222222222,0.17142857142857143,126,0.171245787399326
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.42391304347826086,0.5886792452830188,92,0.5879732067425676
4446.T,2,1.2,2.0,0.8,0.05,0.05,0.24390243902439024,0.1956521739130435,123,0.1933420180314971
4503.T,5,1.2,1.5,1.0,0.02,0.05,0.2761904761904762,0.3093333333333333,105,0.3048970373695433
4506.T,3,1.2,1.5,1.0,0.02,0.02,0.1875,0.1846153846153846,128,0.18439396424471052
4568.T,5,1.2,2.0,0.6,0.05,0.02,0.2796610169491525,0.2357142857142857,118,0.23269280523084884
4571.T,1,1.2,1.5,0.6,0.02,0.05,0.28378378378378377,0.3230769230769231,74,0.31660095747676714
4689.T,2,1.2,1.5,1.0,0.02,0.05,0.37719298245614036,0.48450704225352115,114,0.4839259437220338
4755.T,3,1.2,2.0,1.0,0.05,0.02,0.3629032258064516,0.36,124,0.34140774070118796
5016.T,3,1.2,1.5,0.6,0.02,0.02,0.26785714285714285,0.2926829268292683,112,0.29233189453429714
5020.T,3,1.2,1.5,0.8,0.02,0.05,0.18461538461538463,0.1811320754716981,130,0.18091483284386695
5108.T,2,1.2,2.0,1.0,0.05,0.05,0.41284403669724773,0.43548387096774194,109,0.4214251799280288
5246.T,1,1.2,1.5,1.0,0.05,0.02,0.17543859649122806,0.1702127659574468,57,0.17000861951639978
5401.T,3,1.2,1.5,0.6,0.05,0.05,0.2815533980582524,0.3135135135135135,103,0.3131374978389904
5595.T,1,1.2,2.0,0.6,0.05,0.02,0.22807017543859648,0.18139534883720929,114,0.17708371196975758
5713.T,3,1.2,1.5,1.0,0.02,0.02,0.2627118644067797,0.28505747126436776,118,0.2847155846383845
5724.T,1,1.2,2.0,1.0,0.05,0.05,0.4807692307692308,0.5769230769230769,52,0.5549631999052232
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.21739130434782608,0.17045454545454544,115,0.16648895997156693
5802.T,5,1.2,2.0,0.8,0.05,0.05,0.3132530120481928,0.2736842105263158,83,0.2733923974269941
5803.T,1,1.2,2.0,0.6,0.05,0.02,0.4148936170212766,0.4333333333333333,94,0.42500090872741814
6098.T,5,1.2,2.0,1.0,0.05,0.05,0.4567901234567901,0.5045454545454545,81,0.5040074879139254
6146.T,5,1.2,1.5,0.6,0.05,0.02,0.2222222222222222,0.23414634146341462,108,0.2282972890648797
6315.T,3,1.2,1.5,0.8,0.02,0.02,0.183206106870229,0.18285714285714283,131,0.1792240400135504
6323.T,2,1.2,2.0,1.0,0.02,0.02,0.3220338983050847,0.304,118,0.28469612155137947
6326.T,3,1.2,1.5,0.6,0.02,0.05,0.23931623931623933,0.2545454545454546,117,0.2513835317793058
6330.T,2,1.2,1.5,0.6,0.02,0.05,0.23387096774193547,0.24421052631578946,124,0.24391762989563462
6361.T,3,1.2,2.0,0.6,0.02,0.05,0.42727272727272725,0.4476190476190476,110,0.44714177820935125
6501.T,3,1.2,2.0,0.6,0.02,0.02,0.23308270676691728,0.18415841584158413,133,0.18215850914536147
6503.T,1,1.2,1.5,0.6,0.05,0.02,0.1694915254237288,0.16842105263157894,118,0.1630694921891998
6506.T,5,1.2,2.0,1.0,0.05,0.02,0.3252032520325203,0.2962962962962963,123,0.2888483160952487
6525.T,2,1.2,1.5,1.0,0.05,0.05,0.2857142857142857,0.32,112,0.3196162046908316
6526.T,2,1.2,1.5,0.6,0.05,0.02,0.22727272727272727,0.24242424242424243,132,0.23501191521384673
6594.T,3,1.2,2.0,0.6,0.05,0.05,0.28440366972477066,0.24799999999999997,109,0.2382072811900881
6701.T,5,1.2,2.0,0.6,0.02,0.05,0.36792452830188677,0.36,106,0.348881342985194
6702.T,1,1.2,1.5,0.6,0.02,0.02,0.2403846153846154,0.2564102564102564,104,0.2528609214326199
6723.T,5,1.2,2.0,1.0,0.02,0.05,0.46464646464646464,0.5307692307692308,99,0.5201994673828582
6752.T,5,1.2,2.0,0.6,0.02,0.05,0.42574257425742573,0.46071428571428574,101,0.44435329316549244
6758.T,5,1.2,2.0,0.6,0.05,0.05,0.1836734693877551,0.13499999999999998,98,0.13485605757696922
6762.T,5,1.2,2.0,1.0,0.02,0.05,0.3617021276595745,0.36428571428571427,94,0.33963747834199653
6857.T,3,1.2,2.0,0.6,0.02,0.02,0.4166666666666667,0.4576271186440678,108,0.4281144684983151
6920.T,2,1.2,2.0,0.8,0.05,0.05,0.3867924528301887,0.3904761904761904,106,0.37805800756620433
6954.T,1,1.2,1.5,0.6,0.02,0.02,0.23728813559322035,0.251685393258427,118,0.24859038142620238
6981.T,5,1.2,2.0,0.6,0.02,0.05,0.33653846153846156,0.31343283582089554,104,0.30402331820894835
7011.T,1,1.2,2.0,0.6,0.05,0.05,0.29292929292929293,0.25217391304347825,99,0.2483063917290227
7012.T,1,1.2,1.5,0.8,0.02,0.02,0.18253968253968253,0.1786407766990291,126,0.17842652203614381
7013.T,2,1.2,2.0,0.8,0.05,0.05,0.3431372549019608,0.3387096774193548,102,0.31309864114055874
7182.T,5,1.2,2.0,1.0,0.05,0.05,0.3368421052631579,0.32,95,0.30443695537657955
7201.T,3,1.2,1.5,1.0,0.05,0.05,0.3157894736842105,0.37333333333333335,133,0.36878792848942105
7203.T,2,1.2,2.0,0.6,0.02,0.05,0.4406779661016949,0.4727272727272727,118,0.4722232319193535
7261.T,3,1.2,2.0,1.0,0.02,0.02,0.25,0.20727272727272728,152,0.19978675196588033
7267.T,5,1.2,2.0,1.0,0.05,0.05,0.5125,0.6833333333333332,80,0.6300966792770071
7453.T,5,1.2,2.0,1.0,0.05,0.05,0.48717948717948717,0.5700000000000001,78,0.5693922431027589
7532.T,1,1.2,1.5,1.0,0.05,0.02,0.37,0.4774193548387097,100,0.46927776085558603
7711.T,2,1.2,2.0,0.6,0.05,0.02,0.3904761904761905,0.38437499999999997,105,0.3839651639344262
7735.T,1,1.2,2.0,1.0,0.05,0.05,0.330188679245283,0.3088235294117647,106,0.2954592810763019
7794.T,1,1.2,1.5,1.0,0.05,0.05,0.5454545454545454,1.0285714285714285,33,0.9588486140724946
8002.T,5,1.2,2.0,1.0,0.05,0.02,0.4322033898305085,0.4567164179104477,118,0.45622944851909986
8035.T,1,1.2,2.0,0.6,0.05,0.05,0.3,0.264,110,0.256868681098989
8058.T,5,1.2,1.5,1.0,0.05,0.02,0.39669421487603307,0.5260273972602739,121,0.525396500861641
8136.T,5,1.2,2.0,0.6,0.05,0.05,0.37362637362637363,0.38490566037735846,91,0.35751313509683846
