winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.19298245614035087,0.14666666666666667,57,1357.T,3,1.2,2.0,1.0,0.05,0.05,0.14332527858421848
0.14545454545454545,0.13617021276595745,55,1540.T,3,1.2,1.5,1.0,0.02,0.05,0.13600689561311982
0.5306122448979592,0.7090909090909091,49,1542.T,5,1.2,2.0,1.0,0.05,0.05,0.6775376805799421
0.17391304347826086,0.12857142857142856,69,1570.T,3,1.2,2.0,1.0,0.02,0.02,0.12618110650476652
0.1282051282051282,0.08823529411764706,39,1605.T,5,1.2,2.0,0.6,0.05,0.05,0.08814121410259425
0.5681818181818182,0.7894736842105263,44,1802.T,2,1.2,2.0,0.6,0.02,0.05,0.7886319156547908
0.25,0.20425531914893616,64,186A.T,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
0.1724137931034483,0.125,58,1942.T,5,1.2,2.0,1.0,0.02,0.02,0.12486671997867521
0.25,0.20816326530612245,68,215A.T,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
0.2459016393442623,0.2608695652173913,61,219A.T,1,1.2,1.5,1.0,0.05,0.05,0.26055668860665615
0.5,0.6,36,247A.T,5,1.2,2.0,0.6,0.05,0.05,0.599360255897641
0.22580645161290322,0.1826086956521739,31,2502.T,1,1.2,2.0,0.6,0.05,0.05,0.17481340797014527
0.43902439024390244,0.4695652173913043,41,285A.T,3,1.2,2.0,1.0,0.02,0.05,0.469064548093806
0.11475409836065574,0.10370370370370371,61,3064.T,5,1.2,1.5,1.0,0.02,0.02,0.103579325594251
0.288135593220339,0.2615384615384615,59,3086.T,2,1.2,2.0,0.8,0.05,0.05,0.24259819881571185
0.4117647058823529,0.4307692307692308,68,3349.T,5,1.2,2.0,0.6,0.02,0.02,0.4195521791283487
0.3953488372093023,0.523076923076923,43,3350.T,2,1.2,1.5,0.6,0.02,0.05,0.5224495653600132
0.7931034482758621,2.3,29,3402.T,5,1.2,2.0,1.0,0.02,0.05,2.297547647607624
0.2653061224489796,0.22285714285714286,49,3436.T,5,1.2,2.0,0.6,0.05,0.05,0.21643564796303708
0.2727272727272727,0.225,55,3692.T,1,1.2,2.0,0.6,0.05,0.02,0.22476009596161536
0.2413793103448276,0.19534883720930232,58,3697.T,3,1.2,2.0,0.8,0.05,0.05,0.19070553596743123
0.3695652173913043,0.36428571428571427,46,3905.T,5,1.2,2.0,0.8,0.02,0.02,0.35134911552620335
0.46938775510204084,0.5519999999999999,49,4063.T,3,1.2,2.0,0.8,0.05,0.05,0.5302033032940672
0.234375,0.1875,64,4088.T,3,1.2,2.0,0.6,0.02,0.02,0.1834776293564207
0.40384615384615385,0.4064516129032258,52,4188.T,3,1.2,2.0,0.8,0.02,0.05,0.40601823786614394
0.22033898305084745,0.22608695652173913,59,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.22581579679243535
0.40816326530612246,0.41379310344827586,49,4446.T,2,1.2,2.0,0.8,0.05,0.05,0.41335190061906274
0.1956521739130435,0.19999999999999998,46,4503.T,5,1.2,1.5,1.0,0.02,0.05,0.19436120555523542
0.15384615384615385,0.14545454545454545,65,4506.T,3,1.2,1.5,1.0,0.02,0.02,0.14528009304128708
0.36507936507936506,0.345,63,4568.T,5,1.2,2.0,0.6,0.05,0.02,0.3446321471411436
0.15384615384615385,0.14545454545454545,13,4571.T,1,1.2,1.5,0.6,0.02,0.05,0.14528009304128708
0.41379310344827586,0.5818181818181818,58,4689.T,2,1.2,1.5,1.0,0.02,0.05,0.5640285965132321
0.2857142857142857,0.2511627906976744,63,4755.T,3,1.2,2.0,1.0,0.05,0.02,0.2397441023590564
0.28,0.3393939393939394,50,5016.T,3,1.2,1.5,0.6,0.02,0.02,0.31073797678275294
0.18867924528301888,0.18604651162790697,53,5020.T,3,1.2,1.5,0.8,0.02,0.05,0.1858233748202509
0.30434782608695654,0.28,46,5108.T,2,1.2,2.0,1.0,0.05,0.05,0.262220111955218
0.05454545454545454,0.04705882352941176,55,5246.T,1,1.2,1.5,1.0,0.05,0.02,0.04609849106117763
0.5333333333333333,0.9142857142857143,30,5401.T,3,1.2,1.5,0.6,0.05,0.05,0.9131891562595188
0.24,0.19999999999999998,50,5595.T,1,1.2,2.0,0.6,0.05,0.02,0.18927165975714977
0.45454545454545453,0.6666666666666666,66,5713.T,3,1.2,1.5,1.0,0.02,0.02,0.6658670931058992
0.3114754098360656,0.2780487804878049,61,5724.T,1,1.2,2.0,1.0,0.05,0.05,0.2711391633822662
0.15942028985507245,0.11578947368421053,69,5801.T,2,1.2,2.0,0.6,0.02,0.02,0.11367177267024224
0.13725490196078433,0.09545454545454546,51,5802.T,5,1.2,2.0,0.8,0.05,0.05,0.0953527679837156
0.15942028985507245,0.12,69,5803.T,1,1.2,2.0,0.6,0.05,0.02,0.11367177267024224
0.06349206349206349,0.042105263157894736,63,6098.T,5,1.2,2.0,1.0,0.05,0.05,0.040634593620179044
0.2807017543859649,0.35555555555555557,57,6146.T,5,1.2,1.5,0.6,0.05,0.02,0.3118206875032503
0.36363636363636365,0.45714285714285713,44,6315.T,3,1.2,1.5,0.8,0.02,0.02,0.4565945781297594
0.5094339622641509,0.6230769230769231,53,6323.T,2,1.2,2.0,1.0,0.02,0.02,0.6224125734321656
0.05063291139240506,0.04324324324324324,79,6326.T,3,1.2,1.5,0.6,0.02,0.05,0.04261549395877755
0.5192307692307693,0.9818181818181818,52,6330.T,2,1.2,1.5,0.6,0.02,0.05,0.8629637526652453
0.6111111111111112,0.9428571428571428,36,6361.T,3,1.2,2.0,0.6,0.02,0.05,0.9418518306962932
