"code","ATR_n","TPk","SLk","J_th","dJ_th","vEMA_th","winrate","PF_eff","trades"
"1306.T","2","1.2","2","0.6","0.05","0.02","0.364864864864865","0.34431333849439","74"
"1356.T","3","1.2","1.5","0.6","0.02","0.02","0.263888888888889","0.286448485336123","72"
"1357.T","2","1.2","2","1","0.05","0.02","0.296296296296296","0.252362213009533","54"
"1360.T","3","1.2","2","0.6","0.05","0.05","0.319148936170213","0.280950119952019","47"
"1366.T","1","0.8","1.5","1","0.02","0.02","0.454545454545455","0.443763326226013","11"
"1459.T","1","1.2","1.5","1","0.02","0.05","0.105263157894737","0.0940047660855387","19"
"1475.T","5","1.2","1.5","1","0.05","0.02","0.294117647058824","0.33293354655295","68"
"1568.T","1","1.2","1.5","0.8","0.02","0.02","0.212765957446809","0.215956895061373","47"
"1570.T","2","1.2","2","0.6","0.02","0.05","0.35","0.322732445483345","60"
"1571.T","1","1.2","1.5","1","0.02","0.02","0.4","0.532693674484719","10"
"1579.T","3","1.2","2","0.6","0.05","0.05","0.333333333333333","0.29968012794882","63"
"1605.T","3","1.2","1.5","0.6","0.02","0.05","0.212121212121212","0.215126291618829","66"
"1615.T","2","1.2","1.5","0.6","0.05","0.02","0.366197183098592","0.46166785122009","71"
"1655.T","1","1.2","1.5","1","0.05","0.05","0.207547169811321","0.20927251497614","53"
"1662.T","5","1.2","2","0.6","0.05","0.05","0.274193548387097","0.226424985561331","62"
"179A.T","1","0.8","1.5","0.6","0.02","0.02","0.25","0.177505330490405","4"
"1802.T","3","1.2","2","0.8","0.05","0.02","0.450980392156863","0.492331638773062","51"
"1803.T","5","1.2","1.5","0.6","0.02","0.05","0.246153846153846","0.26091118750272","65"
"186A.T","2","1.2","1.5","0.6","0.02","0.05","0.173076923076923","0.167241037338226","52"
"1893.T","5","1.2","2","1","0.02","0.05","0.369230769230769","0.350845027842522","65"
"1911.T","1","1.2","2","0.6","0.02","0.02","0.360655737704918","0.338100657173028","61"
"1928.T","1","1.2","1.5","0.6","0.05","0.02","0.340425531914894","0.412408006052686","47"
"2127.T","5","1.2","1.5","0.8","0.05","0.02","0.2","0.19976012793177","70"
"2134.T","1","0.8","1.5","0.6","0.02","0.02","0.666666666666667","1.06503198294243","3"
"215A.T","3","1.2","2","0.8","0.02","0.02","0.106060606060606","0.0711105388353133","66"
"2181.T","3","1.2","2","0.6","0.05","0.05","0.522727272727273","0.65644218503075","44"
"218A.T","1","1.2","1.5","0.6","0.02","0.02","0.321428571428571","0.378492873975985","56"
"2267.T","5","1.2","2","1","0.02","0.02","0.256410256410256","0.206675950309531","39"
"2269.T","3","1.2","2","0.6","0.02","0.05","0.230769230769231","0.179808076769292","65"
