code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1306.T,2,1.2,2.0,0.6,0.05,0.02,0.4152046783625731,0.4303030303030303,171,0.4255457816873251,0.36486486486486486,0.3446808510638298,74,2,1.2,2.0,0.6,0.05,0.02,0.34431333849438955
1356.T,3,1.2,1.5,0.6,0.02,0.02,0.2235294117647059,0.2320610687022901,170,0.23002681398203792,0.2638888888888889,0.304,72,3,1.2,1.5,0.6,0.02,0.02,0.28644848533612266
1357.T,2,1.2,2.0,1.0,0.05,0.02,0.2874251497005988,0.24406779661016947,167,0.24175875868140145,0.2962962962962963,0.2742857142857143,54,2,1.2,2.0,1.0,0.05,0.02,0.25236221300953304
1360.T,3,1.2,2.0,0.6,0.05,0.05,0.29605263157894735,0.2523364485981308,152,0.2520673973401294,0.3191489361702128,0.3,47,3,1.2,2.0,0.6,0.05,0.05,0.28095011995201924
1366.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,6,,0.45454545454545453,0.4444444444444444,11,1,0.8,1.5,1.0,0.02,0.02,0.44376332622601283
1459.T,1,1.2,1.5,1.0,0.02,0.05,0.631578947368421,1.3714285714285712,19,1.369783734389278,0.10526315789473684,0.10666666666666666,19,1,1.2,1.5,1.0,0.02,0.05,0.09400476608553869
1475.T,5,1.2,1.5,1.0,0.05,0.02,0.3157894736842105,0.374025974025974,114,0.36878792848942105,0.29411764705882354,0.3333333333333333,68,5,1.2,1.5,1.0,0.05,0.02,0.3329335465529496
1568.T,1,1.2,1.5,0.8,0.02,0.02,0.2866666666666667,0.32149532710280376,150,0.3211097383576112,0.2127659574468085,0.2222222222222222,47,1,1.2,1.5,0.8,0.02,0.02,0.2159568950613727
1570.T,2,1.2,2.0,0.6,0.02,0.05,0.30718954248366015,0.26857142857142857,153,0.2657540757281993,0.35,0.3405405405405405,60,2,1.2,2.0,0.6,0.02,0.05,0.3227324454833451
1571.T,1,1.2,1.5,1.0,0.02,0.02,0.6666666666666666,1.5999999999999999,9,1.5980810234541576,0.4,0.5333333333333333,10,1,1.2,1.5,1.0,0.02,0.02,0.5326936744847194
1579.T,3,1.2,2.0,0.6,0.05,0.05,0.3013698630136986,0.2613861386138614,146,0.2585475613676098,0.3333333333333333,0.3230769230769231,63,3,1.2,2.0,0.6,0.05,0.05,0.29968012794882043
1605.T,3,1.2,1.5,0.6,0.02,0.05,0.13043478260869565,0.12086330935251799,161,0.11985607675906183,0.21212121212121213,0.2196078431372549,66,3,1.2,1.5,0.6,0.02,0.05,0.21512629161882899
1615.T,2,1.2,1.5,0.6,0.05,0.02,0.2611464968152866,0.2852173913043478,157,0.2824194912138814,0.36619718309859156,0.4622222222222222,71,2,1.2,1.5,0.6,0.05,0.02,0.4616678512200901
1655.T,1,1.2,1.5,1.0,0.05,0.05,0.4868421052631579,0.7589743589743589,76,0.7580640752282546,0.20754716981132076,0.2146341463414634,53,1,1.2,1.5,1.0,0.05,0.05,0.20927251497613975
1662.T,5,1.2,2.0,0.6,0.05,0.05,0.22695035460992907,0.18285714285714286,141,0.17595897420848175,0.27419354838709675,0.24285714285714283,62,5,1.2,2.0,0.6,0.05,0.05,0.226424985561331
179A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0,0.25,0.26666666666666666,4,1,0.8,1.5,0.6,0.02,0.02,0.17750533049040512
1802.T,3,1.2,2.0,0.8,0.05,0.02,0.27692307692307694,0.2297872340425532,195,0.22954222566292637,0.45098039215686275,0.5111111111111111,51,3,1.2,2.0,0.8,0.05,0.02,0.4923316387730622
1803.T,5,1.2,1.5,0.6,0.02,0.05,0.1813186813186813,0.1783783783783784,182,0.17696870393955438,0.24615384615384617,0.26122448979591834,65,5,1.2,1.5,0.6,0.02,0.05,0.26091118750271963
186A.T,2,1.2,1.5,0.6,0.02,0.05,0.21875,0.22950819672131148,160,0.22373134328358213,0.17307692307692307,0.17560975609756097,52,2,1.2,1.5,0.6,0.02,0.05,0.16724103733822582
1893.T,5,1.2,2.0,1.0,0.02,0.05,0.3939393939393939,0.39,165,0.3895841663334666,0.36923076923076925,0.38918918918918916,65,5,1.2,2.0,1.0,0.02,0.05,0.3508450278425216
1911.T,1,1.2,2.0,0.6,0.02,0.02,0.28125,0.23684210526315788,160,0.23453227404690297,0.36065573770491804,0.3567567567567567,61,1,1.2,2.0,0.6,0.02,0.02,0.3381006571730282
