code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1306.T,2,1.2,2.0,0.6,0.05,0.02,0.4152046783625731,0.4303030303030303,171,0.4255457816873251
1356.T,3,1.2,1.5,0.6,0.02,0.02,0.2235294117647059,0.2320610687022901,170,0.23002681398203792
1357.T,2,1.2,2.0,1.0,0.05,0.02,0.2874251497005988,0.24406779661016947,167,0.24175875868140145
1360.T,3,1.2,2.0,0.6,0.05,0.05,0.29605263157894735,0.2523364485981308,152,0.2520673973401294
1366.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,6,
1459.T,1,1.2,1.5,1.0,0.02,0.05,0.631578947368421,1.3714285714285712,19,1.369783734389278
1475.T,5,1.2,1.5,1.0,0.05,0.02,0.3157894736842105,0.374025974025974,114,0.36878792848942105
1568.T,1,1.2,1.5,0.8,0.02,0.02,0.2866666666666667,0.32149532710280376,150,0.3211097383576112
1570.T,2,1.2,2.0,0.6,0.02,0.05,0.30718954248366015,0.26857142857142857,153,0.2657540757281993
1571.T,1,1.2,1.5,1.0,0.02,0.02,0.6666666666666666,1.5999999999999999,9,1.5980810234541576
1579.T,3,1.2,2.0,0.6,0.05,0.05,0.3013698630136986,0.2613861386138614,146,0.2585475613676098
1605.T,3,1.2,1.5,0.6,0.02,0.05,0.13043478260869565,0.12086330935251799,161,0.11985607675906183
1615.T,2,1.2,1.5,0.6,0.05,0.02,0.2611464968152866,0.2852173913043478,157,0.2824194912138814
1655.T,1,1.2,1.5,1.0,0.05,0.05,0.4868421052631579,0.7589743589743589,76,0.7580640752282546
1662.T,5,1.2,2.0,0.6,0.05,0.05,0.22695035460992907,0.18285714285714286,141,0.17595897420848175
179A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0
1802.T,3,1.2,2.0,0.8,0.05,0.02,0.27692307692307694,0.2297872340425532,195,0.22954222566292637
1803.T,5,1.2,1.5,0.6,0.02,0.05,0.1813186813186813,0.1783783783783784,182,0.17696870393955438
186A.T,2,1.2,1.5,0.6,0.02,0.05,0.21875,0.22950819672131148,160,0.22373134328358213
1893.T,5,1.2,2.0,1.0,0.02,0.05,0.3939393939393939,0.39,165,0.3895841663334666
1911.T,1,1.2,2.0,0.6,0.02,0.02,0.28125,0.23684210526315788,160,0.23453227404690297
1928.T,1,1.2,1.5,0.6,0.05,0.02,0.2,0.20240963855421687,105,0.19976012793176975
2127.T,5,1.2,1.5,0.8,0.05,0.02,0.23076923076923078,0.24172661870503598,182,0.23971215351812372
2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,
215A.T,3,1.2,2.0,0.8,0.02,0.02,0.3177083333333333,0.28153846153846157,192,0.27909141686836714
2181.T,3,1.2,2.0,0.6,0.05,0.05,0.2111801242236025,0.16190476190476188,161,0.1604586511851952
218A.T,1,1.2,1.5,0.6,0.02,0.02,0.16489361702127658,0.15796178343949044,188,0.1577723303410156
