winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.36486486486486486,0.3446808510638298,74,1306.T,2,1.2,2.0,0.6,0.05,0.02,0.34431333849438955
0.2638888888888889,0.304,72,1356.T,3,1.2,1.5,0.6,0.02,0.02,0.28644848533612266
0.2962962962962963,0.2742857142857143,54,1357.T,2,1.2,2.0,1.0,0.05,0.02,0.25236221300953304
0.3191489361702128,0.3,47,1360.T,3,1.2,2.0,0.6,0.05,0.05,0.28095011995201924
0.45454545454545453,0.4444444444444444,11,1366.T,1,0.8,1.5,1.0,0.02,0.02,0.44376332622601283
0.10526315789473684,0.10666666666666666,19,1459.T,1,1.2,1.5,1.0,0.02,0.05,0.09400476608553869
0.29411764705882354,0.3333333333333333,68,1475.T,5,1.2,1.5,1.0,0.05,0.02,0.3329335465529496
0.2127659574468085,0.2222222222222222,47,1568.T,1,1.2,1.5,0.8,0.02,0.02,0.2159568950613727
0.35,0.3405405405405405,60,1570.T,2,1.2,2.0,0.6,0.02,0.05,0.3227324454833451
0.4,0.5333333333333333,10,1571.T,1,1.2,1.5,1.0,0.02,0.02,0.5326936744847194
0.3333333333333333,0.3230769230769231,63,1579.T,3,1.2,2.0,0.6,0.05,0.05,0.29968012794882043
0.21212121212121213,0.2196078431372549,66,1605.T,3,1.2,1.5,0.6,0.02,0.05,0.21512629161882899
0.36619718309859156,0.4622222222222222,71,1615.T,2,1.2,1.5,0.6,0.05,0.02,0.4616678512200901
0.20754716981132076,0.2146341463414634,53,1655.T,1,1.2,1.5,1.0,0.05,0.05,0.20927251497613975
0.27419354838709675,0.24285714285714283,62,1662.T,5,1.2,2.0,0.6,0.05,0.05,0.226424985561331
0.25,0.26666666666666666,4,179A.T,1,0.8,1.5,0.6,0.02,0.02,0.17750533049040512
0.45098039215686275,0.5111111111111111,51,1802.T,3,1.2,2.0,0.8,0.05,0.02,0.4923316387730622
0.24615384615384617,0.26122448979591834,65,1803.T,5,1.2,1.5,0.6,0.02,0.05,0.26091118750271963
0.17307692307692307,0.17560975609756097,52,186A.T,2,1.2,1.5,0.6,0.02,0.05,0.16724103733822582
0.36923076923076925,0.38918918918918916,65,1893.T,5,1.2,2.0,1.0,0.02,0.05,0.3508450278425216
0.36065573770491804,0.3567567567567567,61,1911.T,1,1.2,2.0,0.6,0.02,0.02,0.3381006571730282
0.3404255319148936,0.42666666666666664,47,1928.T,1,1.2,1.5,0.6,0.05,0.02,0.41240800605268596
0.2,0.21132075471698114,70,2127.T,5,1.2,1.5,0.8,0.05,0.02,0.19976012793176975
0.6666666666666666,1.0666666666666667,3,2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0650319829424304
0.10606060606060606,0.07241379310344828,66,215A.T,3,1.2,2.0,0.8,0.02,0.02,0.07111053883531335
0.5227272727272727,0.69,44,2181.T,3,1.2,2.0,0.6,0.05,0.05,0.6564421850307496
0.32142857142857145,0.38918918918918916,56,218A.T,1,1.2,1.5,0.6,0.02,0.02,0.3784928739759848
0.2564102564102564,0.21428571428571427,39,2267.T,5,1.2,2.0,1.0,0.02,0.02,0.20667595030953134
0.23076923076923078,0.18,65,2269.T,3,1.2,2.0,0.6,0.02,0.05,0.1798080767692923
0.7142857142857143,1.3333333333333333,7,2315.T,1,0.8,1.5,0.6,0.02,0.02,1.3312899786780386
0.4166666666666667,0.4444444444444444,12,2370.T,1,0.8,1.5,0.6,0.02,0.02,0.3803685653365825
0.4098360655737705,0.42857142857142855,61,2413.T,5,1.2,2.0,0.6,0.02,0.02,0.41622239992891735
0.43548387096774194,0.4764705882352941,62,2432.T,2,1.2,2.0,1.0,0.05,0.02,0.46236362597818026
0.26666666666666666,0.23414634146341462,60,247A.T,5,1.2,2.0,0.6,0.05,0.02,0.21794918396277851
0.2127659574468085,0.18181818181818182,47,2492.T,5,1.2,2.0,0.6,0.02,0.02,0.1619892583507138
0.475,0.5428571428571429,40,2502.T,1,1.2,2.0,1.0,0.05,0.05,0.5422783267645324
0.5217391304347826,0.6857142857142856,46,2503.T,3,1.2,2.0,0.6,0.05,0.05,0.6538475518883355
0.5714285714285714,1.5999999999999999,7,2586.T,1,1.2,1.5,1.0,0.02,0.02,1.0653873489694385
0.3488372093023256,0.32142857142857145,43,2644.T,5,1.2,2.0,1.0,0.05,0.05,0.3210858513737362
0.3787878787878788,0.38461538461538464,66,2726.T,2,1.2,2.0,0.6,0.05,0.02,0.3654635706692933
0.5714285714285714,0.8888888888888888,14,2743.T,1,1.0,1.5,0.6,0.05,0.02,0.8877043354655295
0.5384615384615384,0.7304347826086957,52,2801.T,5,1.2,2.0,0.8,0.05,0.05,0.6992536318805812
0.1044776119402985,0.07,67,2802.T,5,1.2,2.0,1.0,0.02,0.02,0.06992536318805812
0.4090909090909091,0.43199999999999994,44,285A.T,2,1.2,2.0,1.0,0.05,0.05,0.4149417156214439
0.2564102564102564,0.2962962962962963,39,2871.T,1,1.2,1.5,0.8,0.05,0.02,0.275531210940372
0.10714285714285714,0.09999999999999999,56,2897.T,5,1.2,1.5,0.8,0.05,0.05,0.09588486140724946
0.09090909090909091,0.08,44,290A.T,1,1.2,1.5,0.6,0.05,0.05,0.0799040511727079
0.4,0.4216216216216216,65,2914.T,2,1.2,2.0,0.6,0.02,0.02,0.39957350393176067
0.40350877192982454,0.5411764705882353,57,3003.T,3,1.2,1.5,0.8,0.02,0.05,0.5405274049918474
0.22413793103448276,0.17333333333333334,58,3038.T,1,1.2,2.0,0.6,0.05,0.05,0.17314851837042963
0.29508196721311475,0.2511627906976744,61,3064.T,1,1.2,2.0,1.0,0.05,0.05,0.25089499084087297
0.3333333333333333,0.3176470588235294,27,3086.T,3,1.2,2.0,0.6,0.05,0.05,0.29968012794882043
0.425531914893617,0.5925925925925926,47,3092.T,1,1.2,1.5,0.6,0.05,0.05,0.5918818605385769
0.27450980392156865,0.3027027027027027,51,3099.T,2,1.2,1.5,0.6,0.02,0.05,0.30233965308592176
0.26153846153846155,0.2125,65,314A.T,2,1.2,2.0,0.6,0.02,0.02,0.21227342396374785
0.21311475409836064,0.22608695652173913,61,318A.T,1,1.2,1.5,0.6,0.05,0.02,0.21640680525941725
0.5416666666666666,0.7428571428571429,48,3231.T,5,1.2,2.0,0.6,0.02,0.02,0.7083348478790301
0.5245901639344263,0.6620689655172414,61,3289.T,3,1.2,2.0,0.6,0.02,0.05,0.6613630409905005
0.6666666666666666,1.0666666666666667,6,3315.T,1,0.8,1.5,0.6,0.02,0.02,1.0650319829424304
0.6666666666666666,1.3333333333333333,3,3323.T,1,1.0,1.5,0.6,0.05,0.05,1.3315565031982939
0.23076923076923078,0.19459459459459458,52,3350.T,2,1.2,2.0,0.6,0.02,0.05,0.1798080767692923
0.5068493150684932,0.6166666666666667,73,3382.T,5,1.2,2.0,0.8,0.02,0.05,0.6160091518947977
0.29850746268656714,0.3404255319148936,67,3402.T,5,1.2,1.5,1.0,0.02,0.05,0.3400172390327995
0.28125,0.23478260869565215,64,3405.T,2,1.2,2.0,0.8,0.02,0.02,0.23453227404690297
0.35,0.3230769230769231,60,3407.T,2,1.2,2.0,1.0,0.02,0.05,0.3227324454833451
0.30158730158730157,0.2651162790697674,63,3436.T,5,1.2,2.0,1.0,0.02,0.05,0.2588146559557995
1.0,999.0,8,3536.T,1,0.8,1.5,0.6,0.02,0.02,
0.1875,0.1846153846153846,16,3656.T,1,1.2,1.5,1.0,0.02,0.02,0.18439396424471052
0.2777777777777778,0.3076923076923077,54,3659.T,1,1.2,1.5,0.6,0.05,0.02,0.30732327374118423
0.5,0.6666666666666666,2,3664.T,1,1.0,1.5,0.6,0.02,0.02,0.6657782515991472
0.3333333333333333,0.31666666666666665,57,3697.T,2,1.2,2.0,1.0,0.05,0.05,0.29968012794882043
1.0,999.0,4,3777.T,1,0.8,1.5,1.0,0.02,0.02,
1.0,999.0,2,3823.T,1,0.8,1.5,0.8,0.02,0.02,
0.20689655172413793,0.20869565217391303,29,3825.T,1,1.2,1.5,0.6,0.02,0.02,0.20844535088532493
0.3877551020408163,0.5066666666666667,49,3861.T,3,1.2,1.5,1.0,0.05,0.05,0.5060589907604833
0.2571428571428571,0.2769230769230769,35,3905.T,5,1.2,1.5,0.8,0.05,0.05,0.27659094636706577
0.3968253968253968,0.39473684210526316,63,3923.T,2,1.2,2.0,0.8,0.02,0.02,0.3943159578273953
0.18032786885245902,0.176,61,4004.T,5,1.2,1.5,1.0,0.02,0.05,0.17578891257995738
0.2571428571428571,0.20769230769230768,70,4005.T,2,1.2,2.0,0.6,0.05,0.02,0.20747085781072186
0.16666666666666666,0.13043478260869565,60,402A.T,2,1.2,2.0,1.0,0.05,0.02,0.11987205117952819
0.15254237288135594,0.11999999999999998,59,4062.T,5,1.2,2.0,0.8,0.02,0.05,0.10788484606157539
0.4444444444444444,0.6620689655172413,54,4063.T,3,1.2,1.5,0.6,0.05,0.02,0.6392324093816631
0.38235294117647056,0.4952380952380952,68,4088.T,2,1.2,1.5,0.6,0.02,0.02,0.4946441263072393
0.14285714285714285,0.14545454545454545,42,408A.T,1,1.2,1.5,0.8,0.02,0.05,0.13317341862117982
0.30434782608695654,0.2680851063829787,69,4182.T,5,1.2,2.0,0.8,0.05,0.02,0.262220111955218
0.1935483870967742,0.19199999999999998,62,4188.T,2,1.2,1.5,0.6,0.05,0.05,0.19176972281449897
0.16129032258064516,0.16,31,4259.T,1,1.2,1.5,0.6,0.02,0.02,0.1536616368705921
0.2857142857142857,0.3282051282051282,56,425A.T,1,1.2,1.5,0.6,0.05,0.02,0.3196162046908316
1.0,999.0,4,4344.T,1,1.0,1.5,0.8,0.02,0.02,
0.423728813559322,0.5882352941176471,59,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.5875297880346169
0.30357142857142855,0.26842105263157895,56,4443.T,2,1.2,2.0,1.0,0.05,0.05,0.26125959872461274
0.20833333333333334,0.15789473684210525,48,4446.T,3,1.2,2.0,1.0,0.05,0.05,0.15772638313095816
0.2037037037037037,0.15348837209302324,54,4452.T,5,1.2,2.0,0.6,0.05,0.05,0.15332471662497793
0.28846153846153844,0.3333333333333333,52,4502.T,1,1.2,1.5,1.0,0.05,0.05,0.32393534259205903
0.39344262295081966,0.41142857142857137,61,4503.T,5,1.2,2.0,0.6,0.05,0.05,0.388774220041713
0.14285714285714285,0.13333333333333333,70,4506.T,3,1.2,1.5,1.0,0.02,0.02,0.13317341862117982
0.3275862068965517,0.38974358974358975,58,4507.T,1,1.2,1.5,0.6,0.05,0.02,0.3892761467388333
0.2903225806451613,0.2571428571428571,62,4519.T,3,1.2,2.0,0.6,0.02,0.05,0.24519283195812588
0.23255813953488372,0.24242424242424243,43,4528.T,5,1.2,1.5,1.0,0.05,0.05,0.24213348840214513
0.37254901960784315,0.47500000000000003,51,4543.T,5,1.2,1.5,0.6,0.02,0.05,0.47443030383795315
1.0,999.0,5,4563.T,1,0.8,1.5,0.6,0.02,0.02,
0.0,0.0,0,4564.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.22413793103448276,0.18571428571428572,58,4568.T,3,1.2,2.0,0.6,0.05,0.05,0.17314851837042963
0.16176470588235295,0.1660377358490566,68,4571.T,3,1.2,1.5,0.8,0.05,0.05,0.15420080050873453
0.2857142857142857,0.35555555555555557,14,4586.T,1,1.2,1.5,0.6,0.02,0.02,0.3196162046908316
0.0,0.0,3,4591.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.25757575757575757,0.21702127659574466,66,4592.T,3,1.2,2.0,0.8,0.02,0.02,0.20794131327061013
0.1694915254237288,0.16326530612244897,59,4593.T,2,1.2,1.5,0.8,0.05,0.05,0.1630694921891998
1.0,999.0,2,4594.T,1,0.8,1.5,0.8,0.02,0.02,
1.0,999.0,2,4597.T,1,0.8,1.5,0.6,0.02,0.02,
0.22727272727272727,0.24242424242424243,44,4612.T,1,1.2,1.5,0.8,0.02,0.05,0.23501191521384673
0.3469387755102041,0.33999999999999997,49,4661.T,1,1.2,2.0,0.6,0.05,0.02,0.31841013594562173
0.05084745762711865,0.04615384615384615,59,4680.T,1,1.2,1.5,0.8,0.05,0.02,0.042805741699664945
0.43859649122807015,0.46875,57,4689.T,1,1.2,2.0,0.6,0.05,0.05,0.468250199920032
0.2923076923076923,0.24782608695652175,65,4751.T,5,1.2,2.0,0.8,0.02,0.05,0.24756184482728652
0.423728813559322,0.5,59,4755.T,3,1.2,2.0,1.0,0.05,0.05,0.4407060705129712
0.25,0.26666666666666666,8,4833.T,1,1.2,1.5,0.6,0.02,0.05,0.26634683724235964
0.4528301886792453,0.5142857142857142,53,4901.T,5,1.2,2.0,0.6,0.02,0.05,0.49602228074287535
0.3076923076923077,0.2857142857142857,65,4902.T,5,1.2,2.0,1.0,0.02,0.02,0.2663823359545071
0.2535211267605634,0.288,71,4911.T,2,1.2,1.5,0.6,0.05,0.02,0.2713722492658004
0.4782608695652174,0.6111111111111112,23,4996.T,1,1.0,1.5,1.0,0.02,0.05,0.6102967306325515
0.20967741935483872,0.21224489795918366,62,5016.T,3,1.2,1.5,1.0,0.02,0.05,0.21199033984595972
0.375,0.4799999999999999,48,5019.T,1,1.2,1.5,0.6,0.05,0.05,0.47942430703624733
0.39655172413793105,0.4058823529411764,58,5020.T,5,1.2,2.0,0.8,0.02,0.05,0.3938653110184498
0.046875,0.039344262295081964,64,5076.T,3,1.2,1.5,0.6,0.05,0.05,0.03929707434723339
0.29411764705882354,0.3404255319148936,68,5108.T,2,1.2,1.5,1.0,0.05,0.02,0.3329335465529496
0.23333333333333334,0.24347826086956523,60,5110.T,3,1.2,1.5,0.8,0.02,0.02,0.24318624269954578
0.10526315789473684,0.09696969696969697,38,5202.T,1,1.2,1.5,1.0,0.05,0.02,0.09400476608553869
