"code","rank","picked"
"6740.T","1","1"
"9432.T","2","0"
"8918.T","3","0"
"1360.T","4","0"
"8729.T","5","0"
"9434.T","6","0"
"9501.T","7","0"
"5016.T","8","0"
"3350.T","9","0"
"4564.T","10","0"
"1579.T","11","0"
"7013.T","12","0"
"4597.T","13","0"
"8306.T","14","0"
"4689.T","15","0"
"7201.T","16","0"
"7011.T","17","0"
"1459.T","18","0"
"7453.T","19","0"
"7203.T","20","1"
"9984.T","21","0"
"5401.T","22","0"
"6177.T","23","0"
"4755.T","24","0"
"285A.T","25","0"
"8316.T","26","0"
"6857.T","27","0"
"6758.T","28","0"
"8912.T","29","0"
"2134.T","30","0"
"2370.T","31","0"
"4571.T","32","0"
"6723.T","33","0"
"314A.T","34","0"
"7267.T","35","0"
"6501.T","36","0"
"8308.T","37","0"
"7532.T","38","0"
"8750.T","39","0"
"6920.T","40","0"
"6526.T","41","0"
"3382.T","42","0"
"9433.T","43","0"
"6752.T","44","0"
"5803.T","45","0"
"8604.T","46","0"
"7211.T","47","0"
"6506.T","48","0"
"4005.T","49","0"
"8136.T","50","0"
"8058.T","51","0"
"5020.T","52","0"
"7182.T","53","0"
"8411.T","54","0"
"1568.T","55","0"
"8267.T","56","0"
"4063.T","57","0"
"186A.T","58","0"
"9107.T","59","0"
"1356.T","60","0"
"3436.T","61","0"
"6762.T","62","0"
"5801.T","63","0"
"5721.T","64","0"
"4503.T","65","0"
"6594.T","66","0"
"8801.T","67","1"
"1475.T","68","0"
"6981.T","69","0"
"4088.T","70","0"
"6993.T","71","1"
"8601.T","72","0"
"4568.T","73","0"
"8002.T","74","0"
"1366.T","75","0"
"2502.T","76","0"
"6503.T","77","0"
"8410.T","78","0"
"7272.T","79","0"
"6902.T","80","0"
"3064.T","81","0"
"8031.T","82","0"
"3536.T","83","1"
"6702.T","84","0"
"3905.T","85","0"
"4833.T","86","0"
"1570.T","87","0"
"1357.T","88","0"
"3697.T","89","0"
"8113.T","90","0"
"3656.T","91","0"
"6178.T","92","0"
"7269.T","93","0"
"6330.T","94","0"
"7012.T","95","0"
"2181.T","96","0"
"6701.T","97","0"
"215A.T","98","0"
"6971.T","99","0"
"5713.T","100","0"
"4506.T","101","0"
"5952.T","102","0"
"7527.T","103","0"
"318A.T","104","0"
"6525.T","105","0"
"6954.T","106","0"
"6315.T","107","0"
"4188.T","108","0"
"4502.T","109","0"
"7261.T","110","0"
"8035.T","111","0"
"7167.T","112","0"
"8766.T","113","0"
"6472.T","114","0"
