code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
130A.T,1,0.8,1.5,0.6,0.02,0.02,0.2,0.1523809523809524,10
130A.T,1,0.8,1.5,0.6,0.02,0.05,0.2,0.1523809523809524,10
130A.T,1,0.8,1.5,0.6,0.05,0.02,0.2,0.1523809523809524,10
130A.T,1,0.8,1.5,0.6,0.05,0.05,0.2,0.1523809523809524,10
130A.T,1,0.8,1.5,0.8,0.02,0.02,0.2222222222222222,0.17777777777777778,9
130A.T,1,0.8,1.5,0.8,0.02,0.05,0.2222222222222222,0.17777777777777778,9
130A.T,1,0.8,1.5,0.8,0.05,0.02,0.2222222222222222,0.17777777777777778,9
130A.T,1,0.8,1.5,0.8,0.05,0.05,0.2222222222222222,0.17777777777777778,9
130A.T,1,0.8,1.5,1.0,0.02,0.02,0.25,0.21333333333333335,8
130A.T,1,0.8,1.5,1.0,0.02,0.05,0.25,0.21333333333333335,8
130A.T,1,0.8,1.5,1.0,0.05,0.02,0.25,0.21333333333333335,8
130A.T,1,0.8,1.5,1.0,0.05,0.05,0.25,0.21333333333333335,8
130A.T,1,0.8,2.0,0.6,0.02,0.02,0.2,0.1142857142857143,10
130A.T,1,0.8,2.0,0.6,0.02,0.05,0.2,0.1142857142857143,10
130A.T,1,0.8,2.0,0.6,0.05,0.02,0.2,0.1142857142857143,10
130A.T,1,0.8,2.0,0.6,0.05,0.05,0.2,0.1142857142857143,10
130A.T,1,0.8,2.0,0.8,0.02,0.02,0.2222222222222222,0.13333333333333333,9
130A.T,1,0.8,2.0,0.8,0.02,0.05,0.2222222222222222,0.13333333333333333,9
130A.T,1,0.8,2.0,0.8,0.05,0.02,0.2222222222222222,0.13333333333333333,9
130A.T,1,0.8,2.0,0.8,0.05,0.05,0.2222222222222222,0.13333333333333333,9
130A.T,1,0.8,2.0,1.0,0.02,0.02,0.25,0.16,8
130A.T,1,0.8,2.0,1.0,0.02,0.05,0.25,0.16,8
130A.T,1,0.8,2.0,1.0,0.05,0.02,0.25,0.16,8
130A.T,1,0.8,2.0,1.0,0.05,0.05,0.25,0.16,8
130A.T,1,1.0,1.5,0.6,0.02,0.02,0.2,0.19047619047619047,10
130A.T,1,1.0,1.5,0.6,0.02,0.05,0.2,0.19047619047619047,10
130A.T,1,1.0,1.5,0.6,0.05,0.02,0.2,0.19047619047619047,10
130A.T,1,1.0,1.5,0.6,0.05,0.05,0.2,0.19047619047619047,10
130A.T,1,1.0,1.5,0.8,0.02,0.02,0.2222222222222222,0.2222222222222222,9
130A.T,1,1.0,1.5,0.8,0.02,0.05,0.2222222222222222,0.2222222222222222,9
130A.T,1,1.0,1.5,0.8,0.05,0.02,0.2222222222222222,0.2222222222222222,9
130A.T,1,1.0,1.5,0.8,0.05,0.05,0.2222222222222222,0.2222222222222222,9
130A.T,1,1.0,1.5,1.0,0.02,0.02,0.25,0.26666666666666666,8
130A.T,1,1.0,1.5,1.0,0.02,0.05,0.25,0.26666666666666666,8
130A.T,1,1.0,1.5,1.0,0.05,0.02,0.25,0.26666666666666666,8
130A.T,1,1.0,1.5,1.0,0.05,0.05,0.25,0.26666666666666666,8
130A.T,1,1.0,2.0,0.6,0.02,0.02,0.2,0.14285714285714285,10
