code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26666666666666666,0.32,15,0.29056018608257417,0.4166666666666667,0.5714285714285714,12,1,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
1382.T,1,1.2,2.0,0.8,0.02,0.02,0.25,0.39999999999999997,8,0.19978675196588033,0.0,0.0,10,1,1.2,2.0,0.8,0.02,0.02,0.0
1401.T,3,1.2,2.0,0.8,0.02,0.05,0.64,1.2,25,1.0655293438180284,0.21052631578947367,0.17142857142857143,19,3,1.2,2.0,0.8,0.02,0.05,0.15982940157270425
142A.T,2,1.2,2.0,0.6,0.02,0.02,0.9090909090909091,6.0,11,5.9936025589764075,0.3333333333333333,0.39999999999999997,6,2,1.2,2.0,0.6,0.02,0.02,0.29968012794882043
145A.T,3,1.2,1.5,0.8,0.02,0.05,0.625,2.0,16,1.3317341862117984,0.42857142857142855,0.7999999999999999,7,3,1.2,1.5,0.8,0.02,0.05,0.5992803837953092
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1491.T,5,1.2,2.0,0.6,0.05,0.05,0.3888888888888889,0.43448275862068964,54,0.38141107193486246,0.47368421052631576,0.5399999999999999,38,5,1.2,2.0,0.6,0.05,0.05,0.5394242303078768
1798.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,,1.0,999.0,1,1,0.8,1.5,0.6,0.02,0.02,
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123,0.25,0.20425531914893616,64,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
1980.T,1,1.2,2.0,0.6,0.02,0.05,0.37037037037037035,0.375,27,0.352564856410377,0.1,0.075,10,1,1.2,2.0,0.6,0.02,0.05,0.06659558398862678
2138.T,5,1.2,2.0,0.6,0.02,0.05,0.6,0.8999999999999999,10,0.8990403838464615,0.14285714285714285,0.12,7,5,1.2,2.0,0.6,0.02,0.05,0.09989337598294017
2160.T,2,1.2,1.5,1.0,0.02,0.02,0.4166666666666667,0.5797101449275363,120,0.5707432226621993,0.1044776119402985,0.09333333333333334,67,2,1.2,1.5,1.0,0.02,0.02,0.09322139303482588
219A.T,1,1.2,1.5,1.0,0.05,0.05,0.37,0.46984126984126984,100,0.46927776085558603,0.2459016393442623,0.2608695652173913,61,1,1.2,1.5,1.0,0.05,0.05,0.26055668860665615
228A.T,2,1.2,2.0,0.6,0.02,0.02,0.4186046511627907,0.44999999999999996,43,0.4315393842463016,0.23076923076923078,0.19285714285714284,39,2,1.2,2.0,0.6,0.02,0.02,0.1798080767692923
2315.T,1,1.0,1.5,0.8,0.02,0.02,0.875,4.666666666666667,8,4.66044776119403,1.0,999.0,2,1,1.0,1.5,0.8,0.02,0.02,
2471.T,1,1.2,1.5,0.8,0.05,0.02,0.2631578947368421,0.3333333333333333,19,0.2853716113310996,0.5714285714285714,1.0666666666666667,7,1,1.2,1.5,0.8,0.05,0.02,1.0653873489694385
