code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
1376.T,1,0.8,1.5,0.6,0.02,0.02,0.23529411764705882,0.17777777777777778,17
1376.T,1,0.8,1.5,0.6,0.02,0.05,0.26666666666666666,0.21333333333333335,15
1376.T,1,0.8,1.5,0.6,0.05,0.02,0.23529411764705882,0.17777777777777778,17
1376.T,1,0.8,1.5,0.6,0.05,0.05,0.26666666666666666,0.21333333333333335,15
1376.T,1,0.8,1.5,0.8,0.02,0.02,0.23529411764705882,0.17777777777777778,17
1376.T,1,0.8,1.5,0.8,0.02,0.05,0.26666666666666666,0.21333333333333335,15
1376.T,1,0.8,1.5,0.8,0.05,0.02,0.23529411764705882,0.17777777777777778,17
1376.T,1,0.8,1.5,0.8,0.05,0.05,0.26666666666666666,0.21333333333333335,15
1376.T,1,0.8,1.5,1.0,0.02,0.02,0.23529411764705882,0.17777777777777778,17
1376.T,1,0.8,1.5,1.0,0.02,0.05,0.26666666666666666,0.21333333333333335,15
1376.T,1,0.8,1.5,1.0,0.05,0.02,0.23529411764705882,0.17777777777777778,17
1376.T,1,0.8,1.5,1.0,0.05,0.05,0.26666666666666666,0.21333333333333335,15
1376.T,1,0.8,2.0,0.6,0.02,0.02,0.23529411764705882,0.13333333333333333,17
1376.T,1,0.8,2.0,0.6,0.02,0.05,0.26666666666666666,0.16,15
1376.T,1,0.8,2.0,0.6,0.05,0.02,0.23529411764705882,0.13333333333333333,17
1376.T,1,0.8,2.0,0.6,0.05,0.05,0.26666666666666666,0.16,15
1376.T,1,0.8,2.0,0.8,0.02,0.02,0.23529411764705882,0.13333333333333333,17
1376.T,1,0.8,2.0,0.8,0.02,0.05,0.26666666666666666,0.16,15
1376.T,1,0.8,2.0,0.8,0.05,0.02,0.23529411764705882,0.13333333333333333,17
1376.T,1,0.8,2.0,0.8,0.05,0.05,0.26666666666666666,0.16,15
1376.T,1,0.8,2.0,1.0,0.02,0.02,0.23529411764705882,0.13333333333333333,17
1376.T,1,0.8,2.0,1.0,0.02,0.05,0.26666666666666666,0.16,15
1376.T,1,0.8,2.0,1.0,0.05,0.02,0.23529411764705882,0.13333333333333333,17
1376.T,1,0.8,2.0,1.0,0.05,0.05,0.26666666666666666,0.16,15
1376.T,1,1.0,1.5,0.6,0.02,0.02,0.23529411764705882,0.2222222222222222,17
1376.T,1,1.0,1.5,0.6,0.02,0.05,0.26666666666666666,0.26666666666666666,15
1376.T,1,1.0,1.5,0.6,0.05,0.02,0.23529411764705882,0.2222222222222222,17
1376.T,1,1.0,1.5,0.6,0.05,0.05,0.26666666666666666,0.26666666666666666,15
1376.T,1,1.0,1.5,0.8,0.02,0.02,0.23529411764705882,0.2222222222222222,17
1376.T,1,1.0,1.5,0.8,0.02,0.05,0.26666666666666666,0.26666666666666666,15
1376.T,1,1.0,1.5,0.8,0.05,0.02,0.23529411764705882,0.2222222222222222,17
1376.T,1,1.0,1.5,0.8,0.05,0.05,0.26666666666666666,0.26666666666666666,15
1376.T,1,1.0,1.5,1.0,0.02,0.02,0.23529411764705882,0.2222222222222222,17
1376.T,1,1.0,1.5,1.0,0.02,0.05,0.26666666666666666,0.26666666666666666,15
1376.T,1,1.0,1.5,1.0,0.05,0.02,0.23529411764705882,0.2222222222222222,17
1376.T,1,1.0,1.5,1.0,0.05,0.05,0.26666666666666666,0.26666666666666666,15
1376.T,1,1.0,2.0,0.6,0.02,0.02,0.23529411764705882,0.16666666666666666,17
1376.T,1,1.0,2.0,0.6,0.02,0.05,0.26666666666666666,0.2,15
1376.T,1,1.0,2.0,0.6,0.05,0.02,0.23529411764705882,0.16666666666666666,17
1376.T,1,1.0,2.0,0.6,0.05,0.05,0.26666666666666666,0.2,15
1376.T,1,1.0,2.0,0.8,0.02,0.02,0.23529411764705882,0.16666666666666666,17
1376.T,1,1.0,2.0,0.8,0.02,0.05,0.26666666666666666,0.2,15
1376.T,1,1.0,2.0,0.8,0.05,0.02,0.23529411764705882,0.16666666666666666,17
1376.T,1,1.0,2.0,0.8,0.05,0.05,0.26666666666666666,0.2,15
1376.T,1,1.0,2.0,1.0,0.02,0.02,0.23529411764705882,0.16666666666666666,17
1376.T,1,1.0,2.0,1.0,0.02,0.05,0.26666666666666666,0.2,15
1376.T,1,1.0,2.0,1.0,0.05,0.02,0.23529411764705882,0.16666666666666666,17
1376.T,1,1.0,2.0,1.0,0.05,0.05,0.26666666666666666,0.2,15
1376.T,1,1.2,1.5,0.6,0.02,0.02,0.23529411764705882,0.26666666666666666,17
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26666666666666666,0.32,15
1376.T,1,1.2,1.5,0.6,0.05,0.02,0.23529411764705882,0.26666666666666666,17
1376.T,1,1.2,1.5,0.6,0.05,0.05,0.26666666666666666,0.32,15
1376.T,1,1.2,1.5,0.8,0.02,0.02,0.23529411764705882,0.26666666666666666,17
1376.T,1,1.2,1.5,0.8,0.02,0.05,0.26666666666666666,0.32,15
1376.T,1,1.2,1.5,0.8,0.05,0.02,0.23529411764705882,0.26666666666666666,17
1376.T,1,1.2,1.5,0.8,0.05,0.05,0.26666666666666666,0.32,15
1376.T,1,1.2,1.5,1.0,0.02,0.02,0.23529411764705882,0.26666666666666666,17
1376.T,1,1.2,1.5,1.0,0.02,0.05,0.26666666666666666,0.32,15
1376.T,1,1.2,1.5,1.0,0.05,0.02,0.23529411764705882,0.26666666666666666,17
1376.T,1,1.2,1.5,1.0,0.05,0.05,0.26666666666666666,0.32,15
1376.T,1,1.2,2.0,0.6,0.02,0.02,0.23529411764705882,0.19999999999999998,17
1376.T,1,1.2,2.0,0.6,0.02,0.05,0.26666666666666666,0.24,15
1376.T,1,1.2,2.0,0.6,0.05,0.02,0.23529411764705882,0.19999999999999998,17
1376.T,1,1.2,2.0,0.6,0.05,0.05,0.26666666666666666,0.24,15
1376.T,1,1.2,2.0,0.8,0.02,0.02,0.23529411764705882,0.19999999999999998,17
1376.T,1,1.2,2.0,0.8,0.02,0.05,0.26666666666666666,0.24,15
1376.T,1,1.2,2.0,0.8,0.05,0.02,0.23529411764705882,0.19999999999999998,17
1376.T,1,1.2,2.0,0.8,0.05,0.05,0.26666666666666666,0.24,15
1376.T,1,1.2,2.0,1.0,0.02,0.02,0.23529411764705882,0.19999999999999998,17
1376.T,1,1.2,2.0,1.0,0.02,0.05,0.26666666666666666,0.24,15
1376.T,1,1.2,2.0,1.0,0.05,0.02,0.23529411764705882,0.19999999999999998,17
1376.T,1,1.2,2.0,1.0,0.05,0.05,0.26666666666666666,0.24,15
1376.T,2,0.8,1.5,0.6,0.02,0.02,0.17647058823529413,0.1230769230769231,34
1376.T,2,0.8,1.5,0.6,0.02,0.05,0.17647058823529413,0.1230769230769231,34
1376.T,2,0.8,1.5,0.6,0.05,0.02,0.17647058823529413,0.1230769230769231,34
1376.T,2,0.8,1.5,0.6,0.05,0.05,0.17647058823529413,0.1230769230769231,34
1376.T,2,0.8,1.5,0.8,0.02,0.02,0.18181818181818182,0.12800000000000003,33
1376.T,2,0.8,1.5,0.8,0.02,0.05,0.18181818181818182,0.12800000000000003,33
1376.T,2,0.8,1.5,0.8,0.05,0.02,0.18181818181818182,0.12800000000000003,33
1376.T,2,0.8,1.5,0.8,0.05,0.05,0.18181818181818182,0.12800000000000003,33
1376.T,2,0.8,1.5,1.0,0.02,0.02,0.1875,0.13333333333333336,32
1376.T,2,0.8,1.5,1.0,0.02,0.05,0.1875,0.13333333333333336,32
1376.T,2,0.8,1.5,1.0,0.05,0.02,0.1875,0.13333333333333336,32
1376.T,2,0.8,1.5,1.0,0.05,0.05,0.1875,0.13333333333333336,32
1376.T,2,0.8,2.0,0.6,0.02,0.02,0.20588235294117646,0.11200000000000002,34
1376.T,2,0.8,2.0,0.6,0.02,0.05,0.20588235294117646,0.11200000000000002,34
1376.T,2,0.8,2.0,0.6,0.05,0.02,0.20588235294117646,0.11200000000000002,34
1376.T,2,0.8,2.0,0.6,0.05,0.05,0.20588235294117646,0.11200000000000002,34
1376.T,2,0.8,2.0,0.8,0.02,0.02,0.21212121212121213,0.11666666666666668,33
1376.T,2,0.8,2.0,0.8,0.02,0.05,0.21212121212121213,0.11666666666666668,33
1376.T,2,0.8,2.0,0.8,0.05,0.02,0.21212121212121213,0.11666666666666668,33
1376.T,2,0.8,2.0,0.8,0.05,0.05,0.21212121212121213,0.11666666666666668,33
1376.T,2,0.8,2.0,1.0,0.02,0.02,0.21875,0.12173913043478261,32
1376.T,2,0.8,2.0,1.0,0.02,0.05,0.21875,0.12173913043478261,32
1376.T,2,0.8,2.0,1.0,0.05,0.02,0.21875,0.12173913043478261,32
1376.T,2,0.8,2.0,1.0,0.05,0.05,0.21875,0.12173913043478261,32
1376.T,2,1.0,1.5,0.6,0.02,0.02,0.17647058823529413,0.15384615384615385,34
1376.T,2,1.0,1.5,0.6,0.02,0.05,0.17647058823529413,0.15384615384615385,34
