code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26666666666666666,0.32,15,0.29056018608257417
1382.T,1,1.2,2.0,0.8,0.02,0.02,0.25,0.39999999999999997,8,0.19978675196588033
1401.T,3,1.2,2.0,0.8,0.02,0.05,0.64,1.2,25,1.0655293438180284
142A.T,2,1.2,2.0,0.6,0.02,0.02,0.9090909090909091,6.0,11,5.9936025589764075
145A.T,3,1.2,1.5,0.8,0.02,0.05,0.625,2.0,16,1.3317341862117984
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1491.T,5,1.2,2.0,0.6,0.05,0.05,0.3888888888888889,0.43448275862068964,54,0.38141107193486246
1798.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123
1980.T,1,1.2,2.0,0.6,0.02,0.05,0.37037037037037035,0.375,27,0.352564856410377
2138.T,5,1.2,2.0,0.6,0.02,0.05,0.6,0.8999999999999999,10,0.8990403838464615
2160.T,2,1.2,1.5,1.0,0.02,0.02,0.4166666666666667,0.5797101449275363,120,0.5707432226621993
219A.T,1,1.2,1.5,1.0,0.05,0.05,0.37,0.46984126984126984,100,0.46927776085558603
228A.T,2,1.2,2.0,0.6,0.02,0.02,0.4186046511627907,0.44999999999999996,43,0.4315393842463016
2315.T,1,1.0,1.5,0.8,0.02,0.02,0.875,4.666666666666667,8,4.66044776119403
2471.T,1,1.2,1.5,0.8,0.05,0.02,0.2631578947368421,0.3333333333333333,19,0.2853716113310996
2998.T,1,1.2,1.5,0.6,0.05,0.05,0.2,0.21428571428571427,75,0.19976012793176975
319A.T,1,1.2,1.5,1.0,0.05,0.05,0.26,0.29714285714285715,50,0.2807439635797845
3237.T,2,1.2,1.5,1.0,0.02,0.05,0.625,2.0,8,1.3317341862117984
3267.T,5,1.2,2.0,0.6,0.02,0.02,0.30612244897959184,0.28125,49,0.26442364230778276
3388.T,1,1.2,1.5,0.6,0.02,0.02,0.15384615384615385,0.14545454545454545,39,0.14528009304128708
338A.T,3,1.2,1.5,1.0,0.05,0.02,0.19834710743801653,0.2021052631578947,121,0.19770074516958655
341A.T,5,1.2,2.0,1.0,0.05,0.02,0.23943661971830985,0.19615384615384615,71,0.18868748796777587
3446.T,3,1.2,1.5,0.6,0.02,0.02,0.23333333333333334,0.24615384615384617,120,0.24318624269954578
3489.T,1,1.2,1.5,0.6,0.02,0.02,0.38461538461538464,0.5333333333333333,26,0.49940031982942434
352A.T,3,1.2,1.5,0.8,0.02,0.05,0.2413793103448276,0.26666666666666666,29,0.2542401628222524
3692.T,1,1.2,2.0,0.6,0.05,0.02,0.12745098039215685,0.09069767441860464,102,0.08754700367044194
3697.T,3,1.2,2.0,0.8,0.05,0.05,0.3055555555555556,0.27123287671232876,108,0.2637185125949621
3779.T,1,1.2,1.5,0.8,0.02,0.05,0.26666666666666666,0.32,15,0.29056018608257417
3803.T,2,1.2,2.0,1.0,0.05,0.05,0.5517241379310345,0.96,29,0.7376741611047889
3843.T,2,1.2,1.5,1.0,0.05,0.02,0.2777777777777778,0.3076923076923077,36,0.30732327374118423
3856.T,1,1.2,2.0,0.6,0.02,0.02,0.25862068965517243,0.21428571428571427,58,0.20907915903406082
3935.T,5,1.2,2.0,1.0,0.02,0.05,0.3411764705882353,0.31071428571428567,85,0.31038298966127836
3936.T,3,1.2,1.5,1.0,0.02,0.05,0.13333333333333333,0.13333333333333333,15,0.12292930949647368
3979.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3997.T,1,1.2,1.5,1.0,0.02,0.05,0.2619047619047619,0.30344827586206896,42,0.2835305041612216
4125.T,1,1.2,2.0,0.8,0.02,0.05,0.6666666666666666,1.2,9,1.1987205117952817
414A.T,2,1.2,2.0,0.8,0.05,0.05,0.2765957446808511,0.22941176470588234,94,0.22916715666674511
4316.T,5,1.2,1.5,0.8,0.02,0.05,0.19480519480519481,0.2,77,0.19331625283719653
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.42391304347826086,0.5886792452830188,92,0.5879732067425676
4420.T,5,1.2,2.0,1.0,0.02,0.05,0.42857142857142855,0.6749999999999999,21,0.4495201919232308
4425.T,1,1.2,1.5,1.0,0.02,0.02,0.391304347826087,0.6,23,0.5136689003959793
4493.T,1,1.2,1.5,0.8,0.02,0.02,0.30864197530864196,0.36363636363636365,81,0.35671451416387456
4571.T,1,1.2,1.5,0.6,0.02,0.05,0.28378378378378377,0.3230769230769231,74,0.31660095747676714
4586.T,1,1.2,1.5,0.8,0.02,0.02,0.47619047619047616,0.8,21,0.7264004652064353
4594.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,8,
4617.T,5,1.2,2.0,0.6,0.02,0.02,0.26666666666666666,0.24,75,0.21794918396277851
4664.T,1,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,
4667.T,5,1.2,1.5,0.8,0.05,0.05,0.2727272727272727,0.3428571428571428,11,0.29964019189765456
4673.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,9,1.5980810234541576
5027.T,1,1.2,2.0,1.0,0.02,0.02,0.19047619047619047,0.15,21,0.1410259425641508
5029.T,1,1.2,2.0,0.8,0.02,0.02,0.7142857142857143,1.5,7,1.4984006397441028
5131.T,2,1.2,2.0,1.0,0.02,0.02,0.47058823529411764,0.5333333333333333,68,0.5327646719090141
5243.T,1,1.2,2.0,0.6,0.02,0.05,0.13274336283185842,0.09375,113,0.09173881467821036
5256.T,1,1.2,1.5,0.6,0.02,0.02,0.22580645161290322,0.23333333333333334,31,0.2330534825870647
5344.T,2,1.2,2.0,1.0,0.02,0.05,0.2,0.15,75,0.14984006397441024
5595.T,1,1.2,2.0,0.6,0.05,0.02,0.22807017543859648,0.18139534883720929,114,0.17708371196975758
5729.T,5,1.2,2.0,0.6,0.02,0.05,0.33962264150943394,0.30857142857142855,53,0.30824241731878677
5982.T,2,1.2,1.5,1.0,0.02,0.02,0.16666666666666666,0.16,6,0.1598081023454158
5994.T,2,1.2,1.5,1.0,0.02,0.05,0.23076923076923078,0.3,26,0.23971215351812372
5998.T,1,1.0,2.0,1.0,0.02,0.05,0.3333333333333333,0.3333333333333333,12,0.24970011995201913
6022.T,5,1.2,1.5,0.6,0.02,0.05,0.875,5.6000000000000005,8,5.593283582089553
6232.T,5,1.2,1.5,0.6,0.05,0.05,0.2,0.20194174757281552,130,0.19976012793176975
6254.T,5,1.2,2.0,0.6,0.05,0.02,0.1935483870967742,0.14594594594594593,93,0.14384646141543386
6289.T,2,1.2,2.0,0.8,0.05,0.05,0.2159090909090909,0.16521739130434784,88,0.16504122988485767
6378.T,3,1.2,1.5,0.6,0.05,0.05,0.23232323232323232,0.2421052631578947,99,0.24181489170687911
6492.T,1,1.2,1.5,0.6,0.02,0.02,0.4444444444444444,0.64,9,0.6392324093816631
6506.T,5,1.2,2.0,1.0,0.05,0.02,0.36036036036036034,0.34782608695652173,111,0.33766774980148784
6516.T,1,1.2,2.0,0.6,0.05,0.05,0.34782608695652173,0.32,23,0.31965880314540857
6521.T,1,1.2,2.0,0.6,0.05,0.05,0.11764705882352941,0.08135593220338982,68,0.07991470078635213
6525.T,5,1.2,2.0,1.0,0.02,0.05,0.3425925925925926,0.3217391304347826,108,0.31234266856637627
6573.T,1,1.2,2.0,1.0,0.02,0.02,0.5,1.2,8,0.599360255897641
6590.T,3,1.2,1.5,0.6,0.02,0.02,0.23015873015873015,0.24166666666666664,126,0.23888840041325038
