winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.4166666666666667,0.5714285714285714,12,1376.T,1,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
0.0,0.0,10,1382.T,1,1.2,2.0,0.8,0.02,0.02,0.0
0.21052631578947367,0.17142857142857143,19,1401.T,3,1.2,2.0,0.8,0.02,0.05,0.15982940157270425
0.3333333333333333,0.39999999999999997,6,142A.T,2,1.2,2.0,0.6,0.02,0.02,0.29968012794882043
0.42857142857142855,0.7999999999999999,7,145A.T,3,1.2,1.5,0.8,0.02,0.05,0.5992803837953092
0.0,0.0,0,1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.47368421052631576,0.5399999999999999,38,1491.T,5,1.2,2.0,0.6,0.05,0.05,0.5394242303078768
1.0,999.0,1,1798.T,1,0.8,1.5,0.6,0.02,0.02,
0.25,0.20425531914893616,64,186A.T,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
0.1,0.075,10,1980.T,1,1.2,2.0,0.6,0.02,0.05,0.06659558398862678
0.14285714285714285,0.12,7,2138.T,5,1.2,2.0,0.6,0.02,0.05,0.09989337598294017
0.1044776119402985,0.09333333333333334,67,2160.T,2,1.2,1.5,1.0,0.02,0.02,0.09322139303482588
0.2459016393442623,0.2608695652173913,61,219A.T,1,1.2,1.5,1.0,0.05,0.05,0.26055668860665615
0.23076923076923078,0.19285714285714284,39,228A.T,2,1.2,2.0,0.6,0.02,0.02,0.1798080767692923
1.0,999.0,2,2315.T,1,1.0,1.5,0.8,0.02,0.02,
0.5714285714285714,1.0666666666666667,7,2471.T,1,1.2,1.5,0.8,0.05,0.02,1.0653873489694385
0.08333333333333333,0.07999999999999999,36,2998.T,1,1.2,1.5,0.6,0.05,0.05,0.07264004652064354
0.24,0.2526315789473684,25,319A.T,1,1.2,1.5,1.0,0.05,0.05,0.25232858265065655
0.75,2.4,8,3237.T,2,1.2,1.5,1.0,0.02,0.05,2.397121535181237
0.625,1.0,16,3267.T,5,1.2,2.0,0.6,0.02,0.02,0.9989337598294017
0.38461538461538464,0.5,26,3388.T,1,1.2,1.5,0.6,0.02,0.02,0.49940031982942434
0.0,0.0,28,338A.T,3,1.2,1.5,1.0,0.05,0.02,0.0
0.3191489361702128,0.28125,47,341A.T,5,1.2,2.0,1.0,0.05,0.02,0.28095011995201924
0.22641509433962265,0.23999999999999996,53,3446.T,3,1.2,1.5,0.6,0.02,0.02,0.23386551562743774
0.3333333333333333,0.39999999999999997,9,3489.T,1,1.2,1.5,0.6,0.02,0.02,0.3995202558635394
0.0,0.0,26,352A.T,3,1.2,1.5,0.8,0.02,0.05,0.0
0.2727272727272727,0.225,55,3692.T,1,1.2,2.0,0.6,0.05,0.02,0.22476009596161536
0.2413793103448276,0.19534883720930232,58,3697.T,3,1.2,2.0,0.8,0.05,0.05,0.19070553596743123
0.25,0.26666666666666666,4,3779.T,1,1.2,1.5,0.8,0.02,0.05,0.26634683724235964
0.16666666666666666,0.12,6,3803.T,2,1.2,2.0,1.0,0.05,0.05,0.11987205117952819
0.125,0.13333333333333333,24,3843.T,2,1.2,1.5,1.0,0.05,0.02,0.11414864453243985
0.25,0.3,4,3856.T,1,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
0.2641509433962264,0.24000000000000002,53,3935.T,5,1.2,2.0,1.0,0.02,0.05,0.2151549636555634
0.14285714285714285,0.19999999999999998,7,3936.T,3,1.2,1.5,1.0,0.02,0.05,0.13317341862117982
1.0,999.0,1,3979.T,1,0.8,1.5,0.6,0.02,0.02,
0.5,0.7999999999999999,6,3997.T,1,1.2,1.5,1.0,0.02,0.05,0.799040511727079
0.2857142857142857,0.24,14,4125.T,1,1.2,2.0,0.8,0.02,0.05,0.2397441023590564
0.2641509433962264,0.2210526315789474,53,414A.T,2,1.2,2.0,0.8,0.05,0.05,0.2151549636555634
0.10810810810810811,0.09999999999999999,37,4316.T,5,1.2,1.5,0.8,0.02,0.05,0.09685339536085806
0.22033898305084745,0.22608695652173913,59,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.22581579679243535
0.5833333333333334,0.8400000000000001,12,4420.T,5,1.2,2.0,1.0,0.02,0.05,0.8391043582566976
0.0,0.0,17,4425.T,1,1.2,1.5,1.0,0.02,0.02,0.0
0.19047619047619047,0.18823529411764706,42,4493.T,1,1.2,1.5,0.8,0.02,0.02,0.1880095321710774
0.15384615384615385,0.14545454545454545,13,4571.T,1,1.2,1.5,0.6,0.02,0.05,0.14528009304128708
0.6153846153846154,1.28,13,4586.T,1,1.2,1.5,0.8,0.02,0.02,1.2784648187633265
0.0,0.0,0,4594.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.16666666666666666,0.12,48,4617.T,5,1.2,2.0,0.6,0.02,0.02,0.11987205117952819
0.25,0.13333333333333333,4,4664.T,1,0.8,2.0,0.6,0.02,0.02,0.13314674130347862
0.5,0.7999999999999999,2,4667.T,5,1.2,1.5,0.8,0.05,0.05,0.799040511727079
0.0,0.0,7,4673.T,3,1.2,1.5,0.6,0.02,0.05,0.0
0.42857142857142855,0.44999999999999996,21,5027.T,1,1.2,2.0,1.0,0.02,0.02,0.4495201919232308
0.5,999.0,2,5029.T,1,1.2,2.0,0.8,0.02,0.02,0.599360255897641
0.3469387755102041,0.3290322580645161,49,5131.T,2,1.2,2.0,1.0,0.02,0.02,0.31841013594562173
0.25,0.20571428571428568,48,5243.T,1,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
0.14285714285714285,0.13333333333333333,7,5256.T,1,1.2,1.5,0.6,0.02,0.02,0.13317341862117982
0.2916666666666667,0.24705882352941178,24,5344.T,2,1.2,2.0,1.0,0.02,0.05,0.246795399487264
0.24,0.19999999999999998,50,5595.T,1,1.2,2.0,0.6,0.05,0.02,0.18927165975714977
0.5294117647058824,0.7714285714285714,17,5729.T,5,1.2,2.0,0.6,0.02,0.05,0.6742802878848462
0.4,0.5333333333333333,5,5982.T,2,1.2,1.5,1.0,0.02,0.02,0.5326936744847194
0.3333333333333333,0.39999999999999997,3,5994.T,2,1.2,1.5,1.0,0.02,0.05,0.3995202558635394
0.5555555555555556,0.8333333333333334,9,5998.T,1,1.0,2.0,1.0,0.02,0.05,0.624250299880048
0.0,0.0,1,6022.T,5,1.2,1.5,0.6,0.02,0.05,0.0
0.12727272727272726,0.11666666666666667,55,6232.T,5,1.2,1.5,0.6,0.05,0.05,0.11652674129353233
0.32653061224489793,0.3,49,6254.T,5,1.2,2.0,0.6,0.05,0.02,0.29059891195037135
0.3170731707317073,0.312,41,6289.T,2,1.2,2.0,0.8,0.05,0.05,0.27827440452390473
0.07017543859649122,0.061538461538461535,57,6378.T,3,1.2,1.5,0.6,0.05,0.05,0.060304944281288964
0.0,0.0,2,6492.T,1,1.2,1.5,0.6,0.02,0.02,0.0
0.3684210526315789,0.36,57,6506.T,5,1.2,2.0,1.0,0.05,0.02,0.34962681594029055
0.75,1.7999999999999998,4,6516.T,1,1.2,2.0,0.6,0.05,0.05,1.798080767692923
0.15384615384615385,0.10909090909090909,52,6521.T,1,1.2,2.0,0.6,0.05,0.05,0.10897459198138927
0.2,0.15348837209302324,55,6525.T,5,1.2,2.0,1.0,0.02,0.05,0.14984006397441024
0.0,0.0,0,6573.T,1,1.2,2.0,1.0,0.02,0.02,0.0
0.125,0.12203389830508474,72,6590.T,3,1.2,1.5,0.6,0.02,0.02,0.11414864453243985
