code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.30120481927710846,0.2727272727272727,83,0.2583449378869142
137A.T,1,1.2,1.5,0.8,0.02,0.02,0.2222222222222222,0.24615384615384614,18,0.2282972890648797
138A.T,5,0.8,1.5,1.0,0.02,0.05,1.0,999.0,1,
1407.T,3,1.2,2.0,1.0,0.02,0.05,0.2857142857142857,0.24,91,0.2397441023590564
1459.T,3,1.2,2.0,0.8,0.05,0.02,0.4931506849315068,0.6,73,0.5831613300625696
1466.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,2,
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.4533333333333333,0.5368421052631579,75,0.4970304561102389
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1960.T,1,1.2,2.0,0.6,0.02,0.02,0.5,0.6,2,0.599360255897641
2032.T,3,1.2,1.5,1.0,0.02,0.05,0.2,0.26666666666666666,5,0.19976012793176975
2034.T,2,1.2,2.0,0.6,0.02,0.02,0.4,0.6,5,0.39957350393176067
205A.T,1,1.2,2.0,1.0,0.02,0.05,0.5555555555555556,0.75,9,0.7492003198720513
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344
2334.T,5,1.2,1.5,0.6,0.05,0.05,0.2222222222222222,0.23999999999999996,81,0.2282972890648797
276A.T,2,1.2,1.5,0.6,0.05,0.02,0.25316455696202533,0.27586206896551724,79,0.270861190415959
2791.T,1,1.2,1.5,1.0,0.02,0.02,0.5833333333333334,1.12,12,1.1186567164179109
2867.T,1,1.2,1.5,1.0,0.02,0.02,0.5,2.4,6,0.799040511727079
2872.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
2901.T,2,1.2,2.0,1.0,0.05,0.05,0.27586206896551724,0.24,29,0.22832771653243467
2936.T,2,1.2,2.0,0.8,0.02,0.02,0.3333333333333333,0.3054545454545455,84,0.29968012794882043
2962.T,1,1.2,1.5,1.0,0.02,0.02,0.32941176470588235,0.4,85,0.3925111285676879
3189.T,1,1.0,1.5,1.0,0.05,0.05,0.3548387096774194,0.38596491228070173,31,0.36617803837953095
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246
3370.T,5,1.2,2.0,0.6,0.02,0.05,0.4482758620689655,0.4875,87,0.48698020791683333
339A.T,2,1.2,1.5,0.6,0.02,0.05,0.3333333333333333,0.4307692307692308,21,0.3995202558635394
3420.T,5,0.8,1.5,0.6,0.02,0.05,0.5,999.0,2,0.5325159914712154
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,9,
3541.T,1,1.2,1.5,0.6,0.02,0.02,0.45,0.72,20,0.6537604186857918
3608.T,3,1.2,1.5,0.8,0.02,0.02,0.32967032967032966,0.39344262295081966,91,0.3929707434723339
3647.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
365A.T,1,1.0,1.5,0.8,0.02,0.02,0.6,1.1111111111111112,25,0.9986673773987207
3661.T,1,1.2,1.5,0.8,0.02,0.02,0.24242424242424243,0.256,66,0.25569296375266526
381A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
3895.T,5,1.2,2.0,1.0,0.02,0.02,0.6,0.8999999999999999,5,0.8990403838464615
3902.T,2,1.2,1.5,0.8,0.05,0.02,0.3269230769230769,0.38857142857142857,52,0.3881053914102955
3905.T,5,1.2,2.0,0.8,0.02,0.02,0.2524271844660194,0.20259740259740258,103,0.20238138510829434
3926.T,1,1.2,1.5,0.6,0.02,0.02,0.16666666666666666,0.19999999999999998,6,0.1598081023454158
3933.T,5,1.2,1.5,0.6,0.02,0.05,0.5,1.0,10,0.799040511727079
3991.T,5,1.2,1.5,0.6,0.05,0.02,0.23809523809523808,0.26666666666666666,42,0.24970015991471214
3996.T,1,1.2,1.5,0.6,0.02,0.02,0.3076923076923077,0.39999999999999997,13,0.35512911632314625
4017.T,1,1.2,1.5,0.8,0.05,0.05,0.3333333333333333,0.39999999999999997,3,0.3995202558635394
4057.T,5,1.2,1.5,0.6,0.02,0.02,0.3,0.3692307692307692,40,0.34244593359731956
4172.T,3,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,
4175.T,2,1.2,1.5,0.8,0.02,0.05,0.16666666666666666,0.19999999999999998,12,0.1598081023454158
4176.T,1,1.2,2.0,1.0,0.05,0.02,0.4166666666666667,0.42857142857142855,24,0.4281144684983151
4241.T,5,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
4343.T,1,1.0,2.0,1.0,0.02,0.02,0.625,0.8333333333333334,8,0.8323337331733973
4378.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
4384.T,1,1.2,1.5,0.8,0.05,0.02,0.35135135135135137,0.45217391304347826,37,0.43281361051883444
4413.T,2,1.2,2.0,1.0,0.05,0.02,0.36231884057971014,0.3409090909090909,69,0.34054559994184147
4415.T,2,1.0,1.5,0.8,0.02,0.05,0.2,0.16666666666666666,40,0.1664445628997868
4438.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
4440.T,5,1.2,1.5,0.8,0.05,0.02,0.17777777777777778,0.17297297297297295,45,0.17276551604909818
4446.T,2,1.2,2.0,0.8,0.05,0.05,0.24390243902439024,0.1956521739130435,123,0.1933420180314971
4760.T,3,1.2,2.0,1.0,0.05,0.02,0.6666666666666666,1.2,9,1.1987205117952817
4888.T,2,1.2,1.5,0.6,0.02,0.02,0.10606060606060606,0.09655172413793103,66,0.09480141664558564
5246.T,1,1.2,1.5,1.0,0.05,0.02,0.17543859649122806,0.1702127659574468,57,0.17000861951639978
5250.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
5578.T,1,1.2,1.5,0.6,0.02,0.05,0.4,0.5333333333333333,10,0.5326936744847194
5721.T,1,1.0,1.5,0.6,0.02,0.05,0.4838709677419355,0.625,31,0.6241671108742004
5858.T,1,1.2,1.5,0.6,0.02,0.02,0.46153846153846156,0.6857142857142856,13,0.6848918671946391
5870.T,5,1.2,1.5,1.0,0.05,0.05,0.3,0.39999999999999997,10,0.34244593359731956
5950.T,2,1.2,1.5,1.0,0.02,0.05,0.5405405405405406,1.0,37,0.9400476608553872
5952.T,2,1.2,1.5,1.0,0.05,0.05,0.4857142857142857,0.7999999999999999,35,0.7546493721866858
5987.T,5,0.8,1.5,0.6,0.02,0.02,0.5714285714285714,1.0666666666666667,7,0.7100213219616204
6098.T,5,1.2,2.0,1.0,0.05,0.05,0.4567901234567901,0.5045454545454545,81,0.5040074879139254
6166.T,1,1.0,1.5,1.0,0.05,0.02,0.5,0.6666666666666666,4,0.6657782515991472
6173.T,3,0.8,1.5,0.6,0.02,0.05,1.0,999.0,1,
6265.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
6323.T,2,1.2,2.0,1.0,0.02,0.02,0.3220338983050847,0.304,118,0.28469612155137947
6433.T,5,1.2,1.5,0.6,0.05,0.05,0.3595505617977528,0.44912280701754387,89,0.4485841469345005
6518.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
6558.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
6775.T,1,1.2,1.5,0.6,0.02,0.05,0.5555555555555556,1.0,9,0.9988006396588488
6803.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
6867.T,1,1.0,1.5,1.0,0.02,0.02,0.6666666666666666,1.3333333333333333,3,1.3315565031982939
7031.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
7036.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,4,0.0
7064.T,2,0.8,1.5,0.6,0.02,0.05,1.0,999.0,1,
7085.T,5,1.2,2.0,0.8,0.02,0.05,0.40540540540540543,0.4090909090909091,74,0.4086547199302098
7250.T,5,1.2,1.5,0.8,0.02,0.02,0.64,1.4222222222222223,25,1.4205164652925848
7261.T,3,1.2,2.0,1.0,0.02,0.02,0.25,0.20727272727272728,152,0.19978675196588033
75505.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
7599.T,5,1.2,2.0,0.8,0.02,0.05,0.5882352941176471,0.8780487804878049,102,0.8562289369966302
7640.T,1,1.2,1.5,0.6,0.02,0.02,0.8181818181818182,3.5999999999999996,11,3.595682302771857
7719.T,1,1.2,1.5,1.0,0.05,0.05,0.7333333333333333,2.1999999999999997,15,2.1973614072494665
7923.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
8105.T,5,1.2,1.5,0.6,0.05,0.02,0.18840579710144928,0.1873873873873874,138,0.18549154736521473
8233.T,5,1.2,1.5,1.0,0.02,0.02,0.24369747899159663,0.2606741573033708,119,0.257468609334281
8244.T,1,1.2,1.5,0.6,0.05,0.05,0.2972972972972973,0.3384615384615384,37,0.3380556011153027
8273.T,3,1.2,2.0,0.6,0.02,0.05,0.41509433962264153,0.4258064516129032,106,0.42535243966929365
9240.T,2,1.2,1.5,0.8,0.05,0.02,0.37383177570093457,0.49230769230769234,107,0.47703911147885314
9254.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
9270.T,5,1.2,2.0,0.8,0.02,0.02,0.3333333333333333,0.3272727272727272,54,0.29968012794882043
9345.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
9399.T,3,1.2,1.5,1.0,0.02,0.05,0.27419354838709675,0.3090909090909091,62,0.3018597488746742
9679.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
9946.T,5,1.2,2.0,0.8,0.02,0.05,0.41333333333333333,0.4428571428571428,75,0.42227654392788344
