winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.19298245614035087,0.14666666666666667,57,1357.T,3,1.2,2.0,1.0,0.05,0.05,0.14332527858421848
0.13953488372093023,0.09729729729729729,43,1360.T,1,1.2,2.0,1.0,0.05,0.05,0.09719355501042827
0.0,0.0,1,137A.T,1,1.2,1.5,0.8,0.02,0.02,0.0
0.07407407407407407,0.048484848484848485,27,138A.T,5,0.8,1.5,1.0,0.02,0.05,0.04260127931769723
0.49056603773584906,0.6,53,1407.T,3,1.2,2.0,1.0,0.02,0.05,0.577161727901432
0.23809523809523808,0.2,42,1459.T,3,1.2,2.0,0.8,0.05,0.02,0.1873000799680128
0.0,0.0,3,1466.T,1,0.8,1.5,1.0,0.02,0.02,0.0
0.5306122448979592,0.7090909090909091,49,1542.T,5,1.2,2.0,1.0,0.05,0.05,0.6775376805799421
0.0,0.0,2,1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,1,1960.T,1,1.2,2.0,0.6,0.02,0.02,0.0
0.0,0.0,0,2032.T,3,1.2,1.5,1.0,0.02,0.05,0.0
1.0,999.0,2,2034.T,2,1.2,2.0,0.6,0.02,0.02,
0.4444444444444444,0.48,18,205A.T,1,1.2,2.0,1.0,0.02,0.05,0.4794882047181127
0.25,0.20816326530612245,68,215A.T,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
0.2727272727272727,0.39999999999999997,22,2334.T,5,1.2,1.5,0.6,0.05,0.05,0.29964019189765456
0.27941176470588236,0.31666666666666665,68,276A.T,2,1.2,1.5,0.6,0.05,0.02,0.3098320351594796
0.16666666666666666,0.21818181818181817,18,2791.T,1,1.2,1.5,1.0,0.02,0.02,0.1598081023454158
1.0,999.0,1,2867.T,1,1.2,1.5,1.0,0.02,0.02,
0.14285714285714285,0.17777777777777778,7,2872.T,1,0.8,1.5,0.6,0.02,0.02,0.08875266524520255
0.3333333333333333,0.3,24,2901.T,2,1.2,2.0,1.0,0.05,0.05,0.29968012794882043
0.3673469387755102,0.37241379310344824,49,2936.T,2,1.2,2.0,0.8,0.02,0.02,0.34801563245669476
0.2857142857142857,0.3692307692307692,21,2962.T,1,1.2,1.5,1.0,0.02,0.02,0.3196162046908316
0.3333333333333333,0.3333333333333333,12,3189.T,1,1.0,1.5,1.0,0.05,0.05,0.33288912579957347
0.3953488372093023,0.523076923076923,43,3350.T,2,1.2,1.5,0.6,0.02,0.05,0.5224495653600132
0.10256410256410256,0.06857142857142857,39,3370.T,5,1.2,2.0,0.6,0.02,0.05,0.0684983149597304
0.75,2.4,4,339A.T,2,1.2,1.5,0.6,0.02,0.05,2.397121535181237
1.0,999.0,2,3420.T,5,0.8,1.5,0.6,0.02,0.05,
0.8,2.1333333333333333,10,3536.T,1,0.8,1.5,0.6,0.02,0.02,2.130063965884862
0.35294117647058826,0.4799999999999999,17,3541.T,1,1.2,1.5,0.6,0.02,0.02,0.43584027912386136
0.2653061224489796,0.28888888888888886,49,3608.T,3,1.2,1.5,0.8,0.02,0.02,0.28854240701255635
0.17647058823529413,0.1142857142857143,17,3647.T,1,0.8,1.5,0.6,0.02,0.02,0.11411056960097474
0.18181818181818182,0.14814814814814814,11,365A.T,1,1.0,1.5,0.8,0.02,0.02,0.14795072257758826
0.26666666666666666,0.3,45,3661.T,1,1.2,1.5,0.8,0.02,0.02,0.29056018608257417
