code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.24857142857142855,100,0.2448091186060787,0.22330097087378642,0.1792207792207792,103,2,1.2,2.0,1.0,0.05,0.05,0.1723160735705718
1360.T,3,1.2,2.0,1.0,0.05,0.05,0.35051546391752575,0.32380952380952377,97,0.3234642650876157,0.24489795918367346,0.19459459459459458,98,3,1.2,2.0,1.0,0.05,0.05,0.19438711002085657
1366.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,4,,0.375,0.3555555555555556,16,1,0.8,1.5,1.0,0.02,0.02,0.31950959488272923
1459.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,12,0.799040511727079,0.14285714285714285,0.15384615384615385,35,1,1.2,1.5,1.0,0.02,0.02,0.13317341862117982
1568.T,1,1.2,2.0,0.8,0.02,0.02,0.41304347826086957,0.4222222222222222,92,0.4217720319279697,0.225,0.18,80,1,1.2,2.0,0.8,0.02,0.02,0.17400781622834738
1570.T,2,1.2,2.0,0.8,0.05,0.05,0.3300970873786408,0.3,103,0.2953369376886927,0.28688524590163933,0.24705882352941178,122,2,1.2,2.0,0.8,0.05,0.05,0.24112194202778658
1579.T,3,1.2,2.0,0.6,0.02,0.05,0.27102803738317754,0.22597402597402597,107,0.22283906950040497,0.2605042016806723,0.21627906976744182,119,3,1.2,2.0,0.6,0.02,0.05,0.21113827196394175
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705,0.29365079365079366,0.25227272727272726,126,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,,0.45454545454545453,0.5333333333333333,11,1,0.8,1.5,0.6,0.02,0.02,0.44376332622601283
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975,0.11009174311926606,0.09896907216494845,109,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
2181.T,5,1.2,2.0,0.8,0.02,0.05,0.25471698113207547,0.20769230769230768,106,0.20484464442071276,0.3448275862068966,0.3157894736842105,87,5,1.2,2.0,0.8,0.02,0.05,0.3154527662619164
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,,0.7777777777777778,1.866666666666667,9,1,0.8,1.5,0.6,0.02,0.02,1.863805970149254
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.36923076923076925,0.36,65,0.3508450278425216,0.3424657534246575,0.3191489361702128,73,1,1.2,2.0,0.6,0.05,0.05,0.312166799946688
285A.T,2,1.2,2.0,1.0,0.05,0.05,0.4470588235294118,0.5181818181818182,85,0.4845891430661779,0.3108108108108108,0.27058823529411763,74,2,1.2,2.0,1.0,0.05,0.05,0.2702997232479557
3086.T,3,1.2,1.5,0.8,0.02,0.02,0.28440366972477066,0.31794871794871793,109,0.3175673828658904,0.20618556701030927,0.2077922077922078,97,3,1.2,1.5,0.8,0.02,0.02,0.20754299005898152
314A.T,1,1.2,1.5,1.0,0.05,0.02,0.2987012987012987,0.34074074074074073,77,0.3403320698096818,0.36470588235294116,0.4592592592592592,85,1,1.2,1.5,1.0,0.05,0.02,0.4587084419173972
3350.T,1,1.2,1.5,1.0,0.05,0.02,0.4827586206896552,0.7466666666666667,58,0.7457711442786071,0.1527777777777778,0.14915254237288134,72,1,1.2,1.5,1.0,0.05,0.02,0.14408927260652243
3382.T,2,1.2,2.0,0.6,0.02,0.05,0.36363636363636365,0.352,121,0.342491574798652,0.35074626865671643,0.3525,134,2,1.2,2.0,0.6,0.02,0.05,0.3237923221515992
3436.T,5,1.2,2.0,1.0,0.02,0.05,0.5242718446601942,0.6612244897959183,103,0.6605194656831145,0.2920353982300885,0.25063291139240507,113,5,1.2,2.0,1.0,0.02,0.05,0.2472361055577769
3647.T,2,1.2,1.5,0.8,0.02,0.05,0.36666666666666664,0.5176470588235293,30,0.4626024015262036,0.10126582278481013,0.0955223880597015,79,2,1.2,1.5,0.8,0.02,0.05,0.0900327337157272
3656.T,1,1.2,1.5,1.0,0.05,0.02,0.6923076923076923,2.4,13,1.7978411513859274,0.15384615384615385,0.14545454545454545,13,1,1.2,1.5,1.0,0.05,0.02,0.14528009304128708
3697.T,3,1.2,2.0,1.0,0.05,0.05,0.3684210526315789,0.35,95,0.34962681594029055,0.24347826086956523,0.19534883720930232,115,3,1.2,2.0,1.0,0.05,0.05,0.1928975536222293
4005.T,2,1.2,2.0,0.6,0.02,0.02,0.2636363636363636,0.21749999999999997,110,0.2145857706300196,0.3114754098360656,0.27142857142857146,122,2,1.2,2.0,0.6,0.02,0.02,0.2711391633822662
4088.T,1,1.2,1.5,0.6,0.02,0.05,0.2222222222222222,0.22857142857142856,36,0.2282972890648797,0.205607476635514,0.21204819277108433,107,1,1.2,1.5,0.6,0.02,0.05,0.20681048538818517
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,98,0.3196162046908316,0.3220338983050847,0.38,118,5,1.2,1.5,1.0,0.02,0.05,0.37954424307036255
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.30117647058823527,119,0.2938999583363968,0.28865979381443296,0.3246376811594203,97,1,1.2,1.5,1.0,0.05,0.05,0.32424832359939426
4503.T,5,1.2,2.0,0.6,0.05,0.05,0.3177570093457944,0.28732394366197184,107,0.27915409178794237,0.35185185185185186,0.3402985074626866,108,5,1.2,2.0,0.6,0.05,0.05,0.32536699605871944
4506.T,1,1.2,1.5,1.0,0.02,0.05,0.2,0.19999999999999998,80,0.19976012793176975,0.18085106382978725,0.1766233766233766,94,1,1.2,1.5,1.0,0.02,0.05,0.17641154155013433
