code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.24857142857142855,100,0.2448091186060787
1360.T,3,1.2,2.0,1.0,0.05,0.05,0.35051546391752575,0.32380952380952377,97,0.3234642650876157
1366.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,4,
1459.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,12,0.799040511727079
1568.T,1,1.2,2.0,0.8,0.02,0.02,0.41304347826086957,0.4222222222222222,92,0.4217720319279697
1570.T,2,1.2,2.0,0.8,0.05,0.05,0.3300970873786408,0.3,103,0.2953369376886927
1579.T,3,1.2,2.0,0.6,0.02,0.05,0.27102803738317754,0.22597402597402597,107,0.22283906950040497
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705
2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975
2181.T,5,1.2,2.0,0.8,0.02,0.05,0.25471698113207547,0.20769230769230768,106,0.20484464442071276
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.36923076923076925,0.36,65,0.3508450278425216
285A.T,2,1.2,2.0,1.0,0.05,0.05,0.4470588235294118,0.5181818181818182,85,0.4845891430661779
3086.T,3,1.2,1.5,0.8,0.02,0.02,0.28440366972477066,0.31794871794871793,109,0.3175673828658904
314A.T,1,1.2,1.5,1.0,0.05,0.02,0.2987012987012987,0.34074074074074073,77,0.3403320698096818
3350.T,1,1.2,1.5,1.0,0.05,0.02,0.4827586206896552,0.7466666666666667,58,0.7457711442786071
3382.T,2,1.2,2.0,0.6,0.02,0.05,0.36363636363636365,0.352,121,0.342491574798652
3436.T,5,1.2,2.0,1.0,0.02,0.05,0.5242718446601942,0.6612244897959183,103,0.6605194656831145
3647.T,2,1.2,1.5,0.8,0.02,0.05,0.36666666666666664,0.5176470588235293,30,0.4626024015262036
3656.T,1,1.2,1.5,1.0,0.05,0.02,0.6923076923076923,2.4,13,1.7978411513859274
3697.T,3,1.2,2.0,1.0,0.05,0.05,0.3684210526315789,0.35,95,0.34962681594029055
4005.T,2,1.2,2.0,0.6,0.02,0.02,0.2636363636363636,0.21749999999999997,110,0.2145857706300196
4088.T,1,1.2,1.5,0.6,0.02,0.05,0.2222222222222222,0.22857142857142856,36,0.2282972890648797
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,98,0.3196162046908316
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.30117647058823527,119,0.2938999583363968
4503.T,5,1.2,2.0,0.6,0.05,0.05,0.3177570093457944,0.28732394366197184,107,0.27915409178794237
4506.T,1,1.2,1.5,1.0,0.02,0.05,0.2,0.19999999999999998,80,0.19976012793176975
4564.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
4568.T,3,1.2,2.0,1.0,0.05,0.05,0.24242424242424243,0.19199999999999998,99,0.19179528188724512
4571.T,3,1.2,1.5,0.8,0.05,0.05,0.37142857142857144,0.4952380952380952,35,0.47216030238418305
4586.T,1,1.2,1.5,0.6,0.02,0.02,0.625,1.3333333333333333,24,1.3317341862117984
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
4689.T,1,1.2,2.0,0.6,0.05,0.05,0.26851851851851855,0.220253164556962,108,0.22001832178521005
4755.T,3,1.2,2.0,1.0,0.05,0.05,0.4205607476635514,0.43548387096774194,107,0.4350195405708684
5016.T,3,1.2,1.5,1.0,0.02,0.05,0.30666666666666664,0.3538461538461538,75,0.3534217648023618
5020.T,5,1.2,2.0,0.6,0.05,0.05,0.2222222222222222,0.17142857142857143,117,0.171245787399326
5108.T,2,1.2,1.5,1.0,0.05,0.02,0.23478260869565218,0.2511627906976744,115,0.24516015700717197
5401.T,5,1.2,1.5,0.6,0.05,0.05,0.24528301886792453,0.26,106,0.25968816631130065
5595.T,2,1.2,2.0,0.6,0.05,0.02,0.35772357723577236,0.3384615384615384,123,0.3338209020189392
5713.T,2,1.2,1.5,0.8,0.02,0.05,0.3877551020408163,0.5152542372881356,98,0.5060589907604833
5721.T,1,1.0,1.5,0.8,0.02,0.02,0.5238095238095238,0.8148148148148148,21,0.7323560767590619
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.39285714285714285,0.40615384615384614,112,0.3878213420514147
5803.T,2,1.2,2.0,0.6,0.02,0.02,0.4016393442622951,0.4083333333333333,122,0.40231030875321105
6177.T,1,1.2,1.5,0.8,0.02,0.05,0.4,0.576,45,0.5326936744847194
6178.T,3,1.2,2.0,0.8,0.02,0.05,0.3162393162393162,0.2810126582278481,117,0.2772041183526589
6315.T,5,1.2,1.5,0.8,0.05,0.02,0.208,0.21224489795918366,125,0.20984902328185912
6323.T,5,1.2,1.5,1.0,0.02,0.05,0.2894736842105263,0.32592592592592595,114,0.3255350232962174
6326.T,5,1.2,1.5,1.0,0.02,0.05,0.37623762376237624,0.4903225806451613,101,0.4819609435814127
6330.T,5,1.2,2.0,1.0,0.02,0.05,0.3853211009174312,0.38181818181818183,109,0.37571836936867054
6501.T,3,1.2,1.5,0.6,0.05,0.02,0.2631578947368421,0.2926829268292683,114,0.2853716113310996
6503.T,5,1.2,1.5,0.6,0.02,0.05,0.22772277227722773,0.2358974358974359,101,0.23561450986824126
6506.T,5,1.2,2.0,0.8,0.02,0.02,0.3884297520661157,0.39166666666666666,121,0.3806747571241774
