code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
138A.T,3,1.2,1.5,1.0,0.02,0.02,0.25,0.26666666666666666,4,0.26634683724235964,0.07692307692307693,0.07272727272727272,26,3,1.2,1.5,1.0,0.02,0.02,0.06658670931058991
1401.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,3,1.5980810234541576,0.2826086956521739,0.325,46,3,1.2,1.5,0.6,0.02,0.05,0.31477353492278864
1469.T,3,1.2,1.5,0.6,0.05,0.02,0.3333333333333333,0.7999999999999999,3,0.3995202558635394,0.3333333333333333,0.39999999999999997,18,3,1.2,1.5,0.6,0.05,0.02,0.3995202558635394
1472.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,1.0,999.0,1,1,0.8,1.5,0.6,0.02,0.02,
1477.T,2,0.8,1.5,0.8,0.02,0.02,1.0,999.0,1,,0.42857142857142855,0.4000000000000001,7,2,0.8,1.5,0.8,0.02,0.02,0.39938699360341157
1481.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1550.T,3,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,,0.5217391304347826,0.6400000000000001,23,3,0.8,1.5,1.0,0.02,0.02,0.5809265361504168
1585.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,3,1,0.8,1.5,0.6,0.02,0.02,0.0
1653.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.25,0.26666666666666666,4,1,0.8,1.5,0.6,0.02,0.02,0.17750533049040512
168A.T,1,1.0,1.5,0.6,0.05,0.05,0.5714285714285714,1.3333333333333333,7,0.8877043354655295,0.3333333333333333,0.345679012345679,42,1,1.0,1.5,0.6,0.05,0.05,0.33288912579957347
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,4,1,0.8,1.5,0.6,0.02,0.02,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
182A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
2001.T,1,1.2,1.5,0.6,0.02,0.02,0.24390243902439024,0.25806451612903225,41,0.25775500378292865,0.2542372881355932,0.2727272727272727,59,1,1.2,1.5,0.6,0.02,0.02,0.27240017445241327
2015.T,2,1.2,1.5,0.6,0.02,0.02,0.25,0.32,8,0.26634683724235964,0.0,0.0,2,2,1.2,1.5,0.6,0.02,0.02,0.0
2018.T,5,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,,0.4,0.26666666666666666,5,5,0.8,2.0,0.6,0.02,0.02,0.26629348260695723
212A.T,1,1.2,1.5,0.6,0.05,0.05,0.3548387096774194,0.4631578947368421,31,0.4394722814498935,0.4264705882352941,0.627027027027027,68,1,1.2,1.5,0.6,0.05,0.05,0.5941583292329562
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975,0.11009174311926606,0.09896907216494845,109,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
2186.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.6666666666666666,1.0666666666666667,3,3,0.8,1.5,0.6,0.02,0.02,1.0650319829424304
2459.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.1875,0.12800000000000003,32,1,0.8,1.5,0.6,0.02,0.02,0.12288830572412665
2521.T,2,1.2,2.0,0.8,0.02,0.02,0.16666666666666666,0.12,6,0.11987205117952819,0.3333333333333333,0.3333333333333333,15,2,1.2,2.0,0.8,0.02,0.02,0.29968012794882043
2526.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
2564.T,5,1.2,1.5,1.0,0.02,0.05,0.2962962962962963,0.3368421052631579,27,0.3364381102008754,0.1896551724137931,0.19130434782608693,58,5,1.2,1.5,1.0,0.02,0.05,0.18700948146803975
2622.T,2,1.2,2.0,0.8,0.02,0.02,0.5,0.6,2,0.599360255897641,0.8571428571428571,999.0,7,2,1.2,2.0,0.8,0.02,0.02,3.596161535385845
2637.T,2,1.2,2.0,1.0,0.02,0.02,0.5,0.6,2,0.599360255897641,0.5,0.75,10,2,1.2,2.0,1.0,0.02,0.02,0.599360255897641
2643.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,1.0,999.0,1,1,0.8,1.5,0.6,0.02,0.02,
2648.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
2653.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.23076923076923078,0.16000000000000003,13,1,0.8,1.5,0.6,0.02,0.02,0.15975479744136467
2736.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0,0.0,0.0,15,1,0.8,1.5,0.6,0.02,0.02,0.0
276A.T,1,1.0,1.5,0.8,0.05,0.05,0.35714285714285715,0.37037037037037035,28,0.3698768064439707,0.21739130434782608,0.19230769230769232,69,1,1.0,1.5,0.8,0.05,0.05,0.18493840322198532
2791.T,1,1.2,1.5,0.8,0.02,0.02,0.42857142857142855,0.7999999999999999,7,0.5992803837953092,0.25806451612903225,0.3368421052631579,31,1,1.2,1.5,0.8,0.02,0.02,0.27792713451376655
2849.T,1,1.0,2.0,0.6,0.02,0.02,0.5,0.5,12,0.49940023990403837,0.3076923076923077,0.2222222222222222,13,1,1.0,2.0,0.6,0.02,0.02,0.22195566217957263
