code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
138A.T,3,1.2,1.5,1.0,0.02,0.02,0.25,0.26666666666666666,4,0.26634683724235964
1401.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
1469.T,3,1.2,1.5,0.6,0.05,0.02,0.3333333333333333,0.7999999999999999,3,0.3995202558635394
1472.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
1477.T,2,0.8,1.5,0.8,0.02,0.02,1.0,999.0,1,
1481.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1550.T,3,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,
1585.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1653.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
168A.T,1,1.0,1.5,0.6,0.05,0.05,0.5714285714285714,1.3333333333333333,7,0.8877043354655295
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
182A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
2001.T,1,1.2,1.5,0.6,0.02,0.02,0.24390243902439024,0.25806451612903225,41,0.25775500378292865
2015.T,2,1.2,1.5,0.6,0.02,0.02,0.25,0.32,8,0.26634683724235964
2018.T,5,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,
212A.T,1,1.2,1.5,0.6,0.05,0.05,0.3548387096774194,0.4631578947368421,31,0.4394722814498935
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975
2186.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
2459.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
2521.T,2,1.2,2.0,0.8,0.02,0.02,0.16666666666666666,0.12,6,0.11987205117952819
2526.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
2564.T,5,1.2,1.5,1.0,0.02,0.05,0.2962962962962963,0.3368421052631579,27,0.3364381102008754
2622.T,2,1.2,2.0,0.8,0.02,0.02,0.5,0.6,2,0.599360255897641
2637.T,2,1.2,2.0,1.0,0.02,0.02,0.5,0.6,2,0.599360255897641
2643.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
2648.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
2653.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
2736.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
276A.T,1,1.0,1.5,0.8,0.05,0.05,0.35714285714285715,0.37037037037037035,28,0.3698768064439707
2791.T,1,1.2,1.5,0.8,0.02,0.02,0.42857142857142855,0.7999999999999999,7,0.5992803837953092
2849.T,1,1.0,2.0,0.6,0.02,0.02,0.5,0.5,12,0.49940023990403837
2872.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0
2934.T,3,1.2,2.0,0.6,0.02,0.02,0.35714285714285715,0.42857142857142855,14,0.3329779199431339
2936.T,1,1.2,1.5,0.8,0.02,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587
