code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1311.T,1,1.0,1.5,0.8,0.02,0.02,0.2857142857142857,0.2962962962962963,14,0.26631130063965885,0.3157894736842105,0.3076923076923077,19,1,1.0,1.5,0.8,0.02,0.02,0.3072822699688371
1435.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.7142857142857143,1.3333333333333333,7,1,0.8,1.5,0.6,0.02,0.02,1.3312899786780386
1699.T,1,1.2,2.0,0.6,0.05,0.05,0.325,0.3,40,0.288580863950716,0.15151515151515152,0.10909090909090909,66,1,1.2,2.0,0.6,0.05,0.05,0.10702861712457876
1835.T,5,1.2,2.0,0.6,0.05,0.05,0.4583333333333333,0.5499999999999999,24,0.5071509857595423,0.4444444444444444,0.4799999999999999,27,5,1.2,2.0,0.6,0.05,0.05,0.4794882047181127
1939.T,3,1.2,1.5,1.0,0.02,0.02,0.2777777777777778,0.3076923076923077,36,0.30732327374118423,0.22916666666666666,0.23783783783783782,48,3,1.2,1.5,1.0,0.02,0.02,0.2375525845675099
1959.T,5,1.2,1.5,1.0,0.02,0.05,0.288135593220339,0.3317073170731707,59,0.32342115950857964,0.20430107526881722,0.20540540540540542,93,5,1.2,1.5,1.0,0.02,0.05,0.2051590503083041
1968.T,3,1.2,1.5,1.0,0.05,0.02,0.17567567567567569,0.17049180327868851,74,0.1702873221713447,0.24242424242424243,0.26122448979591834,66,3,1.2,1.5,1.0,0.05,0.02,0.25569296375266526
2001.T,1,1.2,1.5,0.6,0.02,0.02,0.24390243902439024,0.25806451612903225,41,0.25775500378292865,0.2542372881355932,0.2727272727272727,59,1,1.2,1.5,0.6,0.02,0.02,0.27240017445241327
2039.T,1,1.2,1.5,0.8,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.1111111111111111,0.11428571428571428,9,1,1.2,1.5,0.8,0.02,0.02,0.09988006396588486
2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,,0.45454545454545453,0.5333333333333333,11,1,0.8,1.5,0.6,0.02,0.02,0.44376332622601283
2243.T,1,1.2,1.5,0.8,0.02,0.02,0.4090909090909091,0.5538461538461538,44,0.5531818927341318,0.11688311688311688,0.10746268656716416,77,1,1.2,1.5,0.8,0.02,0.02,0.10575536184623105
2353.T,1,1.0,1.5,0.6,0.02,0.02,0.7142857142857143,1.6666666666666667,7,1.664445628997868,0.875,4.666666666666667,8,1,1.0,1.5,0.6,0.02,0.02,4.66044776119403
2378.T,1,1.2,1.5,0.6,0.05,0.02,0.3333333333333333,0.39999999999999997,6,0.3995202558635394,0.45454545454545453,0.6666666666666666,22,1,1.2,1.5,0.6,0.05,0.02,0.6658670931058992
2471.T,1,1.0,1.5,1.0,0.02,0.02,0.4,0.5333333333333333,10,0.4438521677327648,0.4,0.4444444444444444,20,1,1.0,1.5,1.0,0.02,0.02,0.4438521677327648
2558.T,3,1.2,1.5,1.0,0.02,0.02,0.37735849056603776,0.48484848484848486,53,0.4842669768042903,0.20930232558139536,0.21492537313432833,86,3,1.2,1.5,1.0,0.02,0.02,0.2115107236924621
2563.T,1,1.2,1.5,0.6,0.02,0.02,0.6363636363636364,1.4000000000000001,11,1.3983208955223883,0.1875,0.1846153846153846,32,1,1.2,1.5,0.6,0.02,0.02,0.18439396424471052
2586.T,1,1.2,1.5,1.0,0.02,0.02,0.6428571428571429,1.7999999999999998,14,1.4382729211087424,0.5454545454545454,1.5999999999999999,11,1,1.2,1.5,1.0,0.02,0.02,0.9588486140724946
2621.T,1,1.0,1.5,0.8,0.02,0.02,0.9166666666666666,7.333333333333333,12,7.323560767590615,0.23809523809523808,0.20833333333333334,21,1,1.0,1.5,0.8,0.02,0.02,0.20805570362473347
2624.T,1,1.0,1.5,1.0,0.02,0.05,0.12903225806451613,0.09876543209876543,31,0.0986338150517255,0.16363636363636364,0.13636363636363635,55,1,1.0,1.5,1.0,0.02,0.05,0.13026096226939834
264A.T,1,1.0,1.5,0.6,0.02,0.02,0.23076923076923078,0.2,26,0.19973347547974418,0.14285714285714285,0.1111111111111111,42,1,1.0,1.5,0.6,0.02,0.02,0.11096304193319119
2695.T,1,1.2,1.5,0.8,0.05,0.02,0.6,2.4,5,1.1985607675906185,0.7142857142857143,2.0,7,1,1.2,1.5,0.8,0.05,0.02,1.9976012793176976
2975.T,1,1.2,1.5,1.0,0.05,0.05,0.2857142857142857,0.32,28,0.3196162046908316,0.3448275862068966,0.42105263157894735,29,1,1.2,1.5,1.0,0.05,0.05,0.4205476377510942
3034.T,5,1.2,2.0,0.6,0.02,0.05,0.42105263157894735,0.46451612903225803,57,0.4358983679255571,0.39473684210526316,0.4,76,5,1.2,2.0,0.6,0.02,0.05,0.39088712341150506
3038.T,1,1.2,2.0,0.6,0.05,0.05,0.3163265306122449,0.2818181818181818,98,0.27731593929592346,0.20909090909090908,0.1623529411764706,110,1,1.2,2.0,0.6,0.05,0.05,0.15845156190397405
3101.T,1,1.0,1.5,1.0,0.05,0.02,0.15,0.11764705882352941,20,0.11749027969396714,0.38461538461538464,0.4166666666666667,13,1,1.0,1.5,1.0,0.05,0.02,0.41611140724946694
3103.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,,0.5,0.5333333333333333,8,1,0.8,1.5,0.6,0.02,0.02,0.5325159914712154
3294.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,8,0.0,0.2191780821917808,0.15515151515151515,73,1,0.8,1.5,0.6,0.02,0.02,0.14947817304455166
3487.T,1,1.2,1.5,0.6,0.05,0.05,0.6666666666666666,1.5999999999999999,9,1.5980810234541576,0.3684210526315789,0.6222222222222222,19,1,1.2,1.5,0.6,0.05,0.05,0.4661069651741294
3526.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,6,,0.38461538461538464,0.3333333333333333,13,2,0.8,1.5,0.6,0.02,0.02,0.33282249466950964
