code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
1311.T,1,0.8,1.5,0.6,0.02,0.02,0.26666666666666666,0.21333333333333335,15
1311.T,1,0.8,1.5,0.6,0.02,0.05,0.26666666666666666,0.21333333333333335,15
1311.T,1,0.8,1.5,0.6,0.05,0.02,0.26666666666666666,0.21333333333333335,15
1311.T,1,0.8,1.5,0.6,0.05,0.05,0.26666666666666666,0.21333333333333335,15
1311.T,1,0.8,1.5,0.8,0.02,0.02,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,0.8,0.02,0.05,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,0.8,0.05,0.02,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,0.8,0.05,0.05,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,1.0,0.02,0.02,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,1.0,0.02,0.05,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,1.0,0.05,0.02,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,1.5,1.0,0.05,0.05,0.2857142857142857,0.23703703703703705,14
1311.T,1,0.8,2.0,0.6,0.02,0.02,0.3333333333333333,0.2222222222222222,15
1311.T,1,0.8,2.0,0.6,0.02,0.05,0.3333333333333333,0.2222222222222222,15
1311.T,1,0.8,2.0,0.6,0.05,0.02,0.3333333333333333,0.2222222222222222,15
1311.T,1,0.8,2.0,0.6,0.05,0.05,0.3333333333333333,0.2222222222222222,15
1311.T,1,0.8,2.0,0.8,0.02,0.02,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,0.8,0.02,0.05,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,0.8,0.05,0.02,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,0.8,0.05,0.05,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,1.0,0.02,0.02,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,1.0,0.02,0.05,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,1.0,0.05,0.02,0.35714285714285715,0.25,14
1311.T,1,0.8,2.0,1.0,0.05,0.05,0.35714285714285715,0.25,14
1311.T,1,1.0,1.5,0.6,0.02,0.02,0.26666666666666666,0.26666666666666666,15
1311.T,1,1.0,1.5,0.6,0.02,0.05,0.26666666666666666,0.26666666666666666,15
1311.T,1,1.0,1.5,0.6,0.05,0.02,0.26666666666666666,0.26666666666666666,15
1311.T,1,1.0,1.5,0.6,0.05,0.05,0.26666666666666666,0.26666666666666666,15
1311.T,1,1.0,1.5,0.8,0.02,0.02,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,0.8,0.02,0.05,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,0.8,0.05,0.02,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,0.8,0.05,0.05,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,1.0,0.02,0.02,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,1.0,0.02,0.05,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,1.0,0.05,0.02,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,1.5,1.0,0.05,0.05,0.2857142857142857,0.2962962962962963,14
1311.T,1,1.0,2.0,0.6,0.02,0.02,0.26666666666666666,0.2222222222222222,15
1311.T,1,1.0,2.0,0.6,0.02,0.05,0.26666666666666666,0.2222222222222222,15
1311.T,1,1.0,2.0,0.6,0.05,0.02,0.26666666666666666,0.2222222222222222,15
1311.T,1,1.0,2.0,0.6,0.05,0.05,0.26666666666666666,0.2222222222222222,15
1311.T,1,1.0,2.0,0.8,0.02,0.02,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,0.8,0.02,0.05,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,0.8,0.05,0.02,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,0.8,0.05,0.05,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,1.0,0.02,0.02,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,1.0,0.02,0.05,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,1.0,0.05,0.02,0.2857142857142857,0.25,14
1311.T,1,1.0,2.0,1.0,0.05,0.05,0.2857142857142857,0.25,14
1311.T,1,1.2,1.5,0.6,0.02,0.02,0.13333333333333333,0.16,15
1311.T,1,1.2,1.5,0.6,0.02,0.05,0.13333333333333333,0.16,15
1311.T,1,1.2,1.5,0.6,0.05,0.02,0.13333333333333333,0.16,15
1311.T,1,1.2,1.5,0.6,0.05,0.05,0.13333333333333333,0.16,15
1311.T,1,1.2,1.5,0.8,0.02,0.02,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,0.8,0.02,0.05,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,0.8,0.05,0.02,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,0.8,0.05,0.05,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,1.0,0.02,0.02,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,1.0,0.02,0.05,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,1.0,0.05,0.02,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,1.5,1.0,0.05,0.05,0.14285714285714285,0.17777777777777778,14
1311.T,1,1.2,2.0,0.6,0.02,0.02,0.13333333333333333,0.13333333333333333,15
1311.T,1,1.2,2.0,0.6,0.02,0.05,0.13333333333333333,0.13333333333333333,15
1311.T,1,1.2,2.0,0.6,0.05,0.02,0.13333333333333333,0.13333333333333333,15
1311.T,1,1.2,2.0,0.6,0.05,0.05,0.13333333333333333,0.13333333333333333,15
1311.T,1,1.2,2.0,0.8,0.02,0.02,0.14285714285714285,0.15,14
1311.T,1,1.2,2.0,0.8,0.02,0.05,0.14285714285714285,0.15,14
1311.T,1,1.2,2.0,0.8,0.05,0.02,0.14285714285714285,0.15,14
1311.T,1,1.2,2.0,0.8,0.05,0.05,0.14285714285714285,0.15,14
