code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1311.T,1,1.0,1.5,0.8,0.02,0.02,0.2857142857142857,0.2962962962962963,14,0.26631130063965885
1435.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
1699.T,1,1.2,2.0,0.6,0.05,0.05,0.325,0.3,40,0.288580863950716
1835.T,5,1.2,2.0,0.6,0.05,0.05,0.4583333333333333,0.5499999999999999,24,0.5071509857595423
1939.T,3,1.2,1.5,1.0,0.02,0.02,0.2777777777777778,0.3076923076923077,36,0.30732327374118423
1959.T,5,1.2,1.5,1.0,0.02,0.05,0.288135593220339,0.3317073170731707,59,0.32342115950857964
1968.T,3,1.2,1.5,1.0,0.05,0.02,0.17567567567567569,0.17049180327868851,74,0.1702873221713447
2001.T,1,1.2,1.5,0.6,0.02,0.02,0.24390243902439024,0.25806451612903225,41,0.25775500378292865
2039.T,1,1.2,1.5,0.8,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
2134.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,
2243.T,1,1.2,1.5,0.8,0.02,0.02,0.4090909090909091,0.5538461538461538,44,0.5531818927341318
2353.T,1,1.0,1.5,0.6,0.02,0.02,0.7142857142857143,1.6666666666666667,7,1.664445628997868
2378.T,1,1.2,1.5,0.6,0.05,0.02,0.3333333333333333,0.39999999999999997,6,0.3995202558635394
2471.T,1,1.0,1.5,1.0,0.02,0.02,0.4,0.5333333333333333,10,0.4438521677327648
2558.T,3,1.2,1.5,1.0,0.02,0.02,0.37735849056603776,0.48484848484848486,53,0.4842669768042903
2563.T,1,1.2,1.5,0.6,0.02,0.02,0.6363636363636364,1.4000000000000001,11,1.3983208955223883
2586.T,1,1.2,1.5,1.0,0.02,0.02,0.6428571428571429,1.7999999999999998,14,1.4382729211087424
2621.T,1,1.0,1.5,0.8,0.02,0.02,0.9166666666666666,7.333333333333333,12,7.323560767590615
2624.T,1,1.0,1.5,1.0,0.02,0.05,0.12903225806451613,0.09876543209876543,31,0.0986338150517255
264A.T,1,1.0,1.5,0.6,0.02,0.02,0.23076923076923078,0.2,26,0.19973347547974418
2695.T,1,1.2,1.5,0.8,0.05,0.02,0.6,2.4,5,1.1985607675906185
2975.T,1,1.2,1.5,1.0,0.05,0.05,0.2857142857142857,0.32,28,0.3196162046908316
3034.T,5,1.2,2.0,0.6,0.02,0.05,0.42105263157894735,0.46451612903225803,57,0.4358983679255571
3038.T,1,1.2,2.0,0.6,0.05,0.05,0.3163265306122449,0.2818181818181818,98,0.27731593929592346
3101.T,1,1.0,1.5,1.0,0.05,0.02,0.15,0.11764705882352941,20,0.11749027969396714
3103.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,
3294.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,8,0.0
3487.T,1,1.2,1.5,0.6,0.05,0.05,0.6666666666666666,1.5999999999999999,9,1.5980810234541576
3526.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,6,
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3541.T,1,1.2,2.0,0.6,0.05,0.02,0.6,0.8999999999999999,10,0.8990403838464615
3673.T,1,1.2,1.5,0.6,0.02,0.02,0.35,0.4666666666666667,20,0.43025258323765786
3835.T,1,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,
3939.T,1,1.2,1.5,0.8,0.05,0.02,0.6666666666666666,1.5999999999999999,6,1.5980810234541576
3962.T,5,1.2,2.0,1.0,0.02,0.05,0.2676056338028169,0.2235294117647059,71,0.21899701657798418
4072.T,5,1.2,2.0,0.8,0.05,0.05,0.49019607843137253,0.5769230769230769,51,0.5763079383631163
4125.T,2,1.2,2.0,0.8,0.05,0.02,0.23076923076923078,0.18,13,0.1798080767692923
4274.T,1,1.0,1.5,0.6,0.02,0.02,0.7142857142857143,1.6666666666666667,7,1.664445628997868
4293.T,1,1.0,1.5,0.6,0.02,0.02,0.8,2.6666666666666665,5,2.6631130063965895
4433.T,2,1.2,1.5,0.6,0.02,0.05,0.09090909090909091,0.08421052631578947,44,0.0799040511727079
4506.T,1,1.2,1.5,1.0,0.02,0.05,0.2,0.19999999999999998,80,0.19976012793176975
4563.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,5,
4574.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
4575.T,5,1.2,2.0,0.8,0.02,0.02,0.27450980392156865,0.23013698630136986,102,0.2267849616909993
4576.T,3,1.2,1.5,1.0,0.02,0.05,0.5238095238095238,0.88,21,0.878944562899787
4596.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
4631.T,3,1.2,1.5,0.8,0.02,0.02,0.16494845360824742,0.16,97,0.1578351628102872
4714.T,1,1.2,1.5,0.8,0.02,0.02,0.8333333333333334,4.0,6,3.995202558635396
4767.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
4768.T,1,1.2,1.5,0.6,0.02,0.02,0.2,0.20298507462686566,85,0.19976012793176975
4893.T,5,1.2,1.5,0.6,0.02,0.02,0.20588235294117646,0.20740740740740743,34,0.20715865118850194
4917.T,1,1.0,2.0,0.6,0.02,0.05,0.15517241379310345,0.09375,58,0.09172657467625193
5017.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,6,
5074.T,2,1.2,1.5,0.8,0.02,0.05,0.225,0.23606557377049178,80,0.23197950340463583
5482.T,1,1.2,1.5,0.6,0.02,0.05,0.16455696202531644,0.16,79,0.15738676746139435
5535.T,1,1.2,1.5,1.0,0.05,0.02,0.2777777777777778,0.3333333333333333,36,0.30732327374118423
5586.T,1,1.2,1.5,1.0,0.02,0.02,0.5,1.0,10,0.799040511727079
5602.T,5,1.2,2.0,0.6,0.02,0.02,0.3700787401574803,0.3569620253164557,127,0.3521241503398641
5707.T,3,1.2,1.5,1.0,0.05,0.05,0.3404255319148936,0.4129032258064516,47,0.41240800605268596
5842.T,1,1.0,1.5,0.6,0.05,0.05,0.19047619047619047,0.1568627450980392,21,0.15665370625862285
5851.T,1,1.2,1.5,0.8,0.02,0.05,0.25,0.26666666666666666,56,0.26634683724235964
5930.T,1,1.2,1.5,0.6,0.02,0.05,0.22727272727272727,0.24242424242424243,44,0.23501191521384673
5943.T,3,1.2,1.5,0.8,0.05,0.02,0.4594594594594595,0.6799999999999999,37,0.6791844349680172
5998.T,2,1.2,1.5,1.0,0.05,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587
6062.T,2,1.2,1.5,0.8,0.02,0.05,0.19696969696969696,0.19999999999999998,66,0.1959910689141892
6080.T,1,1.2,1.5,0.6,0.05,0.05,0.36363636363636365,0.45714285714285713,11,0.4565945781297594
6250.T,1,1.2,1.5,0.8,0.05,0.05,0.25,0.26666666666666666,36,0.26634683724235964
6309.T,2,1.2,2.0,1.0,0.05,0.02,0.4,0.39999999999999997,55,0.39957350393176067
6356.T,2,1.2,2.0,0.6,0.05,0.02,0.24528301886792453,0.19999999999999998,53,0.1947920831667333
6459.T,2,1.2,2.0,0.6,0.05,0.05,0.13953488372093023,0.10285714285714284,43,0.09719355501042827
6471.T,5,1.2,1.5,0.8,0.05,0.05,0.25,0.26666666666666666,104,0.26634683724235964
6653.T,2,1.2,1.5,0.6,0.05,0.05,0.21348314606741572,0.21714285714285714,89,0.2168824246116357
6659.T,2,1.2,1.5,0.6,0.02,0.02,0.3888888888888889,0.5090909090909091,36,0.5084803256445047
6740.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
6941.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.8,10,0.799040511727079
6963.T,3,1.2,2.0,1.0,0.05,0.05,0.5098039215686274,0.624,102,0.6233346661335466
6993.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
7327.T,1,1.2,1.5,0.6,0.05,0.02,0.18333333333333332,0.18723404255319148,60,0.17937644140811976
7366.T,5,1.2,1.5,0.8,0.05,0.05,0.25,0.2736842105263158,52,0.26634683724235964
7378.T,1,1.2,1.5,1.0,0.05,0.05,0.32075471698113206,0.38857142857142857,53,0.37732468609334274
7412.T,1,1.0,1.5,1.0,0.02,0.02,0.6666666666666666,2.0,18,1.3315565031982939
7527.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,6,
7971.T,1,1.0,2.0,0.6,0.02,0.02,0.4444444444444444,0.4,9,0.3995201919232307
8070.T,1,1.2,1.5,1.0,0.02,0.02,0.3333333333333333,0.39999999999999997,12,0.3995202558635394
8095.T,3,1.2,2.0,1.0,0.05,0.05,0.28,0.2545454545454546,50,0.23308454396019374
8141.T,1,1.2,1.5,1.0,0.02,0.02,0.5714285714285714,1.0666666666666667,7,1.0653873489694385
8202.T,3,1.2,1.5,0.8,0.05,0.05,0.7142857142857143,2.0,7,1.9976012793176976
8346.T,1,1.2,1.5,0.6,0.02,0.02,0.6,1.2,5,1.1985607675906185
8614.T,2,1.2,1.5,1.0,0.02,0.05,0.3695652173913043,0.5037037037037037,46,0.46840305859863246
8713.T,5,1.2,2.0,0.6,0.05,0.02,0.12903225806451613,0.08888888888888889,31,0.0887941119848357
8897.T,1,1.0,1.5,0.6,0.02,0.05,0.5,0.6666666666666666,4,0.6657782515991472
8918.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
9048.T,1,1.2,1.5,1.0,0.05,0.05,0.35555555555555557,0.47407407407407404,45,0.4408499375045954
9268.T,1,1.0,1.5,0.6,0.02,0.02,0.6,2.0,5,0.9986673773987207
9413.T,3,1.2,2.0,1.0,0.05,0.05,0.3225806451612903,0.2857142857142857,31,0.2854096456655433
9424.T,3,1.2,2.0,0.6,0.05,0.05,0.46875,0.5806451612903226,64,0.5288472846155656
9504.T,3,1.2,2.0,0.6,0.05,0.05,0.3333333333333333,0.3,114,0.29968012794882043
9564.T,5,1.2,2.0,1.0,0.05,0.05,0.23076923076923078,0.19285714285714284,39,0.1798080767692923
9880.T,3,1.2,1.5,1.0,0.05,0.02,0.3333333333333333,0.40816326530612246,75,0.3995202558635394
