winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.3157894736842105,0.3076923076923077,19,1311.T,1,1.0,1.5,0.8,0.02,0.02,0.3072822699688371
0.7142857142857143,1.3333333333333333,7,1435.T,1,0.8,1.5,0.6,0.02,0.02,1.3312899786780386
0.15151515151515152,0.10909090909090909,66,1699.T,1,1.2,2.0,0.6,0.05,0.05,0.10702861712457876
0.4444444444444444,0.4799999999999999,27,1835.T,5,1.2,2.0,0.6,0.05,0.05,0.4794882047181127
0.22916666666666666,0.23783783783783782,48,1939.T,3,1.2,1.5,1.0,0.02,0.02,0.2375525845675099
0.20430107526881722,0.20540540540540542,93,1959.T,5,1.2,1.5,1.0,0.02,0.05,0.2051590503083041
0.24242424242424243,0.26122448979591834,66,1968.T,3,1.2,1.5,1.0,0.05,0.02,0.25569296375266526
0.2542372881355932,0.2727272727272727,59,2001.T,1,1.2,1.5,0.6,0.02,0.02,0.27240017445241327
0.1111111111111111,0.11428571428571428,9,2039.T,1,1.2,1.5,0.8,0.02,0.02,0.09988006396588486
0.45454545454545453,0.5333333333333333,11,2134.T,1,0.8,1.5,0.6,0.02,0.02,0.44376332622601283
0.11688311688311688,0.10746268656716416,77,2243.T,1,1.2,1.5,0.8,0.02,0.02,0.10575536184623105
0.875,4.666666666666667,8,2353.T,1,1.0,1.5,0.6,0.02,0.02,4.66044776119403
0.45454545454545453,0.6666666666666666,22,2378.T,1,1.2,1.5,0.6,0.05,0.02,0.6658670931058992
0.4,0.4444444444444444,20,2471.T,1,1.0,1.5,1.0,0.02,0.02,0.4438521677327648
0.20930232558139536,0.21492537313432833,86,2558.T,3,1.2,1.5,1.0,0.02,0.02,0.2115107236924621
0.1875,0.1846153846153846,32,2563.T,1,1.2,1.5,0.6,0.02,0.02,0.18439396424471052
0.5454545454545454,1.5999999999999999,11,2586.T,1,1.2,1.5,1.0,0.02,0.02,0.9588486140724946
0.23809523809523808,0.20833333333333334,21,2621.T,1,1.0,1.5,0.8,0.02,0.02,0.20805570362473347
0.16363636363636364,0.13636363636363635,55,2624.T,1,1.0,1.5,1.0,0.02,0.05,0.13026096226939834
