code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
135A.T,2,1.2,2.0,0.8,0.02,0.02,0.25862068965517243,0.21951219512195122,58,0.20907915903406082
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.46153846153846156,0.6857142857142856,13,0.6848918671946391
1382.T,2,1.2,1.5,0.6,0.02,0.02,0.4,0.7999999999999999,5,0.5326936744847194
1401.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1491.T,5,1.2,1.5,0.6,0.02,0.05,0.28,0.3111111111111111,25,0.31073797678275294
1543.T,5,1.2,1.5,0.6,0.05,0.02,0.30392156862745096,0.36470588235294116,102,0.34887684314844297
1675.T,1,1.2,1.5,0.6,0.02,0.02,0.2894736842105263,0.38260869565217387,38,0.3255350232962174
168A.T,1,1.0,1.5,0.6,0.05,0.05,0.5714285714285714,1.3333333333333333,7,0.8877043354655295
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705
1926.T,1,1.0,1.5,0.6,0.02,0.02,0.23076923076923078,0.2,13,0.19973347547974418
2138.T,2,0.8,1.5,1.0,0.02,0.05,1.0,999.0,4,
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975
219A.T,3,1.2,1.5,0.6,0.05,0.05,0.297029702970297,0.3380281690140845,101,0.337622751433977
228A.T,1,1.2,2.0,0.6,0.05,0.02,0.38095238095238093,0.39999999999999997,42,0.3688370805523944
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,
2370.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
276A.T,1,1.0,1.5,0.8,0.05,0.05,0.35714285714285715,0.37037037037037035,28,0.3698768064439707
278A.T,2,1.2,1.5,0.6,0.02,0.02,0.1694915254237288,0.16842105263157894,118,0.1630694921891998
290A.T,1,1.2,1.5,0.6,0.05,0.05,0.3108108108108108,0.3607843137254902,74,0.36035160332789834
2998.T,1,1.2,1.5,0.6,0.05,0.02,0.208955223880597,0.2153846153846154,67,0.2110673049845114
319A.T,1,1.2,1.5,0.6,0.02,0.05,0.28,0.3393939393939394,50,0.31073797678275294
3267.T,1,1.2,2.0,0.8,0.02,0.02,0.4074074074074074,0.44,27,0.4120601759296282
335A.T,2,1.2,1.5,0.6,0.02,0.05,0.21951219512195122,0.23225806451612901,41,0.22473014392324098
338A.T,2,1.2,1.5,1.0,0.05,0.05,0.3153153153153153,0.37333333333333335,111,0.3679791830322074
3446.T,3,1.2,2.0,0.6,0.05,0.02,0.21311475409836064,0.16595744680851063,122,0.16232673597227779
352A.T,1,1.2,2.0,1.0,0.02,0.02,0.21739130434782608,0.1875,23,0.16648895997156693
3664.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,3,
3692.T,1,1.2,2.0,0.6,0.05,0.05,0.24489795918367346,0.19999999999999998,98,0.19438711002085657
3779.T,2,1.2,2.0,1.0,0.02,0.05,0.4117647058823529,0.4421052631578948,34,0.4195521791283487
3843.T,2,1.2,2.0,1.0,0.02,0.02,0.41379310344827586,0.44999999999999996,29,0.4230778276924524
3856.T,3,1.2,1.5,0.6,0.05,0.05,0.29508196721311475,0.3428571428571428,61,0.33448207467645164
3935.T,1,1.2,1.5,0.8,0.02,0.02,0.40350877192982454,0.5575757575757575,57,0.5405274049918474
3987.T,2,1.2,1.5,0.6,0.02,0.05,0.25,0.26666666666666666,4,0.26634683724235964
4088.T,1,1.2,1.5,0.6,0.02,0.05,0.2222222222222222,0.22857142857142856,36,0.2282972890648797
4125.T,2,1.2,2.0,0.8,0.05,0.02,0.23076923076923078,0.18,13,0.1798080767692923
414A.T,1,1.2,1.5,0.6,0.05,0.05,0.2545454545454545,0.2731707317073171,55,0.27284310156534397
4168.T,1,1.2,1.5,0.6,0.05,0.02,0.2222222222222222,0.22857142857142854,27,0.2282972890648797
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,98,0.3196162046908316
4418.T,5,1.2,2.0,0.8,0.02,0.05,0.6,0.8999999999999999,20,0.8990403838464615
4420.T,1,1.2,2.0,0.6,0.02,0.05,0.5555555555555556,0.75,9,0.7492003198720513
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.30117647058823527,119,0.2938999583363968
4493.T,1,1.2,1.5,0.8,0.05,0.02,0.21794871794871795,0.22666666666666666,78,0.22268342130098923
4571.T,3,1.2,1.5,0.8,0.05,0.05,0.37142857142857144,0.4952380952380952,35,0.47216030238418305
4586.T,1,1.2,1.5,0.6,0.02,0.02,0.625,1.3333333333333333,24,1.3317341862117984
4596.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
4667.T,3,1.2,1.5,0.6,0.05,0.05,0.5333333333333333,0.9142857142857143,15,0.9131891562595188
5027.T,1,1.0,1.5,0.8,0.05,0.05,0.3157894736842105,0.3076923076923077,19,0.3072822699688371
5038.T,3,1.2,2.0,0.8,0.02,0.02,0.64,1.0666666666666667,25,1.0655293438180284
5131.T,1,1.2,1.5,1.0,0.05,0.02,0.375,0.4799999999999999,16,0.47942430703624733
5243.T,2,1.2,2.0,1.0,0.05,0.02,0.3,0.2634146341463414,120,0.256868681098989
5256.T,5,1.2,1.5,1.0,0.02,0.05,0.38095238095238093,0.5333333333333333,21,0.49171723798589473
5595.T,2,1.2,2.0,0.6,0.05,0.02,0.35772357723577236,0.3384615384615384,123,0.3338209020189392
5644.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
5724.T,3,1.2,2.0,1.0,0.02,0.05,0.35294117647058826,0.36,68,0.3269237759441679
5729.T,1,1.2,2.0,0.6,0.02,0.02,0.3333333333333333,0.3,48,0.29968012794882043
5982.T,1,1.0,1.5,0.6,0.02,0.02,0.6666666666666666,1.3333333333333333,3,1.3315565031982939
5998.T,2,1.2,1.5,1.0,0.05,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587
6022.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,
6190.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
6232.T,3,1.2,2.0,0.6,0.05,0.02,0.36065573770491804,0.34285714285714286,122,0.3381006571730282
6254.T,5,1.2,1.5,1.0,0.05,0.05,0.21176470588235294,0.21492537313432833,85,0.21466760016548392
6269.T,5,1.2,2.0,0.8,0.02,0.02,0.2871287128712871,0.25588235294117645,101,0.24140899195877205
6326.T,5,1.2,1.5,1.0,0.02,0.05,0.37623762376237624,0.4903225806451613,101,0.4819609435814127
6330.T,5,1.2,2.0,1.0,0.02,0.05,0.3853211009174312,0.38181818181818183,109,0.37571836936867054
6378.T,2,1.2,2.0,0.8,0.02,0.02,0.3017241379310345,0.25925925925925924,116,0.25898282662243743
6407.T,1,1.2,1.5,1.0,0.05,0.05,0.3103448275862069,0.3789473684210526,29,0.35956823027718554
6492.T,1,1.2,1.5,0.6,0.02,0.05,0.2,0.19999999999999998,10,0.19976012793176975
6506.T,5,1.2,2.0,0.8,0.02,0.02,0.3884297520661157,0.39166666666666666,121,0.3806747571241774
6508.T,1,1.2,2.0,0.6,0.05,0.05,0.25,0.21000000000000002,28,0.19978675196588033
6516.T,1,1.2,1.5,0.8,0.05,0.05,0.2727272727272727,0.31999999999999995,22,0.29964019189765456
6521.T,1,1.2,1.5,0.6,0.05,0.05,0.25,0.27499999999999997,44,0.26634683724235964
6573.T,1,1.2,1.5,1.0,0.02,0.02,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
6590.T,3,1.2,2.0,0.6,0.05,0.02,0.31746031746031744,0.2823529411764706,126,0.2787722120454144
6613.T,1,1.2,1.5,1.0,0.02,0.02,0.35294117647058826,0.4799999999999999,17,0.43584027912386136
6736.T,1,1.2,2.0,0.6,0.02,0.05,0.13846153846153847,0.09818181818181818,65,0.09632575541212086
6740.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
6786.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
6814.T,2,1.2,1.5,0.6,0.02,0.05,0.17037037037037037,0.16727272727272727,135,0.16408867651538228
6993.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
7345.T,3,0.8,1.5,0.8,0.02,0.02,1.0,999.0,1,
7375.T,2,0.8,1.5,0.6,0.02,0.02,0.3,0.2666666666666667,10,0.22822113920194945
7525.T,3,0.8,2.0,1.0,0.02,0.02,1.0,999.0,1,
7599.T,5,1.2,2.0,0.6,0.05,0.02,0.4888888888888889,0.5866666666666667,90,0.573301114336874
7692.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,1,
7711.T,1,1.2,1.5,0.6,0.05,0.05,0.3387096774193548,0.42,62,0.409264652348016
7793.T,5,1.2,1.5,0.8,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
7837.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
7859.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,2,
7985.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
8065.T,1,1.2,2.0,0.8,0.02,0.02,0.35294117647058826,0.3272727272727272,17,0.3269237759441679
8237.T,2,1.2,2.0,0.6,0.02,0.05,0.4819277108433735,0.5581395348837209,83,0.5575444240908288
