winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.23809523809523808,0.1875,42,135A.T,2,1.2,2.0,0.8,0.02,0.02,0.1873000799680128
0.25,0.26666666666666666,20,1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26634683724235964
0.125,0.1263157894736842,24,1382.T,2,1.2,1.5,0.6,0.02,0.02,0.11414864453243985
0.2826086956521739,0.325,46,1401.T,3,1.2,1.5,0.6,0.02,0.05,0.31477353492278864
0.0,0.0,0,1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.4166666666666667,0.5714285714285714,84,1491.T,5,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
0.2717391304347826,0.30303030303030304,92,1543.T,5,1.2,1.5,0.6,0.05,0.02,0.2981494446742832
0.3684210526315789,0.4666666666666667,19,1675.T,1,1.2,1.5,0.6,0.02,0.02,0.4661069651741294
0.3333333333333333,0.345679012345679,42,168A.T,1,1.0,1.5,0.6,0.05,0.05,0.33288912579957347
0.29365079365079366,0.25227272727272726,126,186A.T,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
0.2727272727272727,0.3333333333333333,11,1926.T,1,1.0,1.5,0.6,0.02,0.02,0.24966684434968014
0.2777777777777778,0.20512820512820512,18,2138.T,2,0.8,1.5,1.0,0.02,0.05,0.20481384287354437
0.11009174311926606,0.09896907216494845,109,215A.T,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
0.2920353982300885,0.33,113,219A.T,3,1.2,1.5,0.6,0.05,0.05,0.3296042110874201
0.32432432432432434,0.3272727272727272,37,228A.T,1,1.2,2.0,0.6,0.05,0.02,0.28769292283086767
0.7777777777777778,1.866666666666667,9,2315.T,1,0.8,1.5,0.6,0.02,0.02,1.863805970149254
0.5,0.5333333333333334,12,2370.T,1,0.8,1.5,0.6,0.02,0.02,0.5325159914712154
0.21739130434782608,0.19230769230769232,69,276A.T,1,1.0,1.5,0.8,0.05,0.05,0.18493840322198532
0.2636363636363636,0.2864197530864197,110,278A.T,2,1.2,1.5,0.6,0.02,0.02,0.2860762325936455
0.10975609756097561,0.09999999999999999,82,290A.T,1,1.2,1.5,0.6,0.05,0.05,0.09851184391155769
0.20481927710843373,0.2193548387096774,83,2998.T,1,1.2,1.5,0.6,0.05,0.02,0.20581346514182336
0.21311475409836064,0.22127659574468084,61,319A.T,1,1.2,1.5,0.6,0.02,0.05,0.21640680525941725
0.2765957446808511,0.22941176470588234,47,3267.T,1,1.2,2.0,0.8,0.02,0.02,0.22916715666674511
0.14705882352941177,0.13793103448275862,34,335A.T,2,1.2,1.5,0.6,0.02,0.05,0.13776560547018604
0.08045977011494253,0.07088607594936709,87,338A.T,2,1.2,1.5,1.0,0.05,0.05,0.06991604477611942
0.35,0.3333333333333333,100,3446.T,3,1.2,2.0,0.6,0.05,0.02,0.3227324454833451
0.20454545454545456,0.1636363636363636,44,352A.T,1,1.2,2.0,1.0,0.02,0.02,0.1541212086593934
0.5,0.5333333333333333,2,3664.T,1,0.8,1.5,1.0,0.02,0.02,0.5325159914712154
0.25,0.19999999999999998,96,3692.T,1,1.2,2.0,0.6,0.05,0.05,0.19978675196588033
0.5666666666666667,0.7846153846153846,30,3779.T,2,1.2,2.0,1.0,0.02,0.05,0.7837787961738382
0.23255813953488372,0.2,43,3843.T,2,1.2,2.0,1.0,0.02,0.02,0.1816243199689821
0.13513513513513514,0.125,37,3856.T,3,1.2,1.5,0.6,0.05,0.05,0.12485007995735609
0.2222222222222222,0.23132530120481926,108,3935.T,1,1.2,1.5,0.8,0.02,0.02,0.2282972890648797
0.15,0.14545454545454545,40,3987.T,2,1.2,1.5,0.6,0.02,0.05,0.14100714912830806
0.205607476635514,0.21204819277108433,107,4088.T,1,1.2,1.5,0.6,0.02,0.05,0.20681048538818517
0.2,0.15,30,4125.T,2,1.2,2.0,0.8,0.05,0.02,0.14984006397441024
0.17567567567567569,0.17333333333333334,74,414A.T,1,1.2,1.5,0.6,0.05,0.05,0.1702873221713447
0.24528301886792453,0.2736842105263158,53,4168.T,1,1.2,1.5,0.6,0.05,0.02,0.25968816631130065
0.3220338983050847,0.38,118,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.37954424307036255
0.3411764705882353,0.31071428571428567,85,4418.T,5,1.2,2.0,0.8,0.02,0.05,0.31038298966127836
