code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
130A.T,1,1.0,1.5,1.0,0.02,0.02,0.25,0.26666666666666666,8,0.22192608386638238
1356.T,5,1.2,2.0,0.8,0.02,0.05,0.3368421052631579,0.30476190476190473,95,0.30443695537657955
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.24857142857142855,100,0.2448091186060787
1360.T,3,1.2,2.0,1.0,0.05,0.05,0.35051546391752575,0.32380952380952377,97,0.3234642650876157
1366.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,4,
1368.T,1,1.0,1.5,0.8,0.02,0.02,0.75,2.0,8,1.9973347547974414
1407.T,5,1.2,2.0,0.6,0.05,0.05,0.2916666666666667,0.25074626865671645,96,0.246795399487264
1459.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,12,0.799040511727079
1466.T,1,1.2,1.5,0.6,0.02,0.02,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
1469.T,3,1.2,1.5,0.6,0.05,0.02,0.3333333333333333,0.7999999999999999,3,0.3995202558635394
1472.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
1689.T,2,1.2,2.0,1.0,0.02,0.02,0.2549019607843137,0.22941176470588234,51,0.20504429807024557
1960.T,1,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
2034.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
2038.T,1,1.2,1.5,1.0,0.05,0.02,0.32432432432432434,0.39999999999999997,37,0.38353944562899794
205A.T,5,1.0,1.5,0.6,0.02,0.05,0.6666666666666666,1.3333333333333333,3,1.3315565031982939
2086.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0
212A.T,1,1.2,1.5,0.6,0.05,0.05,0.3548387096774194,0.4631578947368421,31,0.4394722814498935
2179.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
2334.T,3,1.2,1.5,0.8,0.05,0.02,0.3333333333333333,0.4121212121212121,51,0.3995202558635394
2337.T,3,1.2,2.0,0.8,0.02,0.05,0.6136363636363636,0.9529411764705882,44,0.951925112308018
2379.T,1,1.2,1.5,0.8,0.02,0.02,0.24324324324324326,0.2571428571428571,37,0.25683445019798967
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.36923076923076925,0.36,65,0.3508450278425216
2646.T,1,1.2,1.5,0.8,0.02,0.05,0.058823529411764705,0.049999999999999996,17,0.04994003198294243
2743.T,1,1.2,1.5,0.6,0.05,0.02,0.5,0.7999999999999999,4,0.799040511727079
2791.T,1,1.2,1.5,0.8,0.02,0.02,0.42857142857142855,0.7999999999999999,7,0.5992803837953092
280A.T,5,1.2,1.5,1.0,0.02,0.05,0.24,0.2526315789473684,25,0.25232858265065655
2870.T,3,1.2,2.0,1.0,0.02,0.05,0.6666666666666666,1.2,33,1.1987205117952817
2872.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0
2901.T,3,1.2,1.5,0.8,0.05,0.02,0.36363636363636365,0.45714285714285713,22,0.4565945781297594
2936.T,1,1.2,1.5,0.8,0.02,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587
2962.T,5,1.2,1.5,0.8,0.05,0.05,0.28846153846153844,0.32432432432432434,52,0.32393534259205903
3045.T,3,0.8,2.0,0.6,0.02,0.02,1.0,999.0,1,
3086.T,3,1.2,1.5,0.8,0.02,0.02,0.28440366972477066,0.31794871794871793,109,0.3175673828658904
3087.T,3,1.2,1.5,0.8,0.05,0.02,0.3333333333333333,0.4,57,0.3995202558635394
3139.T,5,1.2,1.5,1.0,0.02,0.02,0.65,1.7333333333333334,20,1.4839323789217183
3189.T,1,1.2,1.5,1.0,0.05,0.05,0.3125,0.42105263157894735,32,0.3632002326032177
3198.T,2,1.2,2.0,1.0,0.02,0.05,0.375,0.5399999999999999,24,0.35961615353858456
3281.T,1,1.2,1.5,0.8,0.05,0.02,0.7272727272727273,2.1333333333333333,11,2.1307746979388775
3349.T,5,1.2,1.5,1.0,0.02,0.02,0.20175438596491227,0.20444444444444443,114,0.20195529417277816
3350.T,1,1.2,1.5,1.0,0.05,0.02,0.4827586206896552,0.7466666666666667,58,0.7457711442786071
3370.T,5,1.2,2.0,1.0,0.02,0.05,0.5681818181818182,0.7894736842105263,44,0.7886319156547908
340A.T,1,1.2,2.0,0.8,0.02,0.02,0.75,1.7999999999999998,4,1.798080767692923
3477.T,2,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3541.T,1,1.2,2.0,0.6,0.05,0.02,0.6,0.8999999999999999,10,0.8990403838464615
3608.T,3,1.2,1.5,1.0,0.02,0.05,0.2647058823529412,0.288,68,0.28765458422174844
