winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.09523809523809523,0.07017543859649122,21,130A.T,1,1.0,1.5,1.0,0.02,0.02,0.07008192122096285
0.25,0.2,112,1356.T,5,1.2,2.0,0.8,0.02,0.05,0.19978675196588033
0.22330097087378642,0.1792207792207792,103,1357.T,2,1.2,2.0,1.0,0.05,0.05,0.1723160735705718
0.24489795918367346,0.19459459459459458,98,1360.T,3,1.2,2.0,1.0,0.05,0.05,0.19438711002085657
0.375,0.3555555555555556,16,1366.T,1,0.8,1.5,1.0,0.02,0.02,0.31950959488272923
0.15384615384615385,0.12121212121212122,13,1368.T,1,1.0,1.5,0.8,0.02,0.02,0.12105059119984496
0.3548387096774194,0.3341772151898734,124,1407.T,5,1.2,2.0,0.6,0.05,0.05,0.3296481407437026
0.14285714285714285,0.15384615384615385,35,1459.T,1,1.2,1.5,1.0,0.02,0.02,0.13317341862117982
0.3333333333333333,0.39999999999999997,6,1466.T,1,1.2,1.5,0.6,0.02,0.02,0.3995202558635394
0.3333333333333333,0.39999999999999997,18,1469.T,3,1.2,1.5,0.6,0.05,0.02,0.3995202558635394
1.0,999.0,1,1472.T,1,0.8,1.5,0.6,0.02,0.02,
0.15151515151515152,0.11842105263157894,99,1689.T,2,1.2,2.0,1.0,0.02,0.02,0.10702861712457876
0.0,0.0,3,1960.T,1,1.2,1.5,0.6,0.02,0.02,0.0
0.6,0.8000000000000002,5,2034.T,1,0.8,1.5,0.6,0.02,0.02,0.7987739872068231
0.1076923076923077,0.09655172413793103,65,2038.T,1,1.2,1.5,1.0,0.05,0.02,0.09643592382913023
0.3333333333333333,0.3333333333333333,18,205A.T,5,1.0,1.5,0.6,0.02,0.05,0.33288912579957347
0.0,0.0,3,2086.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.4264705882352941,0.627027027027027,68,212A.T,1,1.2,1.5,0.6,0.05,0.05,0.5941583292329562
0.0,0.0,0,2179.T,3,0.8,1.5,0.6,0.02,0.02,0.0
0.1511627906976744,0.15294117647058822,86,2334.T,3,1.2,1.5,0.8,0.05,0.02,0.14229488565002776
0.581081081081081,0.832258064516129,74,2337.T,3,1.2,2.0,0.8,0.02,0.05,0.8313706775354374
0.21518987341772153,0.2193548387096774,79,2379.T,1,1.2,1.5,0.8,0.02,0.02,0.2190917532154894
0.3424657534246575,0.3191489361702128,73,2502.T,1,1.2,2.0,0.6,0.05,0.05,0.312166799946688
0.13043478260869565,0.1263157894736842,23,2646.T,1,1.2,1.5,0.8,0.02,0.05,0.11985607675906183
0.5333333333333333,0.9142857142857143,15,2743.T,1,1.2,1.5,0.6,0.05,0.02,0.9131891562595188
0.25806451612903225,0.3368421052631579,31,2791.T,1,1.2,1.5,0.8,0.02,0.02,0.27792713451376655
0.4375,0.7000000000000001,16,280A.T,5,1.2,1.5,1.0,0.02,0.05,0.6214759535655059
0.323943661971831,0.2936170212765957,71,2870.T,3,1.2,2.0,1.0,0.02,0.05,0.287193455950953
0.125,0.13333333333333333,8,2872.T,1,0.8,1.5,0.6,0.02,0.02,0.07607371306731649
0.21951219512195122,0.23225806451612901,41,2901.T,3,1.2,1.5,0.8,0.05,0.02,0.22473014392324098
0.2962962962962963,0.3764705882352941,27,2936.T,1,1.2,1.5,0.8,0.02,0.02,0.3364381102008754
0.32967032967032966,0.39344262295081966,91,2962.T,5,1.2,1.5,0.8,0.05,0.05,0.3929707434723339
0.5,0.4000000000000001,6,3045.T,3,0.8,2.0,0.6,0.02,0.02,0.3994402239104359
0.20618556701030927,0.2077922077922078,97,3086.T,3,1.2,1.5,0.8,0.02,0.02,0.20754299005898152
0.3181818181818182,0.37966101694915255,88,3087.T,3,1.2,1.5,0.8,0.05,0.02,0.37288557213930346
