code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.24857142857142855,100,0.2448091186060787,0.22330097087378642,0.1792207792207792,103,2,1.2,2.0,1.0,0.05,0.05,0.1723160735705718
1540.T,3,1.2,2.0,1.0,0.05,0.05,0.3655913978494624,0.35789473684210527,93,0.34539404577152194,0.1346153846153846,0.09545454545454546,104,3,1.2,2.0,1.0,0.05,0.05,0.09323381758407749
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.5942028985507246,0.9461538461538461,69,0.8776346604215456,0.4782608695652174,0.5739130434782609,92,5,1.2,2.0,1.0,0.05,0.05,0.549413567906171
1570.T,2,1.2,2.0,0.8,0.05,0.05,0.3300970873786408,0.3,103,0.2953369376886927,0.28688524590163933,0.24705882352941178,122,2,1.2,2.0,0.8,0.05,0.05,0.24112194202778658
1605.T,3,1.2,1.5,0.6,0.02,0.02,0.11764705882352941,0.10756302521008403,136,0.10653873489694386,0.19548872180451127,0.1962264150943396,133,3,1.2,1.5,0.6,0.02,0.02,0.19415937668134628
1802.T,3,1.2,2.0,0.8,0.05,0.02,0.36153846153846153,0.3397590361445783,130,0.3393967714119172,0.5,0.6,100,3,1.2,2.0,0.8,0.05,0.02,0.599360255897641
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705,0.29365079365079366,0.25227272727272726,126,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
1942.T,5,1.2,2.0,1.0,0.05,0.02,0.336734693877551,0.3046153846153846,98,0.30429059145572546,0.26785714285714285,0.21951219512195122,112,5,1.2,2.0,1.0,0.05,0.02,0.21927814240157595
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975,0.11009174311926606,0.09896907216494845,109,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
219A.T,3,1.2,1.5,0.6,0.05,0.05,0.297029702970297,0.3380281690140845,101,0.337622751433977,0.2920353982300885,0.33,113,3,1.2,1.5,0.6,0.05,0.05,0.3296042110874201
247A.T,5,1.2,2.0,0.6,0.05,0.02,0.4358974358974359,0.4707692307692307,117,0.46314201592090437,0.41509433962264153,0.4258064516129032,106,5,1.2,2.0,0.6,0.05,0.02,0.42535243966929365
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.36923076923076925,0.36,65,0.3508450278425216,0.3424657534246575,0.3191489361702128,73,1,1.2,2.0,0.6,0.05,0.05,0.312166799946688
