winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.22330097087378642,0.1792207792207792,103,1357.T,2,1.2,2.0,1.0,0.05,0.05,0.1723160735705718
0.1346153846153846,0.09545454545454546,104,1540.T,3,1.2,2.0,1.0,0.05,0.05,0.09323381758407749
0.4782608695652174,0.5739130434782609,92,1542.T,5,1.2,2.0,1.0,0.05,0.05,0.549413567906171
0.28688524590163933,0.24705882352941178,122,1570.T,2,1.2,2.0,0.8,0.05,0.05,0.24112194202778658
0.19548872180451127,0.1962264150943396,133,1605.T,3,1.2,1.5,0.6,0.02,0.02,0.19415937668134628
0.5,0.6,100,1802.T,3,1.2,2.0,0.8,0.05,0.02,0.599360255897641
0.29365079365079366,0.25227272727272726,126,186A.T,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
0.26785714285714285,0.21951219512195122,112,1942.T,5,1.2,2.0,1.0,0.05,0.02,0.21927814240157595
0.11009174311926606,0.09896907216494845,109,215A.T,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
0.2920353982300885,0.33,113,219A.T,3,1.2,1.5,0.6,0.05,0.05,0.3296042110874201
0.41509433962264153,0.4258064516129032,106,247A.T,5,1.2,2.0,0.6,0.05,0.02,0.42535243966929365
0.3424657534246575,0.3191489361702128,73,2502.T,1,1.2,2.0,0.6,0.05,0.05,0.312166799946688
0.3108108108108108,0.27058823529411763,74,285A.T,2,1.2,2.0,1.0,0.05,0.05,0.2702997232479557
0.23333333333333334,0.1826086956521739,120,3064.T,1,1.2,2.0,1.0,0.02,0.05,0.182413990925369
0.20618556701030927,0.2077922077922078,97,3086.T,3,1.2,1.5,0.8,0.02,0.02,0.20754299005898152
0.248,0.26666666666666666,125,3349.T,5,1.2,1.5,1.0,0.02,0.02,0.26351336025041966
0.1527777777777778,0.14915254237288134,72,3350.T,1,1.2,1.5,1.0,0.05,0.02,0.14408927260652243
0.34951456310679613,0.42985074626865666,103,3402.T,5,1.2,1.5,0.6,0.05,0.05,0.4293352003309679
0.2920353982300885,0.25063291139240507,113,3436.T,5,1.2,2.0,1.0,0.02,0.05,0.2472361055577769
0.25,0.19999999999999998,96,3692.T,1,1.2,2.0,0.6,0.05,0.05,0.19978675196588033
0.24347826086956523,0.19534883720930232,115,3697.T,3,1.2,2.0,1.0,0.05,0.05,0.1928975536222293
0.3103448275862069,0.2745762711864407,87,3905.T,5,1.2,2.0,0.8,0.05,0.02,0.26971211515393845
0.39,0.5379310344827586,100,4063.T,3,1.2,1.5,0.6,0.05,0.05,0.5108619665140341
0.205607476635514,0.21204819277108433,107,4088.T,1,1.2,1.5,0.6,0.02,0.05,0.20681048538818517
0.26956521739130435,0.3024390243902439,115,4188.T,1,1.2,1.5,1.0,0.02,0.05,0.29488399837546964
0.3220338983050847,0.38,118,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.37954424307036255
0.28865979381443296,0.3246376811594203,97,4446.T,1,1.2,1.5,1.0,0.05,0.05,0.32424832359939426
0.35185185185185186,0.3402985074626866,108,4503.T,5,1.2,2.0,0.6,0.05,0.05,0.32536699605871944
0.18085106382978725,0.1766233766233766,94,4506.T,1,1.2,1.5,1.0,0.02,0.05,0.17641154155013433
0.2571428571428571,0.20769230769230768,105,4568.T,3,1.2,2.0,1.0,0.05,0.05,0.20747085781072186
0.14285714285714285,0.13714285714285712,84,4571.T,3,1.2,1.5,0.8,0.05,0.05,0.13317341862117982
0.422680412371134,0.4555555555555555,97,4689.T,1,1.2,2.0,0.6,0.05,0.05,0.4388173302107729
0.38461538461538464,0.38571428571428573,117,4755.T,3,1.2,2.0,1.0,0.05,0.05,0.37460015993602563
0.22916666666666666,0.24109589041095889,96,5016.T,3,1.2,1.5,1.0,0.02,0.05,0.2375525845675099
0.3069306930693069,0.2657142857142857,101,5020.T,5,1.2,2.0,0.6,0.05,0.05,0.2654309704689553
0.21951219512195122,0.22736842105263158,123,5108.T,2,1.2,1.5,1.0,0.05,0.02,0.22473014392324098
0.0851063829787234,0.07441860465116279,141,5246.T,3,1.2,1.5,0.6,0.02,0.02,0.07432934992810038
0.5362318840579711,0.9249999999999999,69,5401.T,5,1.2,1.5,0.6,0.05,0.05,0.9238905916844352
0.23577235772357724,0.18709677419354837,123,5595.T,2,1.2,2.0,0.6,0.05,0.02,0.18490901511735736
0.3140495867768595,0.3662650602409639,121,5713.T,2,1.2,1.5,0.8,0.02,0.05,0.3658257764533615
0.3,0.26666666666666666,80,5724.T,3,1.2,2.0,1.0,0.02,0.05,0.256868681098989
0.20491803278688525,0.15625,122,5801.T,2,1.2,2.0,0.6,0.02,0.02,0.15447429275712396
0.06862745098039216,0.059574468085106386,102,5802.T,5,1.2,1.5,1.0,0.02,0.05,0.05887666928515319
0.2932330827067669,0.26,133,5803.T,2,1.2,2.0,0.6,0.02,0.02,0.24867074446817017
