code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
1376.T,1,0.8,1.5,0.6,0.02,0.02,0.42857142857142855,0.4000000000000001,14
1376.T,1,0.8,1.5,0.6,0.02,0.05,0.46153846153846156,0.4571428571428572,13
1376.T,1,0.8,1.5,0.6,0.05,0.02,0.42857142857142855,0.4000000000000001,14
1376.T,1,0.8,1.5,0.6,0.05,0.05,0.46153846153846156,0.4571428571428572,13
1376.T,1,0.8,1.5,0.8,0.02,0.02,0.42857142857142855,0.4000000000000001,14
1376.T,1,0.8,1.5,0.8,0.02,0.05,0.46153846153846156,0.4571428571428572,13
1376.T,1,0.8,1.5,0.8,0.05,0.02,0.42857142857142855,0.4000000000000001,14
1376.T,1,0.8,1.5,0.8,0.05,0.05,0.46153846153846156,0.4571428571428572,13
1376.T,1,0.8,1.5,1.0,0.02,0.02,0.42857142857142855,0.4000000000000001,14
1376.T,1,0.8,1.5,1.0,0.02,0.05,0.46153846153846156,0.4571428571428572,13
1376.T,1,0.8,1.5,1.0,0.05,0.02,0.42857142857142855,0.4000000000000001,14
1376.T,1,0.8,1.5,1.0,0.05,0.05,0.46153846153846156,0.4571428571428572,13
1376.T,1,0.8,2.0,0.6,0.02,0.02,0.42857142857142855,0.30000000000000004,14
1376.T,1,0.8,2.0,0.6,0.02,0.05,0.46153846153846156,0.3428571428571429,13
1376.T,1,0.8,2.0,0.6,0.05,0.02,0.42857142857142855,0.30000000000000004,14
1376.T,1,0.8,2.0,0.6,0.05,0.05,0.46153846153846156,0.3428571428571429,13
1376.T,1,0.8,2.0,0.8,0.02,0.02,0.42857142857142855,0.30000000000000004,14
1376.T,1,0.8,2.0,0.8,0.02,0.05,0.46153846153846156,0.3428571428571429,13
1376.T,1,0.8,2.0,0.8,0.05,0.02,0.42857142857142855,0.30000000000000004,14
1376.T,1,0.8,2.0,0.8,0.05,0.05,0.46153846153846156,0.3428571428571429,13
1376.T,1,0.8,2.0,1.0,0.02,0.02,0.42857142857142855,0.30000000000000004,14
1376.T,1,0.8,2.0,1.0,0.02,0.05,0.46153846153846156,0.3428571428571429,13
1376.T,1,0.8,2.0,1.0,0.05,0.02,0.42857142857142855,0.30000000000000004,14
1376.T,1,0.8,2.0,1.0,0.05,0.05,0.46153846153846156,0.3428571428571429,13
1376.T,1,1.0,1.5,0.6,0.02,0.02,0.42857142857142855,0.5,14
1376.T,1,1.0,1.5,0.6,0.02,0.05,0.46153846153846156,0.5714285714285714,13
1376.T,1,1.0,1.5,0.6,0.05,0.02,0.42857142857142855,0.5,14
1376.T,1,1.0,1.5,0.6,0.05,0.05,0.46153846153846156,0.5714285714285714,13
1376.T,1,1.0,1.5,0.8,0.02,0.02,0.42857142857142855,0.5,14
1376.T,1,1.0,1.5,0.8,0.02,0.05,0.46153846153846156,0.5714285714285714,13
1376.T,1,1.0,1.5,0.8,0.05,0.02,0.42857142857142855,0.5,14
1376.T,1,1.0,1.5,0.8,0.05,0.05,0.46153846153846156,0.5714285714285714,13
1376.T,1,1.0,1.5,1.0,0.02,0.02,0.42857142857142855,0.5,14
1376.T,1,1.0,1.5,1.0,0.02,0.05,0.46153846153846156,0.5714285714285714,13
1376.T,1,1.0,1.5,1.0,0.05,0.02,0.42857142857142855,0.5,14
1376.T,1,1.0,1.5,1.0,0.05,0.05,0.46153846153846156,0.5714285714285714,13
1376.T,1,1.0,2.0,0.6,0.02,0.02,0.42857142857142855,0.375,14
1376.T,1,1.0,2.0,0.6,0.02,0.05,0.46153846153846156,0.42857142857142855,13
1376.T,1,1.0,2.0,0.6,0.05,0.02,0.42857142857142855,0.375,14
1376.T,1,1.0,2.0,0.6,0.05,0.05,0.46153846153846156,0.42857142857142855,13
1376.T,1,1.0,2.0,0.8,0.02,0.02,0.42857142857142855,0.375,14
1376.T,1,1.0,2.0,0.8,0.02,0.05,0.46153846153846156,0.42857142857142855,13
1376.T,1,1.0,2.0,0.8,0.05,0.02,0.42857142857142855,0.375,14
1376.T,1,1.0,2.0,0.8,0.05,0.05,0.46153846153846156,0.42857142857142855,13
1376.T,1,1.0,2.0,1.0,0.02,0.02,0.42857142857142855,0.375,14
1376.T,1,1.0,2.0,1.0,0.02,0.05,0.46153846153846156,0.42857142857142855,13
1376.T,1,1.0,2.0,1.0,0.05,0.02,0.42857142857142855,0.375,14
1376.T,1,1.0,2.0,1.0,0.05,0.05,0.46153846153846156,0.42857142857142855,13
1376.T,1,1.2,1.5,0.6,0.02,0.02,0.42857142857142855,0.6,14
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.46153846153846156,0.6857142857142856,13
1376.T,1,1.2,1.5,0.6,0.05,0.02,0.42857142857142855,0.6,14
1376.T,1,1.2,1.5,0.6,0.05,0.05,0.46153846153846156,0.6857142857142856,13
1376.T,1,1.2,1.5,0.8,0.02,0.02,0.42857142857142855,0.6,14
