code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.24857142857142855,100,0.2448091186060787,0.22330097087378642,0.1792207792207792,103,2,1.2,2.0,1.0,0.05,0.05,0.1723160735705718
1360.T,3,1.2,2.0,1.0,0.05,0.05,0.35051546391752575,0.32380952380952377,97,0.3234642650876157,0.24489795918367346,0.19459459459459458,98,3,1.2,2.0,1.0,0.05,0.05,0.19438711002085657
137A.T,1,1.2,2.0,0.8,0.02,0.02,0.8,2.4,5,2.3974410235905648,0.35294117647058826,0.36,17,1,1.2,2.0,0.8,0.02,0.02,0.3269237759441679
138A.T,3,1.2,1.5,1.0,0.02,0.02,0.25,0.26666666666666666,4,0.26634683724235964,0.07692307692307693,0.07272727272727272,26,3,1.2,1.5,1.0,0.02,0.02,0.06658670931058991
1407.T,5,1.2,2.0,0.6,0.05,0.05,0.2916666666666667,0.25074626865671645,96,0.246795399487264,0.3548387096774194,0.3341772151898734,124,5,1.2,2.0,0.6,0.05,0.05,0.3296481407437026
1459.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,12,0.799040511727079,0.14285714285714285,0.15384615384615385,35,1,1.2,1.5,1.0,0.02,0.02,0.13317341862117982
1466.T,1,1.2,1.5,0.6,0.02,0.02,0.6666666666666666,1.5999999999999999,3,1.5980810234541576,0.3333333333333333,0.39999999999999997,6,1,1.2,1.5,0.6,0.02,0.02,0.3995202558635394
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.5942028985507246,0.9461538461538461,69,0.8776346604215456,0.4782608695652174,0.5739130434782609,92,5,1.2,2.0,1.0,0.05,0.05,0.549413567906171
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,4,1,0.8,1.5,0.6,0.02,0.02,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1960.T,1,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.0,0.0,3,1,1.2,1.5,0.6,0.02,0.02,0.0
2032.T,3,0.8,1.5,0.6,0.02,0.05,1.0,999.0,1,,0.0,0.0,3,3,0.8,1.5,0.6,0.02,0.05,0.0
2034.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.6,0.8000000000000002,5,1,0.8,1.5,0.6,0.02,0.02,0.7987739872068231
205A.T,5,1.0,1.5,0.6,0.02,0.05,0.6666666666666666,1.3333333333333333,3,1.3315565031982939,0.3333333333333333,0.3333333333333333,18,5,1.0,1.5,0.6,0.02,0.05,0.33288912579957347
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975,0.11009174311926606,0.09896907216494845,109,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
2334.T,3,1.2,1.5,0.8,0.05,0.02,0.3333333333333333,0.4121212121212121,51,0.3995202558635394,0.1511627906976744,0.15294117647058822,86,3,1.2,1.5,0.8,0.05,0.02,0.14229488565002776
276A.T,1,1.0,1.5,0.8,0.05,0.05,0.35714285714285715,0.37037037037037035,28,0.3698768064439707,0.21739130434782608,0.19230769230769232,69,1,1.0,1.5,0.8,0.05,0.05,0.18493840322198532
2791.T,1,1.2,1.5,0.8,0.02,0.02,0.42857142857142855,0.7999999999999999,7,0.5992803837953092,0.25806451612903225,0.3368421052631579,31,1,1.2,1.5,0.8,0.02,0.02,0.27792713451376655
2867.T,3,1.2,1.5,0.6,0.02,0.05,0.2,0.26666666666666666,5,0.19976012793176975,0.7142857142857143,2.0,7,3,1.2,1.5,0.6,0.02,0.05,1.9976012793176976
2872.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0,0.125,0.13333333333333333,8,1,0.8,1.5,0.6,0.02,0.02,0.07607371306731649
2901.T,3,1.2,1.5,0.8,0.05,0.02,0.36363636363636365,0.45714285714285713,22,0.4565945781297594,0.21951219512195122,0.23225806451612901,41,3,1.2,1.5,0.8,0.05,0.02,0.22473014392324098
2936.T,1,1.2,1.5,0.8,0.02,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587,0.2962962962962963,0.3764705882352941,27,1,1.2,1.5,0.8,0.02,0.02,0.3364381102008754
2962.T,5,1.2,1.5,0.8,0.05,0.05,0.28846153846153844,0.32432432432432434,52,0.32393534259205903,0.32967032967032966,0.39344262295081966,91,5,1.2,1.5,0.8,0.05,0.05,0.3929707434723339
3189.T,1,1.2,1.5,1.0,0.05,0.05,0.3125,0.42105263157894735,32,0.3632002326032177,0.21428571428571427,0.22857142857142854,28,1,1.2,1.5,1.0,0.05,0.05,0.21792013956193065
3350.T,1,1.2,1.5,1.0,0.05,0.02,0.4827586206896552,0.7466666666666667,58,0.7457711442786071,0.1527777777777778,0.14915254237288134,72,1,1.2,1.5,1.0,0.05,0.02,0.14408927260652243
3370.T,5,1.2,2.0,1.0,0.02,0.05,0.5681818181818182,0.7894736842105263,44,0.7886319156547908,0.19402985074626866,0.14444444444444443,67,5,1.2,2.0,1.0,0.02,0.05,0.144290431975358
339A.T,5,0.8,1.5,0.8,0.05,0.02,0.38461538461538464,0.38095238095238093,13,0.33282249466950964,0.5555555555555556,0.6666666666666666,9,5,0.8,1.5,0.8,0.05,0.02,0.6656449893390193
3420.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0,0.6666666666666666,1.0666666666666667,3,1,0.8,1.5,0.6,0.02,0.02,1.0650319829424304
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.8888888888888888,4.266666666666667,18,1,0.8,1.5,0.6,0.02,0.02,4.260127931769721
