code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1357.T,2,1.2,2.0,1.0,0.05,0.05,0.29,0.24857142857142855,100,0.2448091186060787
1360.T,3,1.2,2.0,1.0,0.05,0.05,0.35051546391752575,0.32380952380952377,97,0.3234642650876157
137A.T,1,1.2,2.0,0.8,0.02,0.02,0.8,2.4,5,2.3974410235905648
138A.T,3,1.2,1.5,1.0,0.02,0.02,0.25,0.26666666666666666,4,0.26634683724235964
1407.T,5,1.2,2.0,0.6,0.05,0.05,0.2916666666666667,0.25074626865671645,96,0.246795399487264
1459.T,1,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,12,0.799040511727079
1466.T,1,1.2,1.5,0.6,0.02,0.02,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.5942028985507246,0.9461538461538461,69,0.8776346604215456
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1960.T,1,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
2032.T,3,0.8,1.5,0.6,0.02,0.05,1.0,999.0,1,
2034.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
205A.T,5,1.0,1.5,0.6,0.02,0.05,0.6666666666666666,1.3333333333333333,3,1.3315565031982939
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975
2334.T,3,1.2,1.5,0.8,0.05,0.02,0.3333333333333333,0.4121212121212121,51,0.3995202558635394
276A.T,1,1.0,1.5,0.8,0.05,0.05,0.35714285714285715,0.37037037037037035,28,0.3698768064439707
2791.T,1,1.2,1.5,0.8,0.02,0.02,0.42857142857142855,0.7999999999999999,7,0.5992803837953092
2867.T,3,1.2,1.5,0.6,0.02,0.05,0.2,0.26666666666666666,5,0.19976012793176975
2872.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0
2901.T,3,1.2,1.5,0.8,0.05,0.02,0.36363636363636365,0.45714285714285713,22,0.4565945781297594
2936.T,1,1.2,1.5,0.8,0.02,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587
2962.T,5,1.2,1.5,0.8,0.05,0.05,0.28846153846153844,0.32432432432432434,52,0.32393534259205903
3189.T,1,1.2,1.5,1.0,0.05,0.05,0.3125,0.42105263157894735,32,0.3632002326032177
3350.T,1,1.2,1.5,1.0,0.05,0.02,0.4827586206896552,0.7466666666666667,58,0.7457711442786071
3370.T,5,1.2,2.0,1.0,0.02,0.05,0.5681818181818182,0.7894736842105263,44,0.7886319156547908
339A.T,5,0.8,1.5,0.8,0.05,0.02,0.38461538461538464,0.38095238095238093,13,0.33282249466950964
3420.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,2,0.0
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3541.T,1,1.2,2.0,0.6,0.05,0.02,0.6,0.8999999999999999,10,0.8990403838464615
3608.T,3,1.2,1.5,1.0,0.02,0.05,0.2647058823529412,0.288,68,0.28765458422174844
3647.T,2,1.2,1.5,0.8,0.02,0.05,0.36666666666666664,0.5176470588235293,30,0.4626024015262036
365A.T,1,1.2,2.0,1.0,0.02,0.05,0.3541666666666667,0.36428571428571427,48,0.3286814306535451
3661.T,5,1.2,1.5,1.0,0.02,0.05,0.1566265060240964,0.14857142857142858,83,0.14839323789217182
381A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
3895.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
3902.T,5,1.2,1.5,0.8,0.02,0.05,0.15384615384615385,0.14545454545454545,39,0.14528009304128708
3905.T,5,1.2,2.0,0.8,0.05,0.02,0.21052631578947367,0.16179775280898875,114,0.15982940157270425
3926.T,1,0.8,1.5,0.6,0.02,0.02,0.5,999.0,2,0.5325159914712154
3933.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3991.T,2,1.2,2.0,0.6,0.02,0.02,0.5833333333333334,0.8400000000000001,12,0.8391043582566976
3996.T,1,1.2,1.5,0.8,0.02,0.02,0.6,1.2,5,1.1985607675906185
4017.T,2,1.2,1.5,1.0,0.02,0.02,0.4,0.5333333333333333,15,0.5326936744847194
4057.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
4172.T,3,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
4175.T,3,1.2,1.5,1.0,0.02,0.02,0.6,1.2,5,1.1985607675906185
4176.T,1,1.2,1.5,0.8,0.02,0.05,0.23076923076923078,0.23999999999999996,13,0.23971215351812372
4241.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,
4343.T,1,1.2,1.5,0.6,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
4378.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
4384.T,1,1.2,1.5,0.8,0.05,0.02,0.3333333333333333,0.4,30,0.3995202558635394
4413.T,5,1.2,1.5,1.0,0.02,0.05,0.375,0.4923076923076923,64,0.47942430703624733
4415.T,1,1.2,2.0,0.6,0.02,0.05,0.2692307692307692,0.22702702702702704,52,0.22081693638334138
4438.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
4440.T,1,1.0,1.5,1.0,0.02,0.02,0.3,0.2857142857142857,20,0.2853335363996345
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.30117647058823527,119,0.2938999583363968
