winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.22330097087378642,0.1792207792207792,103,1357.T,2,1.2,2.0,1.0,0.05,0.05,0.1723160735705718
0.24489795918367346,0.19459459459459458,98,1360.T,3,1.2,2.0,1.0,0.05,0.05,0.19438711002085657
0.35294117647058826,0.36,17,137A.T,1,1.2,2.0,0.8,0.02,0.02,0.3269237759441679
0.07692307692307693,0.07272727272727272,26,138A.T,3,1.2,1.5,1.0,0.02,0.02,0.06658670931058991
0.3548387096774194,0.3341772151898734,124,1407.T,5,1.2,2.0,0.6,0.05,0.05,0.3296481407437026
0.14285714285714285,0.15384615384615385,35,1459.T,1,1.2,1.5,1.0,0.02,0.02,0.13317341862117982
0.3333333333333333,0.39999999999999997,6,1466.T,1,1.2,1.5,0.6,0.02,0.02,0.3995202558635394
0.4782608695652174,0.5739130434782609,92,1542.T,5,1.2,2.0,1.0,0.05,0.05,0.549413567906171
0.0,0.0,4,1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.0,0.0,3,1960.T,1,1.2,1.5,0.6,0.02,0.02,0.0
0.0,0.0,3,2032.T,3,0.8,1.5,0.6,0.02,0.05,0.0
0.6,0.8000000000000002,5,2034.T,1,0.8,1.5,0.6,0.02,0.02,0.7987739872068231
0.3333333333333333,0.3333333333333333,18,205A.T,5,1.0,1.5,0.6,0.02,0.05,0.33288912579957347
0.11009174311926606,0.09896907216494845,109,215A.T,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
0.1511627906976744,0.15294117647058822,86,2334.T,3,1.2,1.5,0.8,0.05,0.02,0.14229488565002776
0.21739130434782608,0.19230769230769232,69,276A.T,1,1.0,1.5,0.8,0.05,0.05,0.18493840322198532
0.25806451612903225,0.3368421052631579,31,2791.T,1,1.2,1.5,0.8,0.02,0.02,0.27792713451376655
0.7142857142857143,2.0,7,2867.T,3,1.2,1.5,0.6,0.02,0.05,1.9976012793176976
0.125,0.13333333333333333,8,2872.T,1,0.8,1.5,0.6,0.02,0.02,0.07607371306731649
0.21951219512195122,0.23225806451612901,41,2901.T,3,1.2,1.5,0.8,0.05,0.02,0.22473014392324098
0.2962962962962963,0.3764705882352941,27,2936.T,1,1.2,1.5,0.8,0.02,0.02,0.3364381102008754
0.32967032967032966,0.39344262295081966,91,2962.T,5,1.2,1.5,0.8,0.05,0.05,0.3929707434723339
0.21428571428571427,0.22857142857142854,28,3189.T,1,1.2,1.5,1.0,0.05,0.05,0.21792013956193065
0.1527777777777778,0.14915254237288134,72,3350.T,1,1.2,1.5,1.0,0.05,0.02,0.14408927260652243
0.19402985074626866,0.14444444444444443,67,3370.T,5,1.2,2.0,1.0,0.02,0.05,0.144290431975358
0.5555555555555556,0.6666666666666666,9,339A.T,5,0.8,1.5,0.8,0.05,0.02,0.6656449893390193
0.6666666666666666,1.0666666666666667,3,3420.T,1,0.8,1.5,0.6,0.02,0.02,1.0650319829424304
0.8888888888888888,4.266666666666667,18,3536.T,1,0.8,1.5,0.6,0.02,0.02,4.260127931769721
0.36666666666666664,0.388235294117647,30,3541.T,1,1.2,2.0,0.6,0.05,0.02,0.3469980428881079
0.2967032967032967,0.33749999999999997,91,3608.T,3,1.2,1.5,1.0,0.02,0.05,0.33709521588486147
0.10126582278481013,0.0955223880597015,79,3647.T,2,1.2,1.5,0.8,0.02,0.05,0.0900327337157272
0.25,0.2571428571428571,12,365A.T,1,1.2,2.0,1.0,0.02,0.05,0.19978675196588033
0.24096385542168675,0.25396825396825395,83,3661.T,5,1.2,1.5,1.0,0.02,0.05,0.253663654516533
0.0,0.0,1,381A.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.375,0.32000000000000006,8,3895.T,1,0.8,1.5,0.6,0.02,0.02,0.31950959488272923
0.2318840579710145,0.25098039215686274,69,3902.T,5,1.2,1.5,0.8,0.02,0.05,0.24121977712515594
