code,ATR_n_TRAIN,TPk_TRAIN,SLk_TRAIN,J_th_TRAIN,dJ_th_TRAIN,vEMA_th_TRAIN,winrate_TRAIN,pf_TRAIN,trades_TRAIN,PF_eff_TRAIN,winrate_TEST,pf_TEST,trades_TEST,ATR_n_TEST,TPk_TEST,SLk_TEST,J_th_TEST,dJ_th_TEST,vEMA_th_TEST,PF_eff_TEST
1321.T,1,1.2,2.0,1.0,0.05,0.02,0.22857142857142856,0.1806451612903226,245,0.1775882239696714,0.18181818181818182,0.1411764705882353,66,1,1.2,2.0,1.0,0.05,0.02,0.13319116797725356
1357.T,3,1.2,2.0,1.0,0.05,0.02,0.2755905511811024,0.23076923076923078,254,0.22801748865671126,0.24691358024691357,0.2,81,3,1.2,2.0,1.0,0.05,0.02,0.19651155931070197
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.28350515463917525,0.24444444444444444,194,0.23715693578683633,0.25862068965517243,0.21951219512195122,58,1,1.2,2.0,1.0,0.05,0.05,0.20907915903406082
1407.T,2,1.2,1.5,0.8,0.02,0.02,0.1792452830188679,0.1747126436781609,318,0.17450310026223562,0.21978021978021978,0.22857142857142856,91,2,1.2,1.5,0.8,0.02,0.02,0.22508183428931802
1458.T,3,1.2,2.0,0.6,0.05,0.02,0.2679738562091503,0.22062780269058294,306,0.2194086651053864,0.26595744680851063,0.22388059701492538,94,3,1.2,2.0,0.6,0.05,0.02,0.21715951300639166
1540.T,3,1.2,2.0,1.0,0.02,0.02,0.31958762886597936,0.2818181818181818,291,0.2815176959519223,0.10784313725490197,0.075,102,3,1.2,2.0,1.0,0.02,0.02,0.07245014082279178
1541.T,2,1.2,2.0,0.6,0.02,0.05,0.3923611111111111,0.3964912280701754,288,0.3870154795224768,0.2625,0.22105263157894736,80,2,1.2,2.0,0.6,0.02,0.05,0.21333161650594
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.4405940594059406,0.4944444444444444,202,0.47206250243265524,0.5303030303030303,0.6774193548387096,66,5,1.2,2.0,1.0,0.05,0.05,0.6766970631102397
1570.T,3,1.2,2.0,0.6,0.02,0.02,0.2979452054794521,0.25588235294117645,292,0.25436264518582813,0.25773195876288657,0.21428571428571427,97,3,1.2,2.0,0.6,0.02,0.02,0.20811119996445865
1579.T,3,1.2,2.0,0.6,0.05,0.05,0.3,0.2616279069767442,250,0.256868681098989,0.20253164556962025,0.15483870967741936,79,3,1.2,2.0,0.6,0.05,0.05,0.15221847768828975
