code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1321.T,1,1.2,2.0,1.0,0.05,0.02,0.22857142857142856,0.1806451612903226,245,0.1775882239696714
1357.T,3,1.2,2.0,1.0,0.05,0.02,0.2755905511811024,0.23076923076923078,254,0.22801748865671126
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.28350515463917525,0.24444444444444444,194,0.23715693578683633
1407.T,2,1.2,1.5,0.8,0.02,0.02,0.1792452830188679,0.1747126436781609,318,0.17450310026223562
1458.T,3,1.2,2.0,0.6,0.05,0.02,0.2679738562091503,0.22062780269058294,306,0.2194086651053864
1540.T,3,1.2,2.0,1.0,0.02,0.02,0.31958762886597936,0.2818181818181818,291,0.2815176959519223
1541.T,2,1.2,2.0,0.6,0.02,0.05,0.3923611111111111,0.3964912280701754,288,0.3870154795224768
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.4405940594059406,0.4944444444444444,202,0.47206250243265524
1570.T,3,1.2,2.0,0.6,0.02,0.02,0.2979452054794521,0.25588235294117645,292,0.25436264518582813
1579.T,3,1.2,2.0,0.6,0.05,0.05,0.3,0.2616279069767442,250,0.256868681098989
1605.T,5,1.2,2.0,0.6,0.05,0.05,0.2441860465116279,0.19484536082474224,258,0.19363946729000706
168A.T,2,1.2,2.0,0.8,0.02,0.02,0.5,0.6,14,0.599360255897641
1802.T,3,1.2,1.5,0.6,0.05,0.05,0.24175824175824176,0.25507246376811593,273,0.2547665399709527
1803.T,3,1.2,2.0,0.6,0.05,0.02,0.27245508982035926,0.2275,334,0.22445178307277913
1812.T,2,1.2,2.0,1.0,0.02,0.05,0.3540983606557377,0.334020618556701,305,0.3285832874971839
186A.T,5,1.2,2.0,1.0,0.05,0.05,0.24347826086956523,0.19649122807017544,230,0.1928975536222293
1893.T,3,1.2,2.0,1.0,0.05,0.05,0.36996336996337,0.362874251497006,273,0.3519499177073357
1911.T,1,1.2,1.5,0.6,0.02,0.05,0.25691699604743085,0.27807486631016043,253,0.2762640067141497
1925.T,5,1.2,2.0,0.6,0.05,0.02,0.294478527607362,0.25152838427947594,326,0.25016775898336324
1928.T,2,1.2,2.0,0.8,0.05,0.02,0.32673267326732675,0.29261083743842364,303,0.2908660065385611
1942.T,5,1.2,2.0,1.0,0.05,0.02,0.34572490706319703,0.32068965517241377,269,0.31670740794591257
2036.T,5,1.2,1.5,0.6,0.02,0.02,0.27741935483870966,0.3170506912442396,310,0.30677448218093206
2127.T,3,1.2,2.0,0.8,0.05,0.05,0.2682926829268293,0.22318840579710142,287,0.21976542716246839
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.25696594427244585,0.20836820083682006,323,0.2072787551646009
2160.T,2,1.2,1.5,1.0,0.02,0.02,0.34509803921568627,0.42409638554216866,255,0.4210512876166643
2181.T,2,1.2,2.0,1.0,0.02,0.05,0.3151750972762646,0.2793103448275862,257,0.2758419359528916
218A.T,5,1.2,1.5,0.6,0.02,0.02,0.23123123123123124,0.24062499999999998,333,0.24033640391791045
219A.T,2,1.2,2.0,1.0,0.05,0.05,0.3898305084745763,0.3833333333333333,236,0.38292460793460403
2267.T,1,1.2,2.0,1.0,0.05,0.05,0.2802197802197802,0.23720930232558138,182,0.23333872557847093
2269.T,5,1.2,2.0,0.6,0.05,0.05,0.20233463035019456,0.15294117647058822,257,0.152032845398426
2334.T,5,1.2,1.5,1.0,0.05,0.05,0.25,0.2756302521008403,164,0.26634683724235964
2413.T,5,1.2,1.5,0.6,0.05,0.02,0.2702702702702703,0.29767441860465116,296,0.2959409302692885
2432.T,2,1.2,2.0,0.6,0.02,0.05,0.35313531353135313,0.32923076923076927,303,0.3272017723522836
2433.T,1,1.2,1.5,1.0,0.05,0.02,0.26174496644295303,0.28363636363636363,149,0.28329618143050983
247A.T,5,1.2,2.0,0.8,0.05,0.05,0.39776951672862454,0.40632911392405063,269,0.39587374926572594
2502.T,5,1.2,2.0,1.0,0.05,0.05,0.41578947368421054,0.4348623853211009,190,0.4265717136568796
2503.T,3,1.2,2.0,0.6,0.05,0.05,0.2151394422310757,0.16530612244897958,251,0.16429164374859195
2670.T,5,1.2,2.0,1.0,0.05,0.05,0.4449760765550239,0.4894736842105263,209,0.48052158446966037
2726.T,2,1.2,1.5,0.8,0.05,0.05,0.29225352112676056,0.3387755102040816,284,0.3299520521062067
2768.T,2,1.2,2.0,1.0,0.02,0.05,0.4126984126984127,0.42448979591836733,252,0.42117207171185583
276A.T,2,1.2,2.0,0.6,0.05,0.02,0.3023255813953488,0.26292134831460673,129,0.2597227775556444
2801.T,5,1.2,2.0,0.8,0.05,0.05,0.36199095022624433,0.34285714285714286,221,0.34006255653766865
2802.T,2,1.2,1.5,0.6,0.05,0.02,0.1550632911392405,0.14736842105263157,316,0.14664039353792835
285A.T,5,1.2,2.0,0.6,0.05,0.05,0.3532110091743119,0.33722627737226274,218,0.32731021066750604
2897.T,2,1.2,1.5,0.6,0.05,0.02,0.10606060606060606,0.0958904109589041,330,0.09480141664558564
290A.T,1,1.2,1.5,0.6,0.05,0.05,0.15384615384615385,0.14634146341463414,195,0.14528009304128708
2914.T,5,1.2,2.0,0.6,0.02,0.02,0.25386996904024767,0.20585774058577405,323,0.20393170532616828
3003.T,2,1.2,1.5,0.8,0.05,0.02,0.2147239263803681,0.2196078431372549,326,0.21848763992537315
3038.T,1,1.2,2.0,0.6,0.02,0.05,0.2757352941176471,0.22959183673469388,272,0.22818283853971105
3064.T,5,1.2,2.0,1.0,0.05,0.05,0.301255230125523,0.26024096385542167,239,0.258406816913953
3086.T,5,1.2,2.0,0.6,0.02,0.05,0.3090128755364807,0.26999999999999996,233,0.268036884625032
