code,winrate,pf,ATR_n,TPk,SLk
1605.T,0.26187648456057006,0.6879875195007801,5,1,2
1802.T,0.26481042654028436,0.945031712473573,5,1,2
1803.T,0.29755549311604385,0.9097938144329897,3,1,2
1861.T,0.2971871178149205,0.9986301369863013,3,1,2
1911.T,0.2980189491817399,1.0,5,1,2
2127.T,0.2805895439377086,0.881993006993007,5,1,2
2181.T,0.3323520753606123,1.380195599022005,2,1,2
2267.T,0.2586883408071749,0.9102564102564102,2,1,2
2413.T,0.27564102564102566,0.9166666666666666,5,1,2
2502.T,0.30217519106408,1.3316062176165804,2,1,2
2503.T,0.25250214469545323,0.7912186379928315,3,1,2
2801.T,0.2955130037153472,1.0217391304347827,2,1,2
2802.T,0.26668560068162456,1.0053533190578159,2,1,2
2897.T,0.2521812552772305,0.8130671506352087,2,1,2
2914.T,0.3068116771608472,0.9115646258503401,5,1,2
3003.T,0.2842759846017175,0.9836065573770492,3,1,2
3038.T,0.26437100805331853,0.836555360281195,2,1,2
3064.T,0.2613378684807256,0.8552875695732839,5,1,2
3092.T,0.29073482428115016,1.0856832971800434,5,1,2
3099.T,0.21987784564131038,0.5609065155807366,2,1,2
3110.T,0.2850496277915633,0.9818376068376068,5,1,2
3231.T,0.3030678648899907,1.1897810218978102,5,1,2
3289.T,0.3417040358744395,1.2588105726872247,2,1,2
3315.T,0.8021680216802168,8.222222222222221,1,1,2
3382.T,0.31789662384224676,1.4262734584450403,5,1,2
3402.T,0.3184407796101949,1.2733812949640289,5,1,2
3407.T,0.3399584692969445,1.4078624078624078,3,1,2
3436.T,0.2834864940128098,0.7747336377473364,5,1,2
3656.T,0.3328239608801956,1.452,1,1,2
3697.T,0.276707530647986,0.8859813084112149,2,1,2
3853.T,0.276075344391341,0.8846846846846846,5,1,2
3861.T,0.27655889145496537,0.672752808988764,5,1,2
4004.T,0.2773371104815864,0.7745253164556962,5,1,2
4005.T,0.2754041570438799,0.8983050847457628,3,1,2
4062.T,0.2814625850340136,0.9194444444444444,5,1,2
4063.T,0.30823463056965594,0.8944353518821604,3,1,2
4188.T,0.30269058295964124,1.0465116279069768,5,1,2
4385.T,0.2787878787878788,0.887719298245614,2,1,2
4446.T,0.37352445193929174,1.2877906976744187,3,1,2
4452.T,0.22841777526181714,0.7527985074626866,3,1,2
4502.T,0.3049088359046283,1.0492277992277992,2,1,2
4503.T,0.3381032547699214,1.350896860986547,3,1,2
4506.T,0.27522935779816515,0.821917808219178,2,1,2
4507.T,0.2990252293577982,1.0265748031496063,2,1,2
4519.T,0.2568306010928962,0.6664179104477612,5,1,2
4528.T,0.3045080805216898,1.1425531914893616,3,1,2
4543.T,0.2748971193415638,0.9329608938547486,5,1,2
4568.T,0.2926547137073453,0.9084380610412927,5,1,2
4612.T,0.2822462708394267,0.992798353909465,2,1,2
4661.T,0.2679067184897279,0.7948929159802306,3,1,2
4689.T,0.2678421494542401,0.7206325301204819,2,1,2
4704.T,0.2791188895594448,0.928714859437751,3,1,2
4751.T,0.268690275435638,0.9795081967213115,2,1,2
4755.T,0.30286375470060745,0.9265486725663716,3,1,2
4901.T,0.3005812344312206,0.9836956521739131,2,1,2
4902.T,0.3022847100175747,1.2198581560283688,5,1,2
4911.T,0.30533484676503975,1.0653465346534654,3,1,2
5016.T,0.34534989397152377,1.021505376344086,5,1,2
5019.T,0.3162291169451074,1.2183908045977012,5,1,2
5020.T,0.28673120728929385,0.9171220400728597,5,1,2
5076.T,0.26095343069716176,0.9212062256809338,2,1,2
5108.T,0.24942263279445728,0.8454011741682974,5,1,2
5401.T,0.294321130008648,0.8410214168039539,3,1,2
5406.T,0.26887068461088354,0.9282828282828283,5,1,2
5411.T,0.28708133971291866,0.9306569343065694,3,1,2
5535.T,0.25613305613305615,0.913946587537092,3,1,2
5706.T,0.28978893325727323,0.8654173764906303,5,1,2
5713.T,0.2965182648401826,1.0733471074380165,5,1,2
5726.T,0.2878704720087816,0.8741666666666666,2,1,2
5801.T,0.28040638606676344,0.7419354838709677,3,1,2
5802.T,0.2996575342465753,1.0396039603960396,2,1,2
5803.T,0.33065715135295864,1.1031746031746033,5,1,2
5991.T,0.2384545728946574,0.6893542757417103,5,1,2
6098.T,0.29614914425427874,1.0051867219917012,2,1,2
6146.T,0.3042986425339366,0.8526148969889065,5,1,2
6178.T,0.30530113794060504,1.0784313725490196,3,1,2
6301.T,0.3211900425015179,1.2685851318944845,5,1,2
6315.T,0.2599940775836541,0.6455882352941177,5,1,2
6323.T,0.27191513121161365,0.8130217028380634,2,1,2
6326.T,0.308296943231441,1.0872689938398357,5,1,2
6361.T,0.26870846576134066,0.8101045296167247,5,1,2
6472.T,0.2896174863387978,1.0945652173913043,5,1,2
6501.T,0.29483889364128885,0.8898450946643718,3,1,2
6503.T,0.31042059008160705,0.9715127701375246,5,1,2
6506.T,0.30825741992359684,1.010597302504817,5,1,2
6525.T,0.32891246684350134,0.9620689655172414,3,1,2
6526.T,0.2818543799772469,0.84412265758092,3,1,2
6594.T,0.3060508623209588,0.9570383912248629,3,1,2
6701.T,0.29599322799097066,1.0009541984732824,5,1,2
6702.T,0.29292632814793074,0.9861660079051383,5,1,2
6723.T,0.3157748049052397,1.0152329749103943,2,1,2
6740.T,0.8690851735015773,13.775,1,1,2
6752.T,0.2833617262918796,0.7470059880239521,2,1,2
6758.T,0.31265306122448977,0.9671717171717171,2,1,2
6762.T,0.27319884726224786,0.8272251308900523,2,1,2
6857.T,0.3190866510538642,0.812220566318927,3,1,2
6869.T,0.3085015638328121,1.2794811320754718,3,1,2
6871.T,0.30426356589147285,1.0632054176072234,2,1,2
6902.T,0.27897838899803534,0.9085923217550275,3,1,2
6920.T,0.33493227990970653,1.0430579964850615,2,1,2
6954.T,0.27360420929552765,0.8268551236749117,2,1,2
6963.T,0.3261939218523878,1.2578125,2,1,2
6965.T,0.3078010175240249,1.1785714285714286,3,1,2
6971.T,0.3073140749846343,1.1363636363636365,5,1,2
6976.T,0.2761151891586674,0.9055555555555556,3,1,2
6981.T,0.2922297297297297,0.9169611307420494,3,1,2
6988.T,0.28214285714285714,1.0486725663716814,5,1,2
7003.T,0.3025871766029246,0.8432601880877743,3,1,2
7011.T,0.3146551724137931,0.9588441330998249,5,1,2
7012.T,0.31321418107237037,1.0563241106719368,3,1,2
7013.T,0.3489399293286219,1.0733695652173914,5,1,2
7167.T,0.2893917963224894,0.9489795918367347,5,1,2
7182.T,0.2691249312052834,0.7874396135265701,2,1,2
7186.T,0.29434183523893287,0.9045045045045045,5,1,2
7201.T,0.3012644310060473,0.8130563798219584,5,1,2
7202.T,0.25321049692908987,0.8275547445255474,5,1,2
7203.T,0.35314285714285715,1.2510121457489878,3,1,2
7205.T,0.25435034802784223,1.0440476190476191,5,1,2
7211.T,0.28328445747800585,1.1311475409836065,3,1,2
7259.T,0.27612826603325413,1.083916083916084,5,1,2
