code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
6740.T,,6740,ジャパンディスプレイ,0,東Ｐ,貸借,▼,18,1,5.88%,"218,830,800",18,19,17,11:30,〇,-,-,0
8918.T,,8918,ランド,0,東Ｓ,信用,▼,9,-1,-10.00%,"114,290,400",9,10,9,11:30,〇,0.1,-,"3,884,600"
9432.T,,9432,ＮＴＴ,0,東Ｐ,貸借,▼,153.1,0.9,0.59%,"60,300,000",153,153.4,152.6,11:30,〇,-,-,"17,822,900"
8729.T,,8729,ソニーフィナンシャルグループ,0,東Ｐ,信用,▲,153,0.3,0.20%,"47,580,000",152.6,153.6,151.1,11:30,〇,0.1,-,"6,230,300"
4564.T,,4564,オンコセラピー・サイエンス,0,東Ｇ,貸借,▼,22,0,0.00%,"44,585,300",22,23,22,11:30,〇,0.1,-,"717,300"
1360.T,,1360,日経平均ベア２倍,0,東Ｐ,貸借,▲,166.6,-4.5,-2.63%,"43,258,840",169.8,170.5,166.4,11:30,〇,-,-,"1,671,420"
9501.T,,9501,東京電力ＨＤ,0,東Ｐ,貸借,▲,773.5,24.1,3.22%,"37,525,400",757.7,775.9,748.5,11:30,〇,-,-,"625,600"
3350.T,,3350,メタプラネット,0,東Ｓ,信用,▲,462,-20,-4.15%,"26,887,300",487,493,458,11:30,〇,0.1,-,"1,260,000"
5016.T,,5016,ＪＸ金属,0,東Ｐ,貸借,▼,"2,083.50",73.5,3.66%,"23,637,000","2,014.00","2,108.00","2,001.50",11:30,〇,-,-,"516,300"
9434.T,,9434,ソフトバンク,0,東Ｐ,貸借,▲,215.7,-0.3,-0.14%,"23,356,600",217.5,217.9,215.6,11:30,〇,-,-,"11,719,200"
4597.T,,4597,ソレイジア・ファーマ,0,東Ｇ,貸借,▲,34,1,3.03%,"22,295,700",33,34,33,11:30,〇,0.1,-,0
7013.T,,7013,ＩＨＩ,0,東Ｐ,貸借,▼,"2,878.50",134.5,4.90%,"18,349,300","2,767.50","2,879.50","2,755.50",11:30,〇,-,-,"787,500"
4571.T,,4571,ＮＡＮＯＭＲＮＡ,0,東Ｇ,信用,▲,238,50,26.60%,"17,524,900",186,238,182,10:51,〇,0.1,-,0
215A.T,,215A,タイミー,0,東Ｇ,貸借,▲,"1,412.00",123,9.54%,"16,030,400","1,499.00","1,500.00","1,378.00",11:30,〇,1.8,-,0
8267.T,,8267,イオン,0,東Ｐ,貸借,▲,"2,039.00",160.5,8.54%,"14,932,100","1,918.50","2,084.00","1,880.00",11:30,〇,-,0.1,"727,700"
7011.T,,7011,三菱重工業,0,東Ｐ,貸借,▼,"4,079.00",98,2.46%,"14,638,500","4,020.00","4,099.00","4,003.00",11:30,〇,-,-,"649,400"
1579.T,,1579,日経平均ブル２倍,0,東Ｐ,貸借,▼,417.7,11.8,2.91%,"13,784,740",410.2,418.1,408.3,11:30,〇,0.3,-,"129,900"
8306.T,,8306,三菱ＵＦＪフィナンシャルＧ,0,東Ｐ,貸借,▲,"2,278.00",37,1.65%,"10,765,400","2,259.00","2,279.00","2,258.00",11:30,〇,-,-,"1,604,800"
6501.T,,6501,日立,0,東Ｐ,貸借,▲,"4,480.00",218,5.11%,"10,124,600","4,310.00","4,497.00","4,283.00",11:30,〇,-,-,"258,600"
