code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,出来高乖離率,5DVMA,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
7837.T,,7837,アールシーコア,0,東Ｓ,貸借,▲,457,80,21.22%,"132,700","7,191.20","1,820",457,457,448,9:46,〇,0.4,-,0
2648.T,,2648,ＮＦ米債７－１０ヘッジ有,0,東Ｐ,貸借,▲,"3,596.00",4,0.11%,"30,780","5,338.16",566,"3,592.00","3,596.00","3,592.00",10:33,〇,-,-,0
168A.T,,168A,イタミアート,0,東Ｇ,信用,▲,"1,382.00",221,19.04%,"650,800","3,460.17","18,280","1,330.00","1,458.00","1,285.00",11:30,〇,1.2,-,0
2459.T,,2459,アウンコンサルティング,0,東Ｓ,信用,▲,239,9,3.91%,"1,039,500","2,002.54","49,440",236,274,233,11:30,〇,0.7,-,0
1477.T,,1477,ＩＳＭＳＣＩ最小分散,0,東Ｐ,貸借,▲,"2,808.00",27,0.97%,"16,396","1,672.54",925,"2,814.00","2,814.00","2,794.00",11:20,〇,-,-,10
1490.T,,1490,上場高配ベータヘッジ,0,東Ｐ,貸借,▼,"9,400.00","1,400.00",17.50%,360,"1,614.28",21,"8,948.00","9,499.00","8,948.00",11:11,〇,5,-,0
6190.T,,6190,フェニックスバイオ,0,東Ｇ,信用,▲,568,80,16.39%,"186,500","1,394.39","12,480",564,568,563,9:21,〇,0.2,-,0
2736.T,,2736,フェスタリアＨＬＤＧＳ,0,東Ｓ,信用,▼,609,26,4.46%,"67,100","1,391.11","4,500",603,660,600,11:30,〇,0.3,-,200
3987.T,,3987,エコモット,0,東Ｇ,貸借,▲,470,40,9.30%,"192,700","1,249.43","14,280",468,494,456,11:30,〇,0.4,-,500
7036.T,,7036,イーエムネットジャパン,0,東Ｇ,信用,▲,"1,003.00",-145,-12.63%,"122,900","1,148.98","9,840","1,145.00","1,270.00",965,11:30,〇,0.6,-,800
1585.T,,1585,ＩＦＲＥＥＴＰＸＥＸ－Ｆ,0,東Ｐ,貸借,▲,"2,166.50",32.5,1.52%,"2,320","1,147.31",186,"2,158.50","2,166.50","2,134.50",10:22,〇,-,0.5,10
4664.T,,4664,アール・エス・シー,0,東Ｓ,信用,▲,641,28,4.57%,"59,400",960.71,"5,600",613,690,612,11:30,〇,0.5,-,100
2521.T,,2521,上場米国株ヘッジ有,0,東Ｐ,貸借,▼,"1,942.00",10,0.52%,"244,009",875.45,"25,015","1,939.00","1,945.00","1,938.00",11:30,〇,-,-,332
3766.T,,3766,システムズ・デザイン,0,東Ｓ,信用,▲,"1,300.00",57,4.59%,"18,200",828.57,"1,960","1,285.00","1,300.00","1,285.00",10:28,〇,1.1,-,100
2015.T,,2015,ＩＦ米国債７１０Ｈ無,0,東Ｐ,貸借,▼,"2,117.00",-6,-0.28%,"31,339",772.95,"3,590","2,124.00","2,126.00","2,117.00",11:18,〇,2,-,36
7923.T,,7923,トーイン,0,東Ｓ,信用,▲,819,-30,-3.53%,"18,700",727.43,"2,260",847,847,812,11:15,〇,0.7,-,200
7677.T,,7677,ヤシマキザイ,0,東Ｓ,信用,,"2,700.00",0,0.00%,300,650,40,"2,700.00","2,700.00","2,700.00",10:10,〇,2.2,-,700
7886.T,,7886,ヤマトモビリティ＆ＭＦＧ,0,東Ｓ,信用,▲,933,35,3.90%,"71,900",633.67,"9,800",913,945,898,11:22,〇,0.6,-,600
7138.T,,7138,ＴＯＲＩＣＯ,0,東Ｇ,信用,▼,171,-3,-1.72%,"1,898,000",630.22,"259,920",174,208,169,11:30,〇,0.2,-,"11,500"
7794.T,,7794,イーディーピー,0,東Ｇ,信用,▼,547,1,0.18%,"2,288,400",613.34,"320,800",543,646,517,11:30,〇,1.2,-,"27,300"
3835.T,,3835,ｅＢＡＳＥ,0,東Ｐ,貸借,▼,453,-30,-6.21%,"402,600",588.91,"58,440",443,455,442,11:30,〇,-,-,"6,400"
3139.T,,3139,ラクト・ジャパン,0,東Ｐ,貸借,▼,"3,445.00",-585,-14.52%,"460,400",579.25,"67,780","3,470.00","3,485.00","3,390.00",11:30,〇,-,-,"4,600"
6566.T,,6566,要興業,0,東Ｓ,貸借,▲,"1,127.00",-6,-0.53%,"12,200",480.95,"2,100","1,133.00","1,181.00","1,085.00",11:30,〇,-,-,100
7525.T,,7525,リックス,0,東Ｐ,貸借,▲,"3,675.00",385,11.70%,"65,100",477.12,"11,280","3,290.00","3,715.00","3,290.00",11:30,〇,-,-,"3,200"
