code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
8918.T,,8918,ランド,0,東Ｓ,信用,▼,9,-1,-10.00%,"114,290,400",9,10,9,11:30,〇,0.1,-,"3,884,600"
4597.T,,4597,ソレイジア・ファーマ,0,東Ｇ,貸借,▲,34,1,3.03%,"22,295,700",33,34,33,11:30,〇,0.1,-,0
6740.T,,6740,ジャパンディスプレイ,0,東Ｐ,貸借,▼,18,1,5.88%,"218,830,800",18,19,17,11:30,〇,-,-,0
5017.T,,5017,富士石油,0,東Ｐ,貸借,▲,480,1,0.21%,"112,400",479,480,479,11:30,〇,-,-,"7,500"
9424.T,,9424,日本通信,0,東Ｐ,貸借,▲,145,4,2.84%,"1,024,900",141,145,141,11:30,〇,-,-,"56,600"
2353.T,,2353,日本駐車場開発,0,東Ｐ,貸借,▲,273,3,1.11%,"668,200",271,274,270,11:30,〇,-,-,"103,200"
6659.T,,6659,メディアリンクス,0,東Ｓ,貸借,▲,55,2,3.77%,"695,300",54,55,53,11:30,〇,0.2,-,0
6993.T,,6993,大黒屋ホールディングス,0,東Ｓ,貸借,▲,34,3,9.68%,"3,770,300",33,34,32,11:30,〇,0.1,0.05,0
8346.T,,8346,東邦銀行,0,東Ｐ,貸借,▼,433,9,2.12%,"166,200",432,434,429,11:30,〇,-,-,"64,400"
8141.T,,8141,新光商事,0,東Ｐ,貸借,▲,"1,034.00",-2,-0.19%,"103,200","1,039.00","1,052.00","1,030.00",11:30,〇,-,-,"5,900"
4893.T,,4893,ノイルイミューン・バイオテック,0,東Ｇ,貸借,▲,166,7,4.40%,"53,200",161,166,161,11:29,〇,0.4,0.05,0
1968.T,,1968,太平電業,0,東Ｐ,貸借,▼,"2,114.00",54,2.62%,"19,100","2,090.00","2,119.00","2,073.00",11:28,〇,-,0.1,"4,900"
7412.T,,7412,アトム,0,東Ｓ,貸借,▼,592,-3,-0.50%,"309,600",599,603,592,11:30,〇,0.4,0.05,"7,600"
2471.T,,2471,エスプール,0,東Ｐ,貸借,▲,336,14,4.35%,"592,100",322,342,322,11:30,〇,-,-,"38,100"
7971.T,,7971,東リ,0,東Ｓ,貸借,▲,565,10,1.80%,"46,600",561,565,558,11:30,〇,-,-,"2,400"
2001.T,,2001,ニップン,0,東Ｐ,貸借,▼,"2,257.00",12,0.53%,"417,000","2,204.00","2,269.00","2,201.00",11:30,〇,-,-,0
4596.T,,4596,窪田製薬ＨＬＤＧＳ,0,東Ｇ,信用,▼,63,4,6.78%,"604,900",61,64,60,11:30,✕,-,-,0
