code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
4571.T,,4571,ＮＡＮＯＭＲＮＡ,0,東Ｇ,信用,▲,238,50,26.60%,"17,524,900",186,238,182,10:51,〇,0.1,-,0
7837.T,,7837,アールシーコア,0,東Ｓ,貸借,▲,457,80,21.22%,"132,700",457,457,448,9:46,〇,0.4,-,0
135A.T,,135A,ＶＲＡＩＮＳＯＬＵＴＩＯＮ,0,東Ｇ,貸借,▼,"2,865.00",478,20.03%,"161,600","2,800.00","2,887.00","2,788.00",9:30,〇,6.1,0.1,"1,600"
168A.T,,168A,イタミアート,0,東Ｇ,信用,▲,"1,382.00",221,19.04%,"650,800","1,330.00","1,458.00","1,285.00",11:30,〇,1.2,-,0
3856.T,,3856,Ａｂａｌａｎｃｅ,0,東Ｓ,信用,▲,978,150,18.12%,"769,300",830,978,830,11:08,〇,2.2,-,"3,600"
1490.T,,1490,上場高配ベータヘッジ,0,東Ｐ,貸借,▼,"9,400.00","1,400.00",17.50%,360,"8,948.00","9,499.00","8,948.00",11:11,〇,5,-,0
6190.T,,6190,フェニックスバイオ,0,東Ｇ,信用,▲,568,80,16.39%,"186,500",564,568,563,9:21,〇,0.2,-,0
1401.T,,1401,エムビーエス,0,東Ｇ,信用,▲,"1,415.00",192,15.70%,"91,300","1,355.00","1,424.00","1,350.00",11:30,〇,0.5,-,0
7711.T,,7711,助川電気工業,0,東Ｓ,信用,▲,"7,960.00","1,000.00",14.37%,"2,103,700","7,210.00","7,960.00","7,140.00",10:51,〇,9.6,-,0
186A.T,,186A,アストロスケールホールディンク,0,東Ｇ,貸借,▲,860,108,14.36%,"6,793,000",767,862,756,11:30,〇,1.1,-,"42,300"
8995.T,,8995,誠建設工業,0,東Ｓ,信用,▲,887,106,13.57%,"41,900",781,894,781,11:26,〇,0.8,-,0
338A.T,,338A,ＺＥＮＭＵＴＥＣＨ,0,東Ｇ,信用,▲,"7,650.00",850,12.50%,"241,500","6,900.00","7,690.00","6,700.00",11:30,〇,18.1,-,"1,900"
4385.T,,4385,メルカリ,0,東Ｐ,貸借,▲,"2,329.00",244.5,11.73%,"7,379,900","2,201.00","2,343.00","2,200.00",11:30,〇,-,-,"65,900"
7525.T,,7525,リックス,0,東Ｐ,貸借,▲,"3,675.00",385,11.70%,"65,100","3,290.00","3,715.00","3,290.00",11:30,〇,-,-,"3,200"
9704.T,,9704,アゴーラホスピタリティーＧ,0,東Ｓ,信用,▲,58,6,11.54%,"2,804,300",53,58,53,11:28,〇,0.1,-,0
228A.T,,228A,オプロ,0,東Ｇ,信用,▲,"2,424.00",244,11.19%,"49,000","2,141.00","2,432.00","2,097.00",11:29,〇,1.5,-,"1,200"
4446.T,,4446,ＬＩＮＫ－Ｕグループ,0,東Ｐ,貸借,▼,"1,685.00",164,10.78%,"2,378,900","1,761.00","1,814.00","1,557.00",11:30,✕,-,-,0
4586.T,,4586,メドレックス,0,東Ｇ,信用,▼,145,14,10.69%,"5,253,200",133,148,132,11:30,〇,0.2,-,"32,800"
9227.T,,9227,マイクロ波化学,0,東Ｇ,貸借,▲,824,79,10.60%,"1,720,300",751,865,735,11:30,〇,1.8,0.05,"8,400"
3692.T,,3692,ＦＦＲＩセキュリティ,0,東Ｇ,貸借,▲,"10,240.00",960,10.34%,"842,400","9,430.00","10,280.00","9,280.00",11:30,〇,32.8,0.35,0
7375.T,,7375,リファインバースグループ,0,東Ｇ,信用,▲,"1,031.00",96,10.27%,"18,100",934,"1,045.00",934,11:30,〇,0.5,-,500
9215.T,,9215,ＣＡＳＹ,0,東Ｇ,信用,▲,"1,286.00",116,9.91%,"13,700","1,200.00","1,334.00","1,185.00",11:29,〇,0.8,-,"1,600"
5595.T,,5595,ＱＰＳ研究所,0,東Ｇ,貸借,▲,"1,927.00",170,9.68%,"2,035,200","1,779.00","1,930.00","1,772.00",11:30,〇,5,-,"12,200"
6993.T,,6993,大黒屋ホールディングス,0,東Ｓ,貸借,▲,34,3,9.68%,"3,770,300",33,34,32,11:30,〇,0.1,0.05,0
5724.T,,5724,アサカ理研,0,東Ｓ,信用,▲,"1,742.00",152,9.56%,"1,194,400","1,720.00","1,888.00","1,690.00",11:30,〇,1,-,"10,100"
215A.T,,215A,タイミー,0,東Ｇ,貸借,▲,"1,412.00",123,9.54%,"16,030,400","1,499.00","1,500.00","1,378.00",11:30,〇,1.8,-,0
3987.T,,3987,エコモット,0,東Ｇ,貸借,▲,470,40,9.30%,"192,700",468,494,456,11:30,〇,0.4,-,500
5027.T,,5027,ＡＮＹＭＩＮＤＧＲＯＵＰ,0,東Ｇ,信用,▲,732,62,9.25%,"276,400",690,736,688,11:29,〇,0.3,-,0
1382.T,,1382,ホーブ,0,東Ｓ,信用,▼,"1,999.00",161,8.76%,"5,900","1,878.00","2,010.00","1,878.00",11:18,〇,1.5,-,500
7985.T,,7985,ネポン,0,東Ｓ,信用,▼,"1,732.00",137,8.59%,"6,100","1,601.00","1,835.00","1,601.00",11:14,〇,0.7,-,0
4420.T,,4420,イーソル,0,東Ｓ,貸借,▲,621,49,8.57%,"79,200",576,621,576,11:29,〇,-,-,"4,800"
6521.T,,6521,オキサイド,0,東Ｇ,信用,▲,"2,044.00",161,8.55%,"83,700","1,915.00","2,066.00","1,903.00",11:30,〇,2.6,-,"3,900"
8267.T,,8267,イオン,0,東Ｐ,貸借,▲,"2,039.00",160.5,8.54%,"14,932,100","1,918.50","2,084.00","1,880.00",11:30,〇,-,0.1,"727,700"
5131.T,,5131,リンカーズ,0,東Ｇ,貸借,▼,239,18,8.14%,"1,104,800",221,250,221,11:30,〇,0.3,0.25,0
7345.T,,7345,アイ・パートナーズフィナンシ,0,東Ｇ,信用,▲,606,42,7.45%,"5,400",563,610,563,11:30,〇,0.5,-,200
6590.T,,6590,芝浦メカトロニクス,0,東Ｐ,貸借,▲,"17,080.00","1,180.00",7.42%,"582,000","15,880.00","17,130.00","15,780.00",11:30,〇,-,0.7,0
3935.T,,3935,エディア,0,東Ｓ,信用,▲,"1,160.00",80,7.41%,"472,400","1,110.00","1,177.00","1,110.00",11:30,〇,-,-,"3,000"
6736.T,,6736,サン電子,0,東Ｓ,貸借,▼,"11,930.00",820,7.38%,"215,700","10,770.00","11,960.00","10,770.00",11:30,〇,-,-,"2,300"
3267.T,,3267,フィル・カンパニー,0,東Ｓ,信用,▲,996,68,7.33%,"59,000",935,"1,015.00",935,11:28,〇,0.1,-,"3,800"
219A.T,,219A,ＨＥＡＲＴＳＥＥＤ,0,東Ｇ,貸借,▲,"1,865.00",127,7.31%,"1,249,000","1,730.00","1,907.00","1,730.00",11:30,〇,2.8,0.05,0
6378.T,,6378,木村化工機,0,東Ｓ,貸借,▲,"1,119.00",75,7.18%,"171,900","1,054.00","1,125.00","1,054.00",11:29,〇,-,-,"8,200"
6269.T,,6269,三井海洋開発,0,東Ｐ,貸借,▲,"8,250.00",550,7.14%,"661,800","7,970.00","8,330.00","7,950.00",11:30,〇,-,-,"10,700"
1376.T,,1376,カネコ種苗,0,東Ｓ,信用,▼,"1,850.00",123,7.12%,"41,600","1,701.00","1,854.00","1,681.00",11:29,〇,0.1,-,"3,500"
6330.T,,6330,東洋エンジニア,0,東Ｐ,貸借,▲,"1,762.00",117,7.11%,"3,477,300","1,720.00","1,805.00","1,688.00",11:30,〇,-,-,0
3779.T,,3779,ジェイ・エスコムＨＬＤＧＳ,0,東Ｓ,信用,▲,196,13,7.10%,"133,800",183,200,183,11:29,〇,0.2,-,"9,100"
5256.T,,5256,Ｆｕｓｉｃ,0,東Ｇ,信用,▼,"2,900.00",190,7.01%,"9,000","2,715.00","2,909.00","2,715.00",11:27,〇,2.3,-,700
6508.T,,6508,明電舎,0,東Ｐ,貸借,▲,"6,040.00",390,6.90%,"112,400","5,810.00","6,040.00","5,740.00",11:30,〇,-,-,"3,600"
4596.T,,4596,窪田製薬ＨＬＤＧＳ,0,東Ｇ,信用,▼,63,4,6.78%,"604,900",61,64,60,11:30,✕,-,-,0
6613.T,,6613,ＱＤレーザ,0,東Ｇ,信用,▲,379,24,6.76%,"307,900",361,379,357,11:30,〇,0.6,-,"25,800"
2138.T,,2138,クルーズ,0,東Ｓ,貸借,▲,563,35,6.63%,"13,800",536,564,536,11:30,〇,-,-,600
1543.T,,1543,純パラジウム上場信,0,東Ｐ,貸借,▼,"70,620.00","4,380.00",6.61%,"4,377","69,240.00","70,940.00","69,000.00",11:30,〇,-,-,88
414A.T,,414A,オーバーラップホールディン,0,東Ｇ,信用,▼,"1,439.00",89,6.59%,"134,500","1,368.00","1,448.00","1,367.00",11:29,〇,1.3,-,"13,300"
4418.T,,4418,ＪＤＳＣ,0,東Ｇ,貸借,▲,954,59,6.59%,"145,200",950,954,936,11:30,〇,0.7,-,"2,400"
4125.T,,4125,三和油化工業,0,東Ｓ,信用,▼,"1,781.00",110,6.58%,"35,900","1,711.00","1,797.00","1,705.00",11:30,〇,1.4,-,900
5982.T,,5982,マルゼン,0,東Ｓ,信用,▲,"3,690.00",225,6.49%,"7,200","3,535.00","3,765.00","3,500.00",11:30,〇,1.2,-,0
6232.T,,6232,ＡＣＳＬ,0,東Ｇ,貸借,▲,"1,147.00",69,6.40%,"686,300","1,080.00","1,149.00","1,080.00",11:30,〇,6.4,0.05,0
3446.T,,3446,ジェイテックコーポレーション,0,東Ｓ,貸借,▼,"1,548.00",93,6.39%,"76,500","1,455.00","1,553.00","1,452.00",11:30,〇,-,-,0
1675.T,,1675,ＷＴパラジウム投信,0,東Ｐ,貸借,▲,"21,385.00","1,275.00",6.34%,"2,655","21,480.00","21,500.00","21,095.00",11:30,✕,-,-,0
8783.T,,8783,ａｂｃ,0,東Ｓ,信用,▲,319,19,6.33%,"317,100",305,319,305,11:30,〇,1,-,"10,200"
5243.T,,5243,ＮＯＴＥ,0,東Ｇ,信用,▼,"1,504.00",89,6.29%,"227,900","1,415.00","1,516.00","1,415.00",11:30,〇,3.8,-,0
4667.T,,4667,アイサンテクノロジー,0,東Ｓ,信用,▲,"1,578.00",92,6.19%,"37,900","1,500.00","1,596.00","1,500.00",11:30,〇,0.3,-,100
3664.T,,3664,モブキャストＨＬＤＧＳ,0,東Ｇ,貸借,▲,52,3,6.12%,"1,820,100",50,52,50,11:30,〇,0.1,-,"100,800"
352A.T,,352A,ＬＯＩＶＥ,0,東Ｇ,信用,▲,"1,018.00",58,6.04%,"44,000",975,"1,020.00",975,11:30,〇,1.1,-,0
6516.T,,6516,山洋電気,0,東Ｐ,貸借,▲,"3,520.00",200,6.02%,"34,300","3,340.00","3,520.00","3,340.00",11:30,〇,-,-,"2,800"
2998.T,,2998,クリアル,0,東Ｇ,信用,▲,"1,196.00",67,5.93%,"127,900","1,147.00","1,245.00","1,135.00",11:29,〇,2.5,-,"6,100"
6740.T,,6740,ジャパンディスプレイ,0,東Ｐ,貸借,▼,18,1,5.88%,"218,830,800",18,19,17,11:30,〇,-,-,0
5729.T,,5729,日本精鉱,0,東Ｓ,信用,▲,"16,230.00",900,5.87%,"71,100","15,120.00","16,700.00","15,100.00",11:30,〇,19,-,0
8065.T,,8065,佐藤商事,0,東Ｐ,貸借,▼,"2,208.00",122,5.85%,"36,100","2,086.00","2,213.00","2,086.00",11:30,〇,-,-,"9,900"
7692.T,,7692,アースインフィニティ,0,東Ｓ,信用,▲,109,6,5.83%,"740,700",103,109,103,11:28,〇,0.2,-,0
335A.T,,335A,ミライロ,0,東Ｇ,信用,▼,492,27,5.81%,"26,100",473,495,471,11:30,〇,0.9,-,"1,300"
6492.T,,6492,岡野バルブ,0,東Ｓ,信用,▲,"8,380.00",460,5.81%,"2,400","7,920.00","8,380.00","7,920.00",11:29,〇,5.4,-,500
2370.T,,2370,メディネット,0,東Ｇ,信用,▼,37,2,5.71%,"1,860,700",36,38,35,11:30,〇,0.1,-,"348,700"
6506.T,,6506,安川電機,0,東Ｐ,貸借,▲,"4,294.00",232,5.71%,"4,002,800","4,114.00","4,308.00","4,095.00",11:30,〇,-,-,"51,900"
6786.T,,6786,ＲＶＨ,0,東Ｓ,信用,▲,74,4,5.71%,"182,200",70,74,70,11:29,〇,0.1,-,0
6254.T,,6254,野村マイクロ・サイエンス,0,東Ｐ,貸借,▲,"3,430.00",185,5.70%,"351,000","3,240.00","3,450.00","3,235.00",11:30,〇,-,0.15,"8,100"
